Date,Venue,Game,Time,HR %,2B/3B %,1B %,Runs %,HR #,2B/3B #,1B #,Runs #,HR % Stadium,2B/3B % Stadium,1B % Stadium,Runs % Stadium,HR # Stadium,2B/3B # Stadium,1B # Stadium,Runs # Stadium,HR % Weather,2B/3B % Weather,1B % Weather,Runs % Weather,HR # Weather,2B/3B # Weather,1B # Weather,Runs # Weather
2026-07-19,Coors Field,CIN @ COL,3:10,+35%,+20%,+17%,+35%,+0.78,+0.70,+1.86,+3.10,+20%,+30%,+16%,+32%,+0.45,+1.03,+1.69,+2.81,+15%,-9%,+2%,+3%,+0.33,-0.33,+0.17,+0.29
2026-07-19,Sutter Health Park,WAS @ ATH,4:05,+39%,+17%,+9%,+30%,+0.87,+0.59,+0.98,+2.64,+31%,+14%,+2%,+20%,+0.70,+0.48,+0.17,+1.75,+8%,+3%,+8%,+10%,+0.17,+0.11,+0.81,+0.89
2026-07-19,Fenway Park,TB  @ BOS,1:35,-2%,+26%,+7%,+13%,-0.04,+0.90,+0.71,+1.17,-7%,+21%,+6%,+8%,-0.16,+0.72,+0.64,+0.72,+5%,+5%,+1%,+5%,+0.12,+0.18,+0.08,+0.45
2026-07-19,Kauffman Stadium,SD  @ KC,2:10,+24%,+4%,-2%,+9%,+0.54,+0.14,-0.20,+0.75,+12%,+3%,-1%,+4%,+0.26,+0.10,-0.10,+0.34,+12%,+1%,-1%,+5%,+0.27,+0.04,-0.09,+0.41
2026-07-19,Angel Stadium,DET @ LAA,4:07,+13%,-4%,+4%,+6%,+0.30,-0.14,+0.44,+0.56,+9%,-4%,+1%,+3%,+0.20,-0.14,+0.14,+0.25,+4%,0%,+3%,+4%,+0.10,0.00,+0.30,+0.31
2026-07-19,Yankee Stadium,LAD @ NYY,12:35,+24%,-6%,-6%,+6%,+0.55,-0.21,-0.59,+0.52,+4%,-12%,-6%,-5%,+0.08,-0.42,-0.64,-0.46,+21%,+6%,+0%,+11%,+0.47,+0.21,+0.05,+0.99
2026-07-19,Truist Park,TEX @ ATL,1:35,+7%,-1%,+1%,+3%,+0.16,-0.04,+0.13,+0.26,-3%,-6%,+1%,-3%,-0.06,-0.21,+0.12,-0.31,+10%,+5%,+0%,+6%,+0.22,+0.18,+0.00,+0.57
2026-07-19,Progressive Field,PIT @ CLE,1:40,-7%,+2%,+3%,+2%,-0.16,+0.08,+0.32,+0.21,-4%,+2%,-2%,-1%,-0.09,+0.06,-0.26,-0.07,-3%,+0%,+5%,+3%,-0.07,+0.02,+0.58,+0.27
2026-07-19,Chase Field,STL @ ARI,4:10,-8%,+12%,+0%,+1%,-0.17,+0.42,+0.04,+0.09,-7%,+14%,+0%,+2%,-0.16,+0.47,+0.04,+0.17,-1%,-2%,0%,-1%,-0.01,-0.06,0.00,-0.08
2026-07-19,Citizens Bank Park,NYM @ PHI,1:35,+0%,-4%,-1%,-1%,+0.01,-0.14,-0.06,-0.06,+14%,-3%,-2%,+5%,+0.31,-0.10,-0.16,+0.43,-14%,-1%,+1%,-6%,-0.31,-0.04,+0.10,-0.49
2026-07-19,American Family Fld,MIA @ MIL,2:10,+9%,-8%,-9%,-2%,+0.21,-0.27,-0.96,-0.21,+9%,-11%,-8%,-3%,+0.21,-0.38,-0.90,-0.28,+0%,+3%,-1%,+1%,+0.00,+0.10,-0.07,+0.07
2026-07-19,Daikin Park,BAL @ HOU,2:10,+5%,-10%,-4%,-4%,+0.11,-0.36,-0.39,-0.35,+5%,-11%,-4%,-4%,+0.12,-0.37,-0.44,-0.39,0%,+0%,+0%,+0%,0.00,+0.01,+0.05,+0.04
2026-07-19,Yankee Stadium,LAD @ NYY,7:20,+8%,-16%,-5%,-4%,+0.17,-0.55,-0.49,-0.36,+4%,-12%,-6%,-5%,+0.08,-0.42,-0.64,-0.47,+4%,-4%,+1%,+1%,+0.09,-0.13,+0.15,+0.11
2026-07-19,Rogers Centre,CHW @ TOR,12:15,+2%,-6%,-2%,-5%,+0.06,-0.20,-0.26,-0.45,+7%,-2%,-2%,-1%,+0.16,-0.07,-0.22,-0.09,-5%,-4%,0%,-4%,-0.11,-0.13,-0.05,-0.36
2026-07-19,T-Mobile Park,SF  @ SEA,4:10,+2%,-15%,-4%,-6%,+0.05,-0.53,-0.48,-0.56,+1%,-15%,-6%,-8%,+0.03,-0.53,-0.68,-0.71,+1%,0%,+2%,+2%,+0.02,0.00,+0.20,+0.14
2026-07-19,Wrigley Field,MIN @ CHC,2:20,-20%,-18%,-4%,-18%,-0.46,-0.61,-0.38,-1.62,0%,-11%,-3%,-6%,0.00,-0.38,-0.34,-0.53,-20%,-7%,0%,-12%,-0.46,-0.24,-0.05,-1.09
