Date,Venue,Game,Time,HR %,2B/3B %,1B %,Runs %,HR #,2B/3B #,1B #,Runs #,HR % Stadium,2B/3B % Stadium,1B % Stadium,Runs % Stadium,HR # Stadium,2B/3B # Stadium,1B # Stadium,Runs # Stadium,HR % Weather,2B/3B % Weather,1B % Weather,Runs % Weather,HR # Weather,2B/3B # Weather,1B # Weather,Runs # Weather
2026-09-01 00:00:00,Wrigley Field,MIL @ CHC,7:40,+26%,-1%,-4%,+9%,+0.58,-0.05,-0.42,+0.81,-2%,-11%,-3%,-7%,-0.04,-0.37,-0.34,-0.58,+27%,+9%,-1%,+16%,+0.62,+0.32,-0.07,+1.39
2026-09-01 00:00:00,Coors Field,BAL @ COL,8:40,+24%,+22%,+14%,+29%,+0.54,+0.78,+1.54,+2.57,+21%,+30%,+16%,+33%,+0.48,+1.05,+1.72,+2.90,+3%,-8%,-2%,-4%,+0.07,-0.27,-0.18,-0.32
2026-09-01 00:00:00,Nationals Park,ATL @ WAS,6:45,+19%,+4%,+7%,+13%,+0.44,+0.13,+0.77,+1.16,+3%,+4%,+3%,+4%,+0.07,+0.15,+0.36,+0.32,+16%,0%,+4%,+10%,+0.36,-0.02,+0.41,+0.84
2026-09-01 00:00:00,Great American BP,SD  @ CIN,6:40,+19%,-2%,+3%,+13%,+0.42,-0.05,+0.30,+1.11,+14%,+2%,-1%,+10%,+0.32,+0.07,-0.08,+0.84,+5%,-4%,+4%,+3%,+0.11,-0.13,+0.38,+0.27
2026-09-01 00:00:00,Dodger Stadium,STL @ LAD,10:10,+18%,-2%,-5%,+2%,+0.41,-0.07,-0.52,+0.13,+18%,-3%,-5%,+0%,+0.41,-0.12,-0.56,+0.04,+0%,+2%,+0%,+1%,+0.01,+0.05,+0.04,+0.09
2026-09-01 00:00:00,Kauffman Stadium,MIA @ KC,7:40,+17%,+3%,+7%,+12%,+0.38,+0.10,+0.74,+1.09,+12%,+2%,-1%,+4%,+0.27,+0.08,-0.08,+0.33,+5%,+1%,+8%,+9%,+0.11,+0.03,+0.83,+0.76
2026-09-01 00:00:00,Progressive Field,TOR @ CLE,6:40,+17%,+3%,-1%,+10%,+0.38,+0.12,-0.08,+0.84,-4%,+2%,-2%,-1%,-0.08,+0.06,-0.24,-0.05,+21%,+2%,+2%,+10%,+0.46,+0.06,+0.17,+0.89
2026-09-01 00:00:00,Daikin Park,CHW @ HOU,8:10,+7%,-11%,-4%,-4%,+0.15,-0.39,-0.43,-0.35,+7%,-11%,-4%,-4%,+0.16,-0.39,-0.47,-0.37,0%,+0%,+0%,+0%,-0.01,+0.01,+0.04,+0.02
2026-09-01 00:00:00,PNC Park,SF  @ PIT,6:40,+3%,+16%,-2%,+7%,+0.07,+0.55,-0.24,+0.62,-14%,+10%,+1%,0%,-0.31,+0.36,+0.06,-0.01,+17%,+5%,-3%,+7%,+0.38,+0.19,-0.30,+0.64
2026-09-01 00:00:00,Target Field,DET @ MIN,7:40,0%,+3%,+2%,+4%,0.00,+0.10,+0.27,+0.34,-8%,+2%,+2%,+0%,-0.18,+0.07,+0.25,+0.03,+8%,+1%,+0%,+4%,+0.17,+0.03,+0.02,+0.31
2026-09-01 00:00:00,Tropicana Field,NYM @ TB,6:40,-2%,-7%,-8%,-5%,-0.04,-0.24,-0.82,-0.48,-3%,-7%,-7%,-6%,-0.06,-0.24,-0.80,-0.50,+1%,0%,0%,+0%,+0.02,0.00,-0.02,+0.02
2026-09-01 00:00:00,Angel Stadium,NYY @ LAA,9:38,-7%,-8%,+5%,-2%,-0.16,-0.27,+0.50,-0.20,-9%,-4%,+2%,-4%,-0.20,-0.15,+0.19,-0.31,+2%,-4%,+3%,+1%,+0.04,-0.12,+0.32,+0.12
2026-09-01 00:00:00,Chase Field,PHI @ ARI,9:40,-8%,+12%,+0%,+0%,-0.19,+0.40,+0.01,+0.04,-8%,+13%,+0%,+1%,-0.18,+0.47,+0.02,+0.12,0%,-2%,0%,-1%,0.00,-0.07,-0.01,-0.08
2026-09-01 00:00:00,Globe Life Field,ATH @ TEX,8:05,-14%,-6%,-1%,-8%,-0.31,-0.22,-0.14,-0.70,-13%,-7%,-1%,-8%,-0.29,-0.24,-0.13,-0.68,-1%,+0%,0%,0%,-0.01,+0.01,-0.02,-0.02
2026-09-01 00:00:00,Fenway Park,SEA @ BOS,6:45,-16%,-3%,+8%,-4%,-0.35,-0.11,+0.86,-0.36,-8%,+21%,+6%,+8%,-0.19,+0.74,+0.66,+0.71,-7%,-24%,+2%,-12%,-0.17,-0.85,+0.20,-1.07
