Matchup,ARI @ CLE
Pitcher,Kohl Drake
Pitcher Team,ARI
Opposing Team,CLE

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,9.0,40,0.257,0.376,0.543,0.286,1.44,2,2.00,10.0%,29.6%,15.0%,15.4%,14.1%,6.00,62.5%,6.7%,17.2%,51.7%,48.3%,14.3%,6.9%
vsLHB,2.1,12,0.364,0.596,1.091,0.727,2.14,2,7.71,8.3%,29.2%,8.3%,5.9%,14.6%,3.86,58.3%,6.2%,20.0%,50.0%,40.0%,50.0%,10.0%
vsRHB,6.2,28,0.208,0.283,0.292,0.083,1.20,0,-,10.7%,29.8%,17.9%,22.7%,13.9%,6.75,64.3%,6.9%,15.8%,52.6%,52.6%,-,5.3%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Chase DeLauter LHB,,+520,18,4.20,10,2,3,92.4,346.2,4,4,30.0%,30.0%,40.0%,70.0%,40.0%,72.3,47.4%,36.8%,26.3%,95.0%,40.0%,20.0%,100.0%,20.0%,50.0%,60.0%,20.0%,20.0%,50.0%
David Fry RHB,,+520,19,2.00,10,1,1,87.1,242.3,3,1,10.0%,10.0%,30.0%,50.0%,30.0%,73.9,42.9%,42.9%,7.1%,100.0%,40.0%,40.0%,25.0%,-,30.0%,50.0%,40.0%,10.0%,50.0%
Rhys Hoskins RHB,,+320,29,2.80,10,0,1,86.8,215.1,2,1,10.0%,10.0%,40.0%,30.0%,30.0%,72.5,25.0%,37.5%,6.2%,100.0%,50.0%,20.0%,0.0%,30.0%,-,40.0%,-,60.0%,33.3%
Travis Bazzana LHB,,+770,13,4.00,10,0,0,92.1,278.8,2,1,-,-,-,40.0%,10.0%,71.5,35.3%,23.5%,11.8%,100.0%,60.0%,50.0%,0.0%,10.0%,40.0%,20.0%,50.0%,30.0%,57.1%
Jose Ramirez SHB,,+331,29,4.60,10,0,0,85.8,240.2,2,1,-,-,30.0%,30.0%,30.0%,73.1,30.8%,30.8%,-,100.0%,60.0%,40.0%,0.0%,20.0%,30.0%,50.0%,30.0%,20.0%,37.5%
Austin Hedges RHB,,+910,20,2.80,10,0,0,80.3,207.9,0,0,-,-,20.0%,30.0%,10.0%,71.6,6.7%,26.7%,6.7%,93.8%,30.0%,20.0%,0.0%,10.0%,30.0%,50.0%,40.0%,10.0%,33.3%
Angel Martinez SHB,,+473,16,3.80,10,0,0,77.6,243.4,1,0,-,-,20.0%,20.0%,20.0%,72.3,15.4%,23.1%,-,100.0%,40.0%,20.0%,0.0%,20.0%,60.0%,60.0%,20.0%,20.0%,25.0%
Gabriel Arias RHB,,+375,27,3.40,10,0,0,90.3,252.3,2,1,-,-,-,40.0%,50.0%,73.1,30.0%,35.0%,15.0%,100.0%,60.0%,20.0%,0.0%,40.0%,40.0%,20.0%,40.0%,40.0%,75.0%
Kyle Manzardo LHB,—,N/A,19,3.00,10,0,0,83.5,261.6,1,0,-,-,-,20.0%,40.0%,70.0,8.3%,50.0%,8.3%,80.0%,60.0%,20.0%,0.0%,40.0%,40.0%,20.0%,50.0%,30.0%,44.4%
Brayan Rocchio SHB,,+750,13,4.20,10,0,0,87.4,267.6,1,0,-,-,10.0%,10.0%,40.0%,69.8,-,46.7%,6.7%,93.8%,40.0%,20.0%,0.0%,20.0%,60.0%,60.0%,20.0%,20.0%,28.6%
Steven Kwan LHB,,+1400,9,4.40,10,0,0,80.7,272.4,2,1,-,-,-,10.0%,40.0%,61.5,-,50.0%,-,100.0%,60.0%,30.0%,0.0%,30.0%,30.0%,20.0%,50.0%,30.0%,14.3%
Patrick Bailey SHB,—,N/A,22,3.40,9,0,0,93.1,257.6,2,1,11.1%,-,-,22.2%,22.2%,73.7,33.3%,88.9%,22.2%,90.0%,33.3%,33.3%,0.0%,-,55.6%,11.1%,44.4%,44.4%,28.6%
Petey Halpin LHB,,+750,1,3.40,7,0,0,57.6,133.8,0,0,-,-,-,-,28.6%,70.1,11.1%,11.1%,-,81.8%,14.3%,14.3%,0.0%,-,28.6%,28.6%,57.1%,14.3%,71.4%
