Matchup,ARI @ KC
Pitcher,Zac Gallen
Pitcher Team,ARI
Opposing Team,KC

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,98.0,439,0.304,0.368,0.506,0.202,1.56,18,1.65,7.1%,19.0%,13.7%,13.0%,8.7%,5.51,65.0%,6.1%,11.0%,44.2%,27.0%,17.2%,17.7%
vsLHB,52.0,234,0.313,0.372,0.493,0.180,1.58,8,1.38,6.8%,17.0%,10.7%,11.0%,7.5%,4.33,62.4%,5.8%,11.1%,46.0%,28.0%,15.1%,20.1%
vsRHB,46.0,205,0.295,0.365,0.521,0.226,1.54,10,1.96,7.3%,21.1%,17.1%,14.9%,10.1%,6.85,68.0%,6.5%,11.0%,41.9%,25.8%,20.0%,14.8%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
John Rave LHB,,+880,13,4.00,5,2,2,98.3,331.9,2,2,-,-,40.0%,80.0%,-,76.1,60.0%,80.0%,80.0%,100.0%,60.0%,60.0%,66.7%,-,40.0%,60.0%,40.0%,-,0.0%
Salvador Perez RHB,,+485,18,4.40,5,1,1,93.1,273.2,1,1,20.0%,20.0%,40.0%,40.0%,40.0%,74.8,40.0%,60.0%,40.0%,100.0%,40.0%,20.0%,100.0%,20.0%,40.0%,40.0%,40.0%,20.0%,66.7%
Carter Jensen LHB,,+493,14,4.40,5,1,1,96.0,263.4,1,1,20.0%,20.0%,40.0%,40.0%,60.0%,74.3,28.6%,42.9%,28.6%,100.0%,60.0%,40.0%,50.0%,20.0%,40.0%,40.0%,40.0%,20.0%,100.0%
Vinnie Pasquantino LHB,,+585,9,4.60,5,1,2,97.4,307.6,4,2,20.0%,20.0%,60.0%,80.0%,80.0%,71.0,22.2%,55.6%,22.2%,100.0%,100.0%,40.0%,50.0%,60.0%,-,60.0%,40.0%,-,50.0%
Luke Maile RHB,—,N/A,-,3.20,5,0,0,71.1,288.9,0,0,-,-,-,-,20.0%,69.1,-,20.0%,20.0%,100.0%,20.0%,-,-,20.0%,80.0%,40.0%,40.0%,20.0%,60.0%
Bobby Witt Jr. RHB,,+475,22,4.60,5,0,1,94.0,276.0,1,1,20.0%,-,-,40.0%,40.0%,72.6,16.7%,66.7%,33.3%,100.0%,60.0%,40.0%,0.0%,20.0%,40.0%,20.0%,40.0%,40.0%,50.0%
Nick Loftin RHB,,+1120,15,4.20,5,0,0,81.5,216.2,1,1,-,-,20.0%,20.0%,20.0%,67.7,-,20.0%,-,100.0%,40.0%,20.0%,0.0%,20.0%,40.0%,40.0%,40.0%,20.0%,40.0%
Michael Massey LHB,,+810,19,4.20,5,0,0,89.2,336.4,2,1,-,-,-,40.0%,20.0%,71.2,-,57.1%,-,100.0%,40.0%,20.0%,0.0%,20.0%,60.0%,60.0%,40.0%,-,50.0%
Josh Rojas LHB,—,N/A,8,2.80,5,0,0,80.6,277.3,1,1,-,-,20.0%,20.0%,20.0%,67.2,-,33.3%,16.7%,100.0%,60.0%,40.0%,0.0%,20.0%,40.0%,40.0%,60.0%,-,75.0%
Kyle Isbel LHB,,+1140,10,3.20,5,0,0,68.9,160.1,0,0,-,-,20.0%,-,-,71.2,40.0%,20.0%,-,83.3%,20.0%,20.0%,0.0%,-,40.0%,40.0%,20.0%,40.0%,100.0%
Isaac Collins SHB,,+1050,10,3.40,5,0,0,81.5,352.6,2,1,-,-,-,20.0%,40.0%,73.5,25.0%,37.5%,-,80.0%,40.0%,40.0%,0.0%,-,60.0%,-,60.0%,40.0%,25.0%
Tyler Tolbert RHB,—,N/A,4,1.60,5,0,0,85.4,276.6,1,0,-,-,20.0%,-,40.0%,69.5,16.7%,50.0%,16.7%,85.7%,60.0%,40.0%,0.0%,20.0%,40.0%,20.0%,40.0%,40.0%,20.0%
Jac Caglianone LHB,—,N/A,18,3.60,5,0,0,90.6,317.6,2,0,-,-,20.0%,40.0%,40.0%,74.4,50.0%,33.3%,16.7%,85.7%,40.0%,20.0%,0.0%,20.0%,60.0%,40.0%,40.0%,20.0%,33.3%
Matthew Lugo RHB,,+525,-,1.80,2,0,0,79.4,237.3,1,1,-,-,-,-,-,73.8,50.0%,50.0%,-,100.0%,50.0%,50.0%,0.0%,-,-,-,50.0%,50.0%,100.0%
