Matchup,ARI @ LAD
Pitcher,Eduardo Rodriguez
Pitcher Team,ARI
Opposing Team,LAD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,59.1,237,0.231,0.287,0.380,0.149,1.13,6,0.91,6.8%,20.6%,17.3%,14.7%,9.9%,6.22,59.4%,5.4%,10.6%,38.3%,28.9%,11.5%,14.4%
vsLHB,20.1,77,0.203,0.222,0.270,0.068,0.89,1,0.44,3.9%,20.0%,15.6%,15.4%,9.4%,5.31,59.0%,7.3%,12.9%,46.8%,25.8%,6.2%,17.7%
vsRHB,39.0,160,0.245,0.318,0.435,0.190,1.26,5,1.15,8.1%,20.9%,18.1%,14.4%,10.2%,6.69,59.6%,4.6%,9.3%,33.9%,30.5%,13.9%,12.7%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Shohei Ohtani LHB,—,N/A,27,4.20,10,1,1,87.8,259.5,1,1,10.0%,-,-,30.0%,20.0%,73.9,33.3%,58.3%,16.7%,100.0%,30.0%,20.0%,50.0%,10.0%,60.0%,20.0%,60.0%,20.0%,60.0%
Max Muncy LHB,—,N/A,24,3.40,10,1,1,87.2,223.7,2,1,10.0%,10.0%,20.0%,20.0%,30.0%,70.6,8.3%,50.0%,8.3%,85.7%,30.0%,10.0%,100.0%,20.0%,40.0%,40.0%,30.0%,30.0%,44.4%
Freddie Freeman LHB,—,N/A,20,4.40,10,0,1,84.2,299.0,3,0,-,-,-,50.0%,30.0%,69.6,5.9%,35.3%,17.6%,94.4%,40.0%,10.0%,0.0%,30.0%,60.0%,30.0%,30.0%,40.0%,50.0%
Mookie Betts RHB,—,N/A,18,4.20,10,0,0,93.0,327.7,8,2,10.0%,-,20.0%,40.0%,70.0%,70.6,18.2%,72.7%,9.1%,100.0%,100.0%,60.0%,0.0%,40.0%,-,20.0%,50.0%,30.0%,25.0%
Teoscar Hernandez RHB,—,N/A,14,3.40,10,0,0,90.8,206.3,1,0,-,-,10.0%,50.0%,20.0%,71.7,20.0%,53.3%,20.0%,93.8%,50.0%,30.0%,0.0%,20.0%,40.0%,20.0%,40.0%,40.0%,28.6%
Alex Call RHB,—,N/A,5,2.40,10,0,0,77.5,213.6,2,0,-,-,10.0%,10.0%,20.0%,66.0,4.2%,20.8%,4.2%,88.9%,40.0%,20.0%,0.0%,20.0%,40.0%,20.0%,50.0%,30.0%,42.9%
Kyle Tucker LHB,—,N/A,16,3.40,10,0,0,92.2,251.5,1,0,-,-,10.0%,50.0%,40.0%,73.9,38.5%,46.2%,23.1%,100.0%,60.0%,30.0%,0.0%,30.0%,40.0%,50.0%,30.0%,20.0%,44.4%
Miguel Rojas RHB,—,N/A,9,2.60,10,0,0,89.6,215.3,2,0,-,-,30.0%,50.0%,20.0%,69.5,-,38.5%,23.1%,81.2%,30.0%,10.0%,0.0%,20.0%,60.0%,40.0%,40.0%,20.0%,16.7%
Andy Pages RHB,—,N/A,13,4.40,10,0,1,91.8,246.4,3,1,10.0%,-,-,60.0%,30.0%,72.2,29.4%,41.2%,17.6%,94.4%,60.0%,40.0%,0.0%,20.0%,30.0%,10.0%,60.0%,30.0%,37.5%
Dalton Rushing LHB,—,N/A,21,3.20,10,0,0,91.9,261.5,2,1,10.0%,10.0%,40.0%,50.0%,50.0%,74.2,53.3%,40.0%,26.7%,88.2%,60.0%,10.0%,0.0%,50.0%,30.0%,60.0%,30.0%,10.0%,50.0%
Tommy Edman SHB,—,N/A,8,3.00,8,0,0,94.4,192.6,0,0,-,-,-,50.0%,25.0%,73.2,25.0%,75.0%,50.0%,100.0%,25.0%,12.5%,0.0%,12.5%,75.0%,37.5%,62.5%,-,33.3%
Alex Freeland SHB,—,N/A,2,3.40,7,0,0,86.4,283.8,1,0,-,-,-,14.3%,14.3%,69.1,-,45.5%,9.1%,100.0%,28.6%,28.6%,0.0%,-,71.4%,28.6%,57.1%,14.3%,40.0%
