Matchup,ATH @ MIN
Pitcher,Zebby Matthews
Pitcher Team,MIN
Opposing Team,ATH

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,70.0,297,0.268,0.348,0.493,0.224,1.34,15,1.93,7.1%,22.7%,19.5%,18.2%,10.7%,7.46,66.7%,8.6%,12.5%,38.9%,28.7%,21.0%,20.8%
vsLHB,36.2,163,0.281,0.357,0.479,0.199,1.50,7,1.72,8.6%,21.0%,21.5%,20.3%,9.8%,8.59,62.6%,8.2%,14.3%,41.1%,33.9%,15.8%,22.3%
vsRHB,33.1,134,0.254,0.337,0.508,0.254,1.17,8,2.16,5.2%,24.8%,17.2%,15.6%,11.8%,6.21,71.6%,9.2%,10.6%,36.5%,23.1%,29.2%,19.2%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Shea Langeliers RHB,,+280,19,4.40,5,2,2,106.0,408.9,3,3,60.0%,40.0%,40.0%,100.0%,60.0%,75.4,71.4%,71.4%,71.4%,100.0%,60.0%,20.0%,100.0%,40.0%,40.0%,60.0%,40.0%,-,25.0%
Jeff McNeil LHB,,+870,28,2.40,5,1,1,86.5,309.6,1,1,20.0%,20.0%,20.0%,60.0%,20.0%,69.8,-,30.0%,20.0%,100.0%,40.0%,40.0%,50.0%,-,60.0%,80.0%,-,20.0%,50.0%
Tyler Soderstrom LHB,,+350,18,4.60,5,1,1,92.6,267.4,1,1,20.0%,-,20.0%,40.0%,60.0%,72.3,27.3%,36.4%,18.2%,100.0%,60.0%,20.0%,100.0%,40.0%,40.0%,40.0%,60.0%,-,33.3%
Jacob Wilson RHB,,+900,18,5.00,5,1,1,87.2,283.7,1,1,20.0%,20.0%,20.0%,40.0%,60.0%,64.4,-,66.7%,16.7%,100.0%,60.0%,20.0%,100.0%,40.0%,40.0%,20.0%,60.0%,20.0%,20.0%
Henry Bolte RHB,,+560,19,3.00,5,0,0,67.8,158.7,0,0,-,-,-,-,-,74.6,44.4%,-,-,81.8%,40.0%,20.0%,0.0%,20.0%,20.0%,20.0%,20.0%,60.0%,75.0%
Tommy White RHB,—,N/A,8,4.00,5,0,0,90.1,299.2,1,0,-,-,-,20.0%,20.0%,71.7,28.6%,57.1%,14.3%,87.5%,40.0%,20.0%,0.0%,20.0%,60.0%,20.0%,60.0%,20.0%,50.0%
Carlos Cortes LHB,,+493,12,3.00,5,0,0,90.1,305.0,1,0,-,-,-,20.0%,20.0%,68.8,12.5%,37.5%,12.5%,88.9%,20.0%,-,-,20.0%,80.0%,80.0%,-,20.0%,25.0%
Jonah Heim SHB,,+322,18,4.40,5,0,0,94.3,282.9,1,1,20.0%,-,40.0%,80.0%,40.0%,70.8,14.3%,57.1%,42.9%,100.0%,80.0%,60.0%,0.0%,20.0%,20.0%,40.0%,40.0%,20.0%,0.0%
Lawrence Butler LHB,,+600,19,3.40,5,0,1,97.1,303.4,1,1,-,-,20.0%,80.0%,-,76.3,71.4%,42.9%,42.9%,87.5%,60.0%,60.0%,0.0%,-,40.0%,20.0%,80.0%,-,60.0%
Donovan Walton LHB,,+560,17,2.80,5,0,0,78.1,259.6,0,0,-,-,20.0%,40.0%,20.0%,67.6,-,66.7%,33.3%,85.7%,20.0%,-,-,20.0%,60.0%,60.0%,20.0%,20.0%,60.0%
Alika Williams RHB,,+960,17,2.40,5,0,0,84.0,225.3,1,0,-,-,20.0%,40.0%,60.0%,69.7,-,20.0%,-,100.0%,60.0%,-,-,60.0%,20.0%,40.0%,40.0%,20.0%,33.3%
Max Muncy RHB,,+650,28,3.00,5,0,0,90.4,289.7,2,0,-,-,-,40.0%,80.0%,72.1,12.5%,37.5%,25.0%,100.0%,80.0%,20.0%,0.0%,60.0%,20.0%,20.0%,60.0%,20.0%,50.0%
Colby Thomas RHB,—,N/A,2,2.00,3,0,1,90.2,328.5,1,1,-,-,-,66.7%,33.3%,76.9,100.0%,25.0%,-,100.0%,66.6%,33.3%,0.0%,33.3%,33.3%,-,100.0%,-,33.3%
