Matchup,ATH @ SEA
Pitcher,Kade Anderson
Pitcher Team,SEA
Opposing Team,ATH

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,10.0,41,0.229,0.336,0.457,0.229,1.30,2,1.80,12.2%,22.4%,19.5%,14.3%,11.4%,7.20,61.0%,10.2%,7.1%,32.1%,42.9%,16.7%,10.7%
vsLHB,2.0,9,0.250,0.437,0.750,0.500,1.50,1,4.50,11.1%,35.7%,33.3%,33.3%,15.6%,13.50,77.8%,12.5%,20.0%,40.0%,60.0%,33.3%,20.0%
vsRHB,8.0,32,0.222,0.307,0.370,0.148,1.25,1,1.12,12.5%,19.7%,15.6%,10.6%,10.4%,5.62,56.2%,9.7%,4.3%,30.4%,39.1%,11.1%,8.7%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Henry Bolte RHB,,+750,31,5.20,8,2,2,96.0,314.5,3,2,25.0%,-,12.5%,50.0%,37.5%,76.6,78.6%,42.9%,28.6%,93.3%,50.0%,37.5%,66.7%,12.5%,50.0%,25.0%,37.5%,37.5%,42.9%
Jonah Heim SHB,,+700,33,3.60,8,1,1,88.2,304.3,2,1,12.5%,-,-,50.0%,37.5%,69.9,-,35.7%,14.3%,93.3%,50.0%,25.0%,50.0%,25.0%,50.0%,25.0%,37.5%,37.5%,37.5%
Alika Williams RHB,,+1260,15,3.60,8,1,1,77.9,248.7,1,1,-,-,12.5%,12.5%,50.0%,69.5,-,23.1%,-,86.7%,62.5%,37.5%,33.3%,25.0%,12.5%,37.5%,25.0%,37.5%,57.1%
Zack Gelof RHB,,+600,30,4.40,8,1,1,82.5,325.5,2,2,12.5%,12.5%,25.0%,50.0%,12.5%,74.1,50.0%,41.7%,16.7%,92.3%,62.5%,62.5%,20.0%,-,25.0%,37.5%,50.0%,12.5%,14.3%
Max Muncy RHB,,+650,19,3.40,8,1,2,89.4,259.3,3,1,12.5%,-,12.5%,37.5%,12.5%,74.9,62.5%,31.2%,12.5%,84.2%,37.5%,37.5%,33.3%,-,37.5%,37.5%,37.5%,25.0%,28.6%
Jeff McNeil LHB,,+1105,17,4.80,8,0,0,80.8,206.3,0,0,-,-,25.0%,12.5%,37.5%,68.0,-,66.7%,-,100.0%,62.5%,25.0%,0.0%,37.5%,25.0%,37.5%,50.0%,12.5%,71.4%
Tommy White RHB,—,N/A,14,3.80,8,0,0,92.8,289.5,2,0,12.5%,12.5%,25.0%,50.0%,50.0%,69.7,17.6%,35.3%,17.6%,89.5%,62.5%,12.5%,0.0%,50.0%,37.5%,50.0%,50.0%,-,42.9%
Denzel Clarke RHB,,+1140,11,3.00,8,0,0,85.2,-,0,0,-,-,-,50.0%,-,75.1,50.0%,35.7%,14.3%,87.5%,-,-,-,-,87.5%,50.0%,25.0%,25.0%,37.5%
Brian Serven RHB,,+800,13,3.60,8,0,0,80.6,275.0,3,0,-,-,12.5%,12.5%,50.0%,70.1,-,26.7%,6.7%,100.0%,62.5%,25.0%,0.0%,37.5%,37.5%,50.0%,37.5%,12.5%,57.1%
Lawrence Butler LHB,,+820,37,4.40,8,0,0,93.1,-,0,0,-,-,-,75.0%,-,73.8,54.5%,63.6%,27.3%,91.7%,-,-,-,-,100.0%,37.5%,50.0%,12.5%,33.3%
Michael Stefanic RHB,,+1260,7,2.80,8,0,0,89.8,286.0,1,1,-,-,12.5%,25.0%,37.5%,65.1,7.7%,53.8%,7.7%,100.0%,50.0%,25.0%,0.0%,25.0%,50.0%,25.0%,25.0%,50.0%,50.0%
Darell Hernaiz RHB,—,N/A,18,3.20,8,0,0,81.1,251.7,2,1,-,-,-,25.0%,62.5%,69.5,6.2%,31.2%,-,100.0%,75.0%,12.5%,0.0%,62.5%,25.0%,12.5%,62.5%,25.0%,57.1%
Carlos Cortes LHB,—,N/A,5,3.20,7,0,0,86.0,205.7,0,0,-,-,14.3%,28.6%,42.9%,70.3,-,22.2%,11.1%,81.8%,57.2%,14.3%,0.0%,42.9%,28.6%,42.9%,-,57.1%,0.0%
Donovan Walton LHB,—,N/A,13,2.80,4,0,0,55.4,154.4,0,0,-,-,-,-,-,67.4,-,33.3%,-,60.0%,25.0%,25.0%,0.0%,-,-,-,25.0%,75.0%,100.0%
