Matchup,ATL @ BAL
Pitcher,Trevor Rogers
Pitcher Team,BAL
Opposing Team,ATL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,96.2,409,0.251,0.308,0.396,0.144,1.30,10,0.93,7.8%,22.8%,18.8%,14.4%,11.9%,7.17,68.0%,8.4%,6.4%,39.5%,24.1%,12.5%,18.4%
vsLHB,26.0,104,0.181,0.241,0.287,0.106,1.00,1,0.35,8.7%,26.2%,25.0%,19.3%,12.8%,9.00,68.9%,9.9%,2.9%,34.8%,18.8%,-,17.4%
vsRHB,70.1,305,0.275,0.331,0.432,0.157,1.42,9,1.15,7.5%,21.7%,16.7%,12.8%,11.5%,6.53,67.8%,7.8%,7.4%,40.9%,25.7%,15.3%,18.7%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Eli White RHB,,+900,21,2.40,10,1,1,88.8,305.1,2,2,-,-,10.0%,20.0%,40.0%,73.2,23.5%,17.6%,-,94.4%,60.0%,40.0%,25.0%,20.0%,40.0%,50.0%,30.0%,20.0%,50.0%
Joey Bart RHB,,+680,26,2.60,10,1,1,85.5,267.4,3,2,10.0%,10.0%,30.0%,30.0%,30.0%,77.1,81.2%,25.0%,12.5%,88.9%,60.0%,40.0%,25.0%,20.0%,40.0%,60.0%,30.0%,10.0%,25.0%
Michael Harris II LHB,,+371,16,4.20,10,1,1,85.6,202.5,1,0,-,-,20.0%,30.0%,10.0%,75.4,56.2%,25.0%,12.5%,94.1%,40.0%,30.0%,33.3%,10.0%,40.0%,40.0%,30.0%,30.0%,33.3%
Mauricio Dubon RHB,,+1020,30,3.80,10,1,1,86.4,293.4,3,2,-,-,20.0%,30.0%,30.0%,69.3,11.8%,35.3%,5.9%,100.0%,40.0%,20.0%,50.0%,20.0%,40.0%,30.0%,40.0%,30.0%,66.7%
Mike Yastrzemski LHB,—,N/A,9,3.20,10,0,0,83.4,318.1,2,0,-,-,10.0%,50.0%,30.0%,69.3,-,53.8%,15.4%,92.9%,30.0%,10.0%,0.0%,20.0%,60.0%,40.0%,20.0%,40.0%,33.3%
Jorge Mateo RHB,—,N/A,18,1.80,10,0,0,92.4,310.5,5,2,-,-,-,50.0%,50.0%,73.2,33.3%,58.3%,25.0%,100.0%,80.0%,60.0%,0.0%,20.0%,20.0%,-,80.0%,20.0%,22.2%
Matt Olson LHB,,+309,14,4.40,10,0,0,89.8,287.0,1,1,10.0%,-,10.0%,60.0%,40.0%,74.7,55.6%,33.3%,22.2%,90.0%,40.0%,10.0%,0.0%,30.0%,60.0%,30.0%,70.0%,-,44.4%
Ozzie Albies SHB,,+573,17,4.60,10,0,0,81.5,253.3,3,0,-,-,60.0%,10.0%,30.0%,69.3,16.7%,33.3%,8.3%,100.0%,80.0%,60.0%,0.0%,20.0%,-,60.0%,40.0%,-,42.9%
Austin Riley RHB,,+463,29,4.00,10,0,2,97.5,313.3,6,2,30.0%,20.0%,30.0%,60.0%,50.0%,78.0,66.7%,58.3%,50.0%,100.0%,90.0%,60.0%,0.0%,30.0%,10.0%,30.0%,50.0%,20.0%,16.7%
Drake Baldwin LHB,,+408,29,4.60,10,0,0,88.4,243.6,2,1,10.0%,-,-,40.0%,40.0%,74.5,53.8%,46.2%,30.8%,86.7%,50.0%,10.0%,0.0%,40.0%,40.0%,10.0%,40.0%,50.0%,62.5%
Dominic Smith LHB,—,N/A,8,2.60,10,0,0,82.4,248.7,0,0,-,-,10.0%,10.0%,10.0%,68.3,8.3%,41.7%,-,100.0%,40.0%,40.0%,0.0%,-,50.0%,40.0%,30.0%,30.0%,22.2%
Jim Jarvis LHB,,+800,6,3.60,4,0,1,94.8,274.0,1,1,25.0%,25.0%,50.0%,75.0%,25.0%,70.6,14.3%,28.6%,28.6%,100.0%,50.0%,-,-,50.0%,50.0%,75.0%,25.0%,-,25.0%
Brewer Hicklen RHB,—,N/A,-,4.20,1,0,0,104.4,223.6,0,0,-,-,100.0%,100.0%,100.0%,72.2,-,100.0%,100.0%,100.0%,100.0%,-,-,100.0%,-,100.0%,-,-,0.0%
