Matchup,ATL @ CHC
Pitcher,Kevin Gausman
Pitcher Team,CHC
Opposing Team,ATL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,166.1,706,0.257,0.311,0.416,0.159,1.29,24,1.30,6.5%,27.3%,24.2%,19.1%,13.5%,9.25,63.0%,6.6%,7.4%,39.1%,24.6%,18.3%,16.0%
vsLHB,93.1,399,0.250,0.301,0.387,0.137,1.31,10,0.96,7.8%,26.1%,22.6%,17.6%,12.7%,8.68,60.3%,6.0%,6.1%,36.0%,24.5%,13.2%,12.2%
vsRHB,72.0,307,0.266,0.323,0.452,0.186,1.28,14,1.75,4.9%,28.9%,26.4%,21.0%,14.6%,10.12,66.4%,7.3%,9.0%,43.3%,24.8%,25.0%,21.0%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Matt Olson LHB,,+349,21,4.40,8,1,1,95.2,338.7,4,2,12.5%,-,-,62.5%,37.5%,75.4,63.6%,54.5%,18.2%,100.0%,50.0%,37.5%,33.3%,12.5%,50.0%,12.5%,50.0%,37.5%,50.0%
Sean Murphy RHB,,+650,15,3.60,8,1,1,92.5,320.9,1,1,-,-,12.5%,62.5%,-,72.2,9.1%,54.5%,36.4%,100.0%,25.0%,25.0%,50.0%,-,75.0%,37.5%,62.5%,-,60.0%
Austin Riley RHB,,+525,23,4.00,8,1,2,93.9,299.0,2,2,25.0%,12.5%,37.5%,50.0%,50.0%,75.2,52.9%,29.4%,17.6%,94.4%,62.5%,25.0%,50.0%,37.5%,37.5%,62.5%,25.0%,12.5%,71.4%
Mike Yastrzemski LHB,,+1000,23,2.80,8,0,1,82.8,257.4,1,1,-,-,12.5%,37.5%,25.0%,71.3,12.5%,37.5%,25.0%,88.9%,50.0%,25.0%,0.0%,25.0%,50.0%,50.0%,25.0%,25.0%,40.0%
Mauricio Dubon RHB,,+1120,20,4.60,8,0,0,92.0,225.5,1,0,-,-,-,50.0%,37.5%,70.9,18.2%,54.5%,18.2%,100.0%,50.0%,25.0%,0.0%,25.0%,37.5%,12.5%,37.5%,50.0%,80.0%
Ozzie Albies SHB,,+710,17,4.00,8,0,0,94.2,294.7,3,2,-,-,25.0%,50.0%,50.0%,68.4,-,70.0%,30.0%,100.0%,75.0%,37.5%,0.0%,37.5%,25.0%,50.0%,50.0%,-,50.0%
Ronald Acuna Jr. RHB,,+395,26,4.60,8,0,0,92.2,235.6,1,1,-,-,12.5%,37.5%,62.5%,76.9,83.3%,41.7%,25.0%,85.7%,75.0%,12.5%,0.0%,62.5%,12.5%,12.5%,37.5%,50.0%,66.7%
Ha-Seong Kim RHB,,+1000,12,2.80,8,0,0,90.3,183.8,0,0,-,-,37.5%,37.5%,50.0%,73.0,30.0%,40.0%,30.0%,83.3%,75.0%,12.5%,0.0%,62.5%,12.5%,50.0%,37.5%,12.5%,50.0%
Drake Baldwin LHB,,+495,29,4.80,8,0,2,88.1,256.7,3,2,12.5%,-,12.5%,37.5%,62.5%,75.1,40.0%,40.0%,20.0%,100.0%,75.0%,25.0%,0.0%,50.0%,-,12.5%,50.0%,37.5%,25.0%
Michael Harris II LHB,,+490,18,4.40,8,0,0,94.5,261.3,1,0,-,-,25.0%,62.5%,50.0%,75.5,71.4%,35.7%,21.4%,100.0%,62.5%,12.5%,0.0%,50.0%,37.5%,37.5%,50.0%,12.5%,100.0%
Dominic Smith LHB,—,N/A,12,2.20,8,0,1,88.5,306.0,2,1,-,-,-,25.0%,25.0%,68.5,9.1%,54.5%,-,100.0%,50.0%,50.0%,0.0%,-,50.0%,-,75.0%,25.0%,40.0%
Brewer Hicklen RHB,—,N/A,5,1.80,3,0,0,100.0,258.5,1,0,-,-,66.7%,100.0%,66.7%,74.2,33.3%,100.0%,66.7%,100.0%,100.0%,33.3%,0.0%,66.7%,-,66.7%,33.3%,-,50.0%
