Matchup,ATL @ CWS
Pitcher,Chris Sale
Pitcher Team,ATL
Opposing Team,CWS

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,72.2,294,0.210,0.264,0.311,0.101,1.03,6,0.74,6.5%,29.8%,29.3%,23.7%,14.8%,10.65,62.5%,6.3%,6.6%,30.2%,24.2%,13.6%,14.3%
vsLHB,18.0,73,0.221,0.264,0.324,0.103,1.00,1,0.50,4.1%,28.9%,32.9%,29.3%,13.8%,12.00,60.3%,6.4%,9.1%,27.3%,11.4%,20.0%,11.4%
vsRHB,54.1,221,0.206,0.264,0.307,0.101,1.05,5,0.83,7.2%,30.0%,28.1%,22.1%,15.2%,10.27,63.2%,6.3%,5.8%,31.2%,28.3%,12.8%,15.2%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Edgar Quero SHB,,+1000,15,14,2.80,1,1,0.250,0.357,0.500,0.250,0.370,14.3%,16.7%,14.3%,10.8%,87.9,254.7,2,1,10.0%,-,40.0%,30.0%,40.0%,68.8,4.8%,38.1%,9.5%,87.5%,30.0%,33.3%,30.0%,40.0%,60.0%,30.0%,10.0%,63.6%
Miguel Vargas RHB,,+410,22,13,5.00,1,1,0.444,0.615,0.778,0.333,0.567,30.8%,8.3%,-,3.6%,95.5,268.5,4,2,11.1%,11.1%,44.4%,66.7%,55.6%,73.8,33.3%,42.9%,19.0%,87.5%,44.4%,25.0%,44.4%,-,44.4%,33.3%,22.2%,36.4%
Chase Meidroth RHB,,+1220,10,12,4.80,1,1,0.300,0.417,0.600,0.300,0.432,16.7%,13.6%,8.3%,6.0%,92.6,346.3,2,1,12.5%,12.5%,12.5%,50.0%,25.0%,66.8,-,35.0%,10.0%,90.9%,25.0%,50.0%,-,75.0%,50.0%,25.0%,25.0%,27.3%
Derek Hill RHB,,+900,34,11,1.80,1,1,0.200,0.273,0.600,0.400,0.365,9.1%,38.1%,18.2%,20.5%,84.4,259.9,1,1,12.5%,12.5%,12.5%,25.0%,12.5%,72.8,33.3%,27.8%,11.1%,85.7%,50.0%,25.0%,-,25.0%,25.0%,37.5%,37.5%,42.9%
Randal Grichuk RHB,,+410,35,11,2.20,1,1,0.300,0.364,0.600,0.300,0.412,9.1%,25.0%,18.2%,12.5%,83.4,217.6,1,1,12.5%,12.5%,25.0%,25.0%,37.5%,73.7,30.0%,15.0%,10.0%,100.0%,12.5%,100.0%,25.0%,37.5%,50.0%,25.0%,25.0%,37.5%
Drew Romo SHB,—,N/A,11,11,4.00,1,1,0.111,0.273,0.444,0.333,0.309,18.2%,33.3%,27.3%,18.9%,75.7,246.3,1,1,16.7%,-,-,16.7%,33.3%,69.4,6.2%,12.5%,6.2%,80.0%,33.3%,50.0%,16.7%,16.7%,-,83.3%,16.7%,70.0%
Luisangel Acuna RHB,,+1150,16,14,2.80,0,1,0.154,0.143,0.231,0.077,0.154,-,18.2%,7.1%,8.9%,84.5,296.0,4,2,7.7%,-,7.7%,30.8%,15.4%,70.9,21.1%,42.1%,15.8%,90.5%,15.4%,0.0%,15.4%,53.8%,38.5%,38.5%,23.1%,40.0%
Colson Montgomery LHB,,+680,12,14,4.40,0,2,0.333,0.429,0.583,0.250,0.428,14.3%,24.1%,7.1%,13.7%,89.0,328.8,5,2,18.2%,-,18.2%,54.5%,45.5%,75.0,44.0%,24.0%,24.0%,86.2%,18.2%,0.0%,36.4%,45.5%,45.5%,45.5%,9.1%,73.3%
Andrew Benintendi LHB,—,N/A,8,13,3.80,0,0,0.250,0.308,0.333,0.083,0.285,7.7%,33.3%,46.2%,20.0%,77.4,308.7,1,1,16.7%,-,16.7%,50.0%,50.0%,68.4,-,11.1%,7.4%,81.8%,16.7%,0.0%,33.3%,33.3%,66.7%,33.3%,-,58.8%
Sam Antonacci LHB,,+1260,10,12,5.00,0,1,0.091,0.167,0.091,-,0.134,-,23.8%,33.3%,9.3%,88.7,342.2,1,1,14.3%,-,14.3%,28.6%,14.3%,68.7,-,20.0%,13.3%,71.4%,28.6%,0.0%,-,71.4%,28.6%,71.4%,-,25.0%
Tristan Peters LHB,,+1100,-,11,3.80,0,0,0.182,0.182,0.182,-,0.162,-,27.8%,9.1%,13.9%,57.3,143.2,0,0,-,-,-,-,10.0%,69.0,-,10.0%,-,62.5%,-,-,10.0%,40.0%,40.0%,40.0%,20.0%,41.7%
Jacob Gonzalez LHB,,+900,-,4,3.40,0,0,0.333,0.500,0.333,-,0.385,25.0%,50.0%,50.0%,14.3%,99.3,-,0,0,-,-,-,100.0%,-,72.4,-,25.0%,-,66.7%,-,-,-,100.0%,100.0%,-,-,0.0%
