Matchup,ATL @ NYM
Pitcher,Martin Perez
Pitcher Team,ATL
Opposing Team,NYM

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,85.1,349,0.215,0.295,0.375,0.160,1.20,10,1.05,10.3%,22.1%,18.6%,17.2%,9.3%,6.86,61.6%,6.3%,6.5%,37.0%,22.0%,16.7%,20.3%
vsLHB,24.2,102,0.245,0.318,0.436,0.191,1.18,4,1.46,5.9%,20.8%,21.6%,14.7%,9.9%,8.03,62.7%,8.5%,8.3%,41.7%,25.0%,22.2%,18.1%
vsRHB,60.2,247,0.202,0.285,0.347,0.146,1.20,6,0.89,12.1%,22.9%,17.4%,18.9%,9.1%,6.38,61.1%,5.3%,5.7%,35.1%,20.7%,13.9%,21.3%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
A.J. Ewing LHB,,+700,11,4.80,10,1,2,87.1,280.3,2,2,10.0%,-,10.0%,60.0%,10.0%,69.2,-,42.9%,42.9%,93.3%,30.0%,20.0%,50.0%,10.0%,60.0%,30.0%,30.0%,40.0%,20.0%
Francisco Lindor SHB,,+480,15,4.60,10,1,1,94.8,298.8,1,1,10.0%,10.0%,20.0%,60.0%,20.0%,73.2,33.3%,53.3%,20.0%,100.0%,30.0%,20.0%,50.0%,10.0%,70.0%,90.0%,10.0%,-,42.9%
Luis Torrens RHB,—,N/A,16,3.40,10,1,1,87.0,232.9,3,1,10.0%,-,10.0%,40.0%,40.0%,72.0,10.0%,50.0%,30.0%,90.9%,50.0%,20.0%,50.0%,30.0%,40.0%,50.0%,10.0%,40.0%,33.3%
Tyrone Taylor RHB,,+720,15,2.60,10,1,2,84.1,243.7,2,1,10.0%,10.0%,20.0%,40.0%,20.0%,73.3,16.7%,58.3%,25.0%,92.3%,20.0%,20.0%,50.0%,-,50.0%,70.0%,10.0%,20.0%,16.7%
Eric Wagaman RHB,,+725,9,3.20,10,1,1,80.2,296.2,3,1,10.0%,10.0%,20.0%,20.0%,50.0%,73.1,46.2%,30.8%,15.4%,100.0%,60.0%,30.0%,33.3%,30.0%,40.0%,40.0%,-,60.0%,37.5%
Luis Robert RHB,,+512,16,2.80,3,1,1,102.9,359.4,3,1,33.3%,-,-,100.0%,100.0%,75.7,66.7%,50.0%,33.3%,100.0%,100.0%,66.7%,50.0%,33.3%,-,-,66.7%,33.3%,66.7%
Carson Benge LHB,,+1060,30,4.40,10,0,1,83.7,233.7,2,0,-,-,20.0%,20.0%,60.0%,71.3,8.3%,58.3%,8.3%,100.0%,60.0%,10.0%,0.0%,50.0%,30.0%,40.0%,10.0%,50.0%,42.9%
Marcus Semien RHB,,+640,8,3.20,10,0,1,90.5,269.9,5,1,-,-,20.0%,20.0%,50.0%,68.6,-,44.4%,-,100.0%,70.0%,30.0%,0.0%,40.0%,20.0%,30.0%,30.0%,40.0%,28.6%
Francisco Alvarez RHB,,+390,22,3.80,10,0,0,87.9,85.7,0,0,-,-,-,40.0%,-,74.2,50.0%,37.5%,18.8%,94.1%,-,-,-,-,90.0%,50.0%,30.0%,20.0%,55.6%
Bo Bichette RHB,,+680,16,4.40,10,0,0,84.5,213.5,1,0,-,-,30.0%,20.0%,50.0%,72.4,38.5%,23.1%,-,100.0%,60.0%,10.0%,0.0%,50.0%,30.0%,40.0%,30.0%,30.0%,28.6%
Brett Baty LHB,—,N/A,18,3.60,10,0,0,84.2,193.0,0,0,-,-,10.0%,30.0%,40.0%,74.4,58.8%,29.4%,11.8%,100.0%,30.0%,-,-,30.0%,70.0%,30.0%,50.0%,20.0%,28.6%
Jorge Polanco SHB,,+680,5,3.60,7,0,0,85.3,280.6,3,0,-,-,28.6%,28.6%,42.9%,69.4,12.5%,50.0%,-,100.0%,57.2%,28.6%,0.0%,28.6%,28.6%,28.6%,28.6%,42.9%,75.0%
Jared Young LHB,,+860,9,3.00,2,0,0,95.0,-,0,0,-,-,-,50.0%,-,73.8,-,50.0%,50.0%,66.7%,-,-,-,-,100.0%,50.0%,50.0%,-,100.0%
