Matchup,ATL @ SF
Pitcher,Reynaldo Lopez
Pitcher Team,ATL
Opposing Team,SF

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,43.2,188,0.236,0.316,0.394,0.158,1.37,6,1.24,11.2%,20.2%,20.7%,18.2%,8.9%,8.04,57.1%,8.1%,5.5%,35.4%,27.6%,11.4%,20.5%
vsLHB,22.0,103,0.229,0.335,0.361,0.133,1.77,2,0.82,19.4%,24.2%,21.4%,15.6%,9.7%,9.00,52.4%,8.2%,4.9%,32.8%,21.3%,7.7%,24.6%
vsRHB,21.0,85,0.244,0.293,0.427,0.183,1.00,4,1.71,1.2%,15.0%,20.0%,23.3%,7.6%,7.29,62.8%,8.0%,6.1%,37.9%,33.3%,13.6%,16.7%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Bryce Eldridge LHB,,+625,32,22,4.20,2,2,0.412,0.545,0.765,0.353,0.541,22.7%,12.1%,9.1%,4.8%,96.1,290.7,5,2,20.0%,13.3%,20.0%,66.7%,33.3%,74.0,36.7%,30.0%,23.3%,93.8%,20.0%,66.7%,26.7%,46.7%,60.0%,40.0%,-,16.7%
Willy Adames RHB,,+555,27,14,4.00,2,2,0.143,0.143,0.571,0.429,0.300,-,40.0%,35.7%,19.0%,87.1,327.2,5,3,22.2%,11.1%,22.2%,33.3%,55.6%,70.3,16.7%,27.8%,11.1%,90.0%,44.4%,50.0%,22.2%,33.3%,55.6%,33.3%,11.1%,12.5%
Rafael Devers LHB,,+517,26,13,4.00,2,2,0.333,0.538,1.000,0.667,0.591,30.8%,33.3%,23.1%,14.5%,97.9,347.6,3,3,33.3%,16.7%,16.7%,83.3%,33.3%,72.3,36.0%,20.0%,16.0%,92.6%,66.7%,50.0%,16.7%,16.7%,16.7%,50.0%,33.3%,33.3%
Victor Bericoto RHB,,+900,2,2,2.40,2,2,1.000,1.000,4.000,3.000,2.100,-,0.0%,-,-,108.7,444.6,2,2,100.0%,-,-,100.0%,100.0%,75.4,66.7%,66.7%,66.7%,100.0%,100.0%,100.0%,-,-,-,100.0%,-,50.0%
Luis Arraez LHB,,+1450,6,20,4.20,1,3,0.400,0.400,0.800,0.400,0.510,-,4.7%,-,2.3%,91.9,292.3,9,5,-,-,25.0%,40.0%,45.0%,63.9,-,47.2%,2.8%,90.0%,45.0%,11.1%,30.0%,25.0%,25.0%,45.0%,30.0%,5.9%
Eric Haase RHB,,+940,34,14,3.00,1,1,0.143,0.143,0.357,0.214,0.214,-,35.0%,21.4%,15.2%,84.4,272.7,3,1,9.1%,-,9.1%,45.5%,18.2%,72.7,16.7%,38.9%,11.1%,90.0%,27.3%,33.3%,9.1%,36.4%,36.4%,45.5%,18.2%,8.3%
Drew Gilbert LHB,,+1100,8,16,2.60,0,1,0.364,0.562,0.545,0.182,0.477,25.0%,5.9%,6.2%,1.6%,88.8,222.7,3,1,-,-,20.0%,40.0%,60.0%,70.1,-,35.3%,11.8%,100.0%,10.0%,0.0%,60.0%,20.0%,40.0%,30.0%,30.0%,7.1%
Casey Schmitt RHB,,+550,35,16,4.00,0,2,0.333,0.375,0.467,0.133,0.371,-,32.1%,31.2%,17.0%,95.6,248.6,2,2,20.0%,-,20.0%,70.0%,40.0%,73.2,37.5%,33.3%,25.0%,85.7%,30.0%,0.0%,30.0%,30.0%,30.0%,50.0%,20.0%,29.4%
Jung Hoo Lee LHB,,+1280,14,15,4.00,0,1,0.286,0.267,0.357,0.071,0.263,-,18.8%,6.7%,8.8%,87.9,289.8,6,2,-,-,7.1%,21.4%,42.9%,68.4,-,44.4%,7.4%,84.4%,35.7%,0.0%,35.7%,21.4%,14.3%,64.3%,21.4%,25.0%
Matt Chapman RHB,,+650,27,12,4.00,0,0,-,0.167,-,-,0.108,16.7%,30.8%,33.3%,14.3%,80.8,275.5,2,1,-,-,16.7%,-,16.7%,75.6,48.0%,-,-,96.2%,50.0%,0.0%,16.7%,33.3%,33.3%,50.0%,16.7%,16.7%
Daniel Susac RHB,,+1000,14,11,3.40,0,0,0.273,0.273,0.364,0.091,0.277,-,29.6%,18.2%,21.1%,76.2,226.5,1,0,-,-,11.1%,11.1%,44.4%,69.1,4.3%,17.4%,4.3%,85.2%,22.2%,0.0%,11.1%,44.4%,44.4%,33.3%,22.2%,50.0%
Jonah Cox RHB,—,N/A,-,3,2.60,0,0,-,-,-,-,-,-,42.9%,66.7%,25.0%,35.6,-,0,0,-,-,-,-,-,68.8,-,-,-,85.7%,-,-,-,-,-,-,100.0%,50.0%
Buddy Kennedy RHB,—,N/A,-,1,1.40,0,0,-,-,-,-,-,-,0.0%,100.0%,-,-,-,0,0,-,-,-,-,-,74.7,-,-,-,100.0%,-,-,-,-,-,-,-,0.0%
