Matchup,BAL @ ATH
Pitcher,Jacob Lopez
Pitcher Team,ATH
Opposing Team,BAL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,94.0,419,0.252,0.333,0.419,0.167,1.48,15,1.44,11.2%,24.9%,21.5%,18.2%,11.4%,8.62,60.9%,7.0%,5.7%,29.4%,33.3%,12.9%,19.0%
vsLHB,25.2,109,0.200,0.265,0.284,0.084,1.25,2,0.70,11.9%,24.9%,24.8%,19.7%,11.0%,9.47,57.8%,9.0%,2.9%,33.3%,26.1%,11.1%,23.2%
vsRHB,67.1,310,0.270,0.357,0.467,0.196,1.59,13,1.74,11.0%,25.0%,20.3%,17.6%,11.5%,8.42,61.9%,6.2%,6.7%,28.1%,35.7%,13.3%,17.6%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Coby Mayo RHB,—,N/A,31,3.60,8,2,2,94.3,312.5,3,3,37.5%,25.0%,50.0%,62.5%,75.0%,76.0,50.0%,75.0%,50.0%,100.0%,75.0%,37.5%,66.7%,37.5%,25.0%,62.5%,25.0%,12.5%,50.0%
Samuel Basallo LHB,—,N/A,10,3.60,8,1,1,91.4,293.8,3,1,25.0%,25.0%,25.0%,37.5%,37.5%,74.9,45.5%,45.5%,18.2%,91.7%,37.5%,25.0%,50.0%,12.5%,50.0%,62.5%,12.5%,25.0%,75.0%
Pete Alonso RHB,—,N/A,30,4.20,8,1,1,95.2,262.6,1,1,12.5%,12.5%,25.0%,75.0%,37.5%,76.2,53.3%,40.0%,40.0%,100.0%,50.0%,25.0%,50.0%,25.0%,50.0%,37.5%,62.5%,-,66.7%
Christian Encarnacion-Strand RHB,—,N/A,36,4.20,8,1,2,92.7,271.9,3,3,37.5%,-,12.5%,37.5%,50.0%,77.3,66.7%,55.6%,33.3%,100.0%,62.5%,37.5%,33.3%,25.0%,25.0%,37.5%,50.0%,12.5%,60.0%
Christian Franklin RHB,—,N/A,8,3.00,8,0,1,96.1,306.3,3,2,25.0%,-,-,75.0%,37.5%,74.1,60.0%,40.0%,13.3%,100.0%,62.5%,37.5%,0.0%,25.0%,25.0%,-,37.5%,62.5%,37.5%
Leody Taveras SHB,—,N/A,10,4.20,8,0,0,97.2,227.2,0,0,-,-,-,75.0%,12.5%,73.3,36.4%,63.6%,45.5%,100.0%,50.0%,-,-,50.0%,50.0%,37.5%,37.5%,25.0%,0.0%
Dylan Beavers LHB,—,N/A,9,3.60,8,0,0,77.6,196.8,1,0,-,-,-,12.5%,25.0%,73.0,25.0%,50.0%,-,72.7%,37.5%,25.0%,0.0%,12.5%,25.0%,25.0%,25.0%,50.0%,28.6%
Yohel Pozo RHB,—,N/A,5,2.00,8,0,1,82.8,203.2,1,0,-,-,12.5%,12.5%,37.5%,69.1,6.7%,26.7%,6.7%,93.8%,50.0%,-,-,50.0%,37.5%,25.0%,50.0%,25.0%,75.0%
Colton Cowser LHB,—,N/A,16,3.60,8,0,0,89.8,226.0,2,0,-,-,25.0%,37.5%,50.0%,74.5,66.7%,41.7%,16.7%,85.7%,50.0%,12.5%,0.0%,37.5%,37.5%,37.5%,37.5%,25.0%,33.3%
Carlos Narvaez RHB,—,N/A,23,2.60,8,0,0,90.6,297.7,5,0,-,-,12.5%,25.0%,37.5%,72.4,22.2%,33.3%,5.6%,94.7%,75.0%,62.5%,0.0%,12.5%,25.0%,37.5%,37.5%,25.0%,40.0%
Gunnar Henderson LHB,—,N/A,15,4.40,8,0,0,87.4,220.7,0,0,-,-,12.5%,25.0%,12.5%,74.4,37.5%,37.5%,12.5%,88.9%,50.0%,37.5%,0.0%,12.5%,37.5%,37.5%,37.5%,25.0%,25.0%
Jackson Holliday LHB,—,N/A,13,4.60,8,0,0,88.6,261.2,2,0,-,-,12.5%,37.5%,37.5%,70.4,11.1%,66.7%,22.2%,75.0%,75.0%,37.5%,0.0%,37.5%,12.5%,37.5%,25.0%,37.5%,42.9%
