Matchup,BAL @ BOS
Pitcher,Chris Bassitt
Pitcher Team,BAL
Opposing Team,BOS

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,53.1,245,0.299,0.356,0.430,0.131,1.58,5,0.84,8.2%,21.9%,14.7%,15.2%,10.0%,6.07,56.7%,7.0%,3.9%,35.4%,21.5%,12.8%,15.5%
vsLHB,30.2,148,0.317,0.397,0.516,0.198,1.83,5,1.47,10.8%,22.6%,14.2%,13.7%,10.4%,6.16,54.4%,6.6%,6.5%,38.0%,25.9%,17.9%,18.5%
vsRHB,22.0,97,0.273,0.294,0.307,0.034,1.27,0,-,4.1%,20.6%,15.5%,17.9%,9.3%,6.14,60.2%,7.8%,-,31.5%,15.1%,-,11.0%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Willson Contreras RHB,+680,20,4.40,2,2,0.250,0.250,0.650,0.400,0.380,-,22.0%,30.0%,11.2%,86.4,14.3%,7.1%,14.3%,42.9%,28.6%,77.2,71.8%,20.5%,12.8%,95.1%,21.4%,66.7%,14.3%,50.0%,50.0%,28.6%,21.4%,42.9%
Jarren Duran LHB,+509,13,5.00,1,1,0.455,0.462,0.909,0.455,0.541,7.7%,28.6%,23.1%,13.0%,93.7,22.2%,11.1%,22.2%,33.3%,55.6%,78.1,81.0%,19.0%,14.3%,100.0%,22.2%,50.0%,44.4%,22.2%,33.3%,55.6%,11.1%,10.0%
Connor Wong RHB,N/A,23,3.80,0,1,0.238,0.304,0.381,0.143,0.299,8.7%,30.3%,30.4%,13.0%,83.4,7.1%,7.1%,35.7%,35.7%,28.6%,72.4,26.7%,20.0%,16.7%,93.8%,14.3%,0.0%,21.4%,57.1%,78.6%,21.4%,-,26.1%
Isiah Kiner-Falefa RHB,+1800,16,4.20,0,0,0.250,0.250,0.312,0.062,0.246,-,16.0%,12.5%,9.1%,87.4,-,-,7.1%,35.7%,35.7%,68.9,4.2%,41.7%,12.5%,96.0%,28.6%,0.0%,14.3%,50.0%,28.6%,57.1%,14.3%,38.9%
Mickey Gasper SHB,+980,15,4.20,0,0,0.231,0.267,0.231,-,0.221,6.7%,22.7%,20.0%,10.2%,90.3,-,-,9.1%,54.5%,18.2%,71.6,10.5%,42.1%,21.1%,86.4%,36.4%,0.0%,18.2%,45.5%,36.4%,27.3%,36.4%,28.6%
Ceddanne Rafaela RHB,+980,14,4.80,0,0,0.286,0.286,0.357,0.071,0.281,-,24.1%,14.3%,14.0%,92.4,16.7%,-,8.3%,41.7%,33.3%,69.4,-,33.3%,18.5%,93.1%,25.0%,0.0%,25.0%,50.0%,25.0%,58.3%,16.7%,43.8%
Caleb Durbin RHB,+1340,14,4.20,0,0,0.286,0.286,0.571,0.286,0.363,-,17.4%,7.1%,9.3%,83.8,-,-,15.4%,23.1%,23.1%,67.3,-,42.9%,14.3%,91.3%,-,-,23.1%,61.5%,53.8%,23.1%,23.1%,41.2%
Masataka Yoshida LHB,+1120,14,3.80,0,1,0.143,0.143,0.286,0.143,0.179,-,21.7%,14.3%,9.6%,87.8,-,-,8.3%,33.3%,25.0%,72.0,11.8%,47.1%,11.8%,73.9%,50.0%,0.0%,8.3%,33.3%,25.0%,58.3%,16.7%,13.3%
Wilyer Abreu LHB,+545,13,4.40,0,1,0.083,0.154,0.083,-,0.118,7.7%,12.5%,-,6.7%,82.4,8.3%,-,16.7%,25.0%,25.0%,76.0,73.9%,30.4%,-,95.8%,50.0%,0.0%,8.3%,33.3%,41.7%,25.0%,33.3%,42.9%
Marcelo Mayer LHB,+990,12,3.00,0,0,0.167,0.167,0.167,-,0.148,-,6.7%,-,3.0%,83.0,8.3%,-,-,33.3%,8.3%,75.3,50.0%,28.6%,28.6%,93.3%,16.7%,0.0%,-,66.7%,41.7%,33.3%,25.0%,25.0%
Andruw Monasterio RHB,N/A,11,2.60,0,1,0.364,0.364,0.545,0.182,0.393,-,17.6%,18.2%,7.1%,88.1,11.1%,11.1%,22.2%,55.6%,55.6%,68.7,6.7%,40.0%,26.7%,88.2%,33.3%,0.0%,22.2%,33.3%,22.2%,66.7%,11.1%,17.6%
Nick Sogard SHB,+1050,9,3.40,0,0,0.167,0.444,0.333,0.167,0.357,33.3%,12.5%,22.2%,3.3%,79.9,-,-,25.0%,-,25.0%,69.7,-,33.3%,-,75.0%,-,-,25.0%,75.0%,75.0%,25.0%,-,18.2%
Carlos Narvaez RHB,N/A,9,4.00,0,0,0.375,0.444,0.375,-,0.377,-,29.2%,33.3%,15.6%,87.4,-,-,-,20.0%,60.0%,71.9,15.8%,15.8%,5.3%,79.2%,60.0%,0.0%,20.0%,20.0%,-,20.0%,80.0%,36.4%
