Matchup,BAL @ COL
Pitcher,Trevor Rogers
Pitcher Team,BAL
Opposing Team,COL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,137.2,579,0.253,0.309,0.411,0.158,1.25,16,1.05,6.4%,23.6%,20.9%,16.6%,12.3%,7.91,68.8%,8.5%,7.2%,38.0%,24.4%,13.7%,17.2%
vsLHB,36.2,146,0.187,0.231,0.276,0.090,0.95,1,0.25,6.8%,25.9%,25.3%,20.0%,12.8%,9.08,70.3%,9.3%,3.0%,28.3%,16.2%,-,16.2%
vsRHB,100.1,433,0.276,0.336,0.456,0.180,1.37,15,1.35,6.2%,22.9%,19.4%,15.4%,12.2%,7.53,68.3%,8.3%,8.5%,41.1%,27.0%,16.3%,17.6%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Cole Carrigg SHB,,+680,31,3.20,8,1,1,89.2,327.0,3,3,12.5%,-,12.5%,50.0%,25.0%,74.8,50.0%,35.7%,14.3%,100.0%,62.5%,62.5%,20.0%,-,37.5%,25.0%,50.0%,25.0%,33.3%
Troy Johnston LHB,—,N/A,12,2.40,8,1,1,86.1,306.3,3,2,12.5%,12.5%,12.5%,37.5%,50.0%,70.4,-,35.7%,14.3%,87.5%,75.0%,62.5%,20.0%,12.5%,25.0%,12.5%,50.0%,37.5%,12.5%
Hunter Goodman RHB,,+300,44,4.20,8,1,1,88.6,317.6,2,2,12.5%,12.5%,25.0%,50.0%,25.0%,75.3,47.4%,21.1%,21.1%,90.5%,37.5%,25.0%,50.0%,12.5%,62.5%,62.5%,25.0%,12.5%,50.0%
TJ Rumfield LHB,,+900,19,4.20,8,0,2,94.0,309.7,2,2,12.5%,-,12.5%,62.5%,25.0%,71.3,11.1%,55.6%,22.2%,100.0%,50.0%,50.0%,0.0%,-,50.0%,50.0%,25.0%,25.0%,60.0%
Willi Castro SHB,,+540,25,4.40,8,0,0,79.5,291.0,0,0,-,-,-,12.5%,-,71.6,14.3%,21.4%,7.1%,93.3%,12.5%,12.5%,0.0%,-,87.5%,25.0%,62.5%,12.5%,40.0%
Connor Norby RHB,,+590,23,4.00,8,0,0,81.8,253.6,1,0,-,-,12.5%,12.5%,25.0%,69.6,14.3%,35.7%,-,93.3%,50.0%,50.0%,0.0%,-,50.0%,25.0%,25.0%,50.0%,60.0%
Jake McCarthy LHB,,+990,16,4.80,8,0,0,75.8,232.8,0,0,-,-,12.5%,25.0%,50.0%,73.0,33.3%,33.3%,33.3%,85.7%,50.0%,-,-,50.0%,25.0%,50.0%,37.5%,12.5%,85.7%
Brett Sullivan LHB,—,N/A,6,3.80,8,0,1,89.8,296.0,3,1,12.5%,12.5%,37.5%,50.0%,50.0%,69.1,11.1%,33.3%,11.1%,75.0%,62.5%,12.5%,0.0%,50.0%,37.5%,50.0%,37.5%,12.5%,25.0%
Mickey Moniak LHB,,+490,17,4.00,8,0,0,87.9,233.1,1,1,12.5%,-,-,25.0%,25.0%,73.3,18.2%,54.5%,9.1%,100.0%,50.0%,25.0%,0.0%,25.0%,37.5%,25.0%,50.0%,25.0%,33.3%
Ezequiel Tovar RHB,,+680,22,2.80,8,0,1,84.8,289.5,3,1,12.5%,12.5%,25.0%,25.0%,12.5%,72.4,33.3%,26.7%,6.7%,93.8%,50.0%,50.0%,0.0%,-,37.5%,50.0%,25.0%,25.0%,60.0%
Jordan Beck RHB,,+820,16,2.60,8,0,0,83.5,252.3,1,0,-,-,25.0%,12.5%,37.5%,72.7,30.0%,30.0%,-,90.9%,75.0%,37.5%,0.0%,37.5%,25.0%,37.5%,25.0%,37.5%,66.7%
Ryan Ritter RHB,—,N/A,-,2.40,3,0,0,68.9,-,0,0,-,-,-,-,-,71.1,-,33.3%,-,100.0%,-,-,-,-,66.7%,33.3%,66.7%,-,50.0%
Adael Amador SHB,—,N/A,-,3.20,1,0,0,65.6,131.8,0,0,-,-,-,-,100.0%,72.5,-,-,-,100.0%,100.0%,-,-,100.0%,-,-,-,100.0%,-
Zac Veen LHB,—,N/A,-,1.80,1,0,0,90.0,294.6,0,0,-,-,-,-,-,-,-,-,-,-,100.0%,100.0%,0.0%,-,-,-,100.0%,-,0.0%
