Matchup,BAL @ HOU
Pitcher,Hunter Brown
Pitcher Team,HOU
Opposing Team,BAL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,35.1,153,0.211,0.312,0.359,0.148,1.39,5,1.27,14.4%,25.3%,25.5%,22.3%,10.2%,9.93,54.8%,7.0%,6.7%,38.9%,23.3%,19.0%,13.3%
vsLHB,17.2,80,0.219,0.344,0.406,0.188,1.53,3,1.53,16.2%,29.7%,27.5%,26.8%,11.4%,11.21,56.1%,6.9%,9.3%,46.5%,32.6%,14.3%,9.3%
vsRHB,17.1,73,0.203,0.277,0.312,0.109,1.27,2,1.04,12.3%,20.9%,23.3%,18.3%,8.8%,8.83,53.4%,7.2%,4.3%,31.9%,14.9%,28.6%,17.0%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Samuel Basallo LHB,,+406,31,4.20,10,2,3,95.5,358.2,4,3,30.0%,-,-,60.0%,30.0%,74.9,43.8%,43.8%,31.2%,94.1%,50.0%,30.0%,33.3%,20.0%,50.0%,40.0%,30.0%,30.0%,40.0%
Leody Taveras SHB,—,N/A,12,2.40,10,1,1,85.2,246.2,1,1,10.0%,-,10.0%,40.0%,20.0%,75.5,46.2%,38.5%,23.1%,92.9%,50.0%,30.0%,33.3%,20.0%,40.0%,30.0%,50.0%,20.0%,42.9%
Pete Alonso RHB,,+322,25,4.40,10,1,1,84.9,258.2,1,1,10.0%,-,10.0%,40.0%,60.0%,73.9,38.5%,38.5%,30.8%,92.9%,70.0%,30.0%,33.3%,40.0%,30.0%,20.0%,50.0%,30.0%,83.3%
Gunnar Henderson LHB,,+519,19,4.40,10,1,2,95.3,321.1,3,2,10.0%,10.0%,20.0%,50.0%,20.0%,74.9,46.7%,53.3%,33.3%,100.0%,50.0%,40.0%,25.0%,10.0%,50.0%,40.0%,60.0%,-,44.4%
Dylan Beavers LHB,,+750,17,3.40,10,0,0,91.6,281.0,2,1,-,-,40.0%,50.0%,60.0%,73.7,28.6%,42.9%,35.7%,100.0%,70.0%,30.0%,0.0%,40.0%,30.0%,60.0%,20.0%,20.0%,50.0%
Tyler O'Neill RHB,—,N/A,19,2.20,10,0,1,91.6,275.1,3,1,10.0%,-,30.0%,60.0%,60.0%,72.5,22.2%,44.4%,22.2%,94.7%,70.0%,20.0%,0.0%,50.0%,30.0%,50.0%,30.0%,20.0%,37.5%
Taylor Ward RHB,,+720,20,4.40,10,0,0,84.3,251.9,0,0,-,-,10.0%,10.0%,20.0%,67.1,-,50.0%,-,100.0%,40.0%,20.0%,0.0%,20.0%,60.0%,50.0%,20.0%,30.0%,0.0%
Jeremiah Jackson RHB,—,N/A,23,1.80,10,0,0,88.5,287.6,1,0,-,-,10.0%,10.0%,20.0%,73.2,26.7%,46.7%,-,88.2%,50.0%,30.0%,0.0%,20.0%,50.0%,50.0%,20.0%,30.0%,50.0%
Colton Cowser LHB,,+573,21,3.00,10,0,1,91.6,309.5,3,2,10.0%,-,30.0%,50.0%,10.0%,75.7,56.2%,25.0%,12.5%,100.0%,50.0%,40.0%,0.0%,10.0%,50.0%,70.0%,20.0%,10.0%,57.1%
Adley Rutschman SHB,,+548,23,4.20,10,0,0,91.5,291.3,3,1,-,-,10.0%,50.0%,40.0%,70.1,7.1%,50.0%,14.3%,82.4%,50.0%,40.0%,0.0%,10.0%,50.0%,40.0%,40.0%,20.0%,16.7%
Coby Mayo RHB,,+720,16,2.20,10,0,0,98.0,201.9,1,0,-,-,40.0%,60.0%,20.0%,75.9,70.0%,70.0%,40.0%,100.0%,50.0%,30.0%,0.0%,20.0%,20.0%,50.0%,10.0%,40.0%,25.0%
Jackson Holliday LHB,,+930,22,2.60,10,0,0,82.6,223.8,0,0,-,-,-,20.0%,20.0%,70.8,8.3%,33.3%,8.3%,92.3%,30.0%,10.0%,0.0%,20.0%,70.0%,30.0%,40.0%,30.0%,20.0%
Christian Encarnacion-Strand RHB,,+256,-,5.00,2,0,0,66.6,70.8,0,0,-,-,-,-,-,70.9,50.0%,-,-,100.0%,-,-,-,-,-,-,50.0%,50.0%,50.0%
