Matchup,BAL @ MIN
Pitcher,Bailey Ober
Pitcher Team,MIN
Opposing Team,BAL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,93.0,388,0.246,0.310,0.425,0.180,1.22,14,1.35,6.2%,19.8%,16.2%,15.9%,9.6%,6.10,62.6%,8.7%,9.7%,33.1%,29.8%,14.6%,22.1%
vsLHB,56.0,227,0.231,0.312,0.453,0.222,1.12,11,1.77,6.2%,15.3%,12.3%,11.8%,7.2%,4.50,57.2%,7.9%,11.4%,31.5%,34.8%,15.6%,26.1%
vsRHB,37.0,161,0.267,0.307,0.387,0.120,1.35,3,0.73,6.2%,26.1%,21.7%,22.3%,13.4%,8.51,70.2%,10.0%,7.0%,35.7%,21.7%,12.0%,15.7%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Leody Taveras SHB,,+560,17,3.80,10,1,2,91.0,277.7,4,1,10.0%,-,30.0%,40.0%,30.0%,73.0,23.5%,41.2%,23.5%,94.4%,90.0%,50.0%,0.0%,40.0%,-,30.0%,30.0%,40.0%,42.9%
Yohel Pozo RHB,,+980,8,2.20,10,1,1,86.6,236.5,1,1,10.0%,10.0%,30.0%,30.0%,50.0%,66.3,-,57.1%,21.4%,82.4%,50.0%,10.0%,100.0%,40.0%,30.0%,30.0%,30.0%,40.0%,37.5%
Pete Alonso RHB,,+305,31,4.20,10,1,2,92.9,326.3,5,4,40.0%,10.0%,10.0%,70.0%,40.0%,75.7,61.5%,53.8%,46.2%,86.7%,70.0%,40.0%,25.0%,30.0%,30.0%,10.0%,90.0%,-,75.0%
Carlos Narvaez RHB,—,N/A,15,3.20,10,1,1,78.0,280.2,3,1,10.0%,10.0%,10.0%,20.0%,30.0%,71.9,21.4%,42.9%,14.3%,87.5%,50.0%,40.0%,25.0%,10.0%,20.0%,50.0%,40.0%,10.0%,28.6%
Jackson Holliday LHB,,+520,25,4.20,10,1,1,92.3,270.8,4,3,20.0%,20.0%,30.0%,50.0%,40.0%,71.1,-,53.8%,15.4%,92.9%,60.0%,40.0%,25.0%,20.0%,20.0%,40.0%,10.0%,50.0%,40.0%
Dylan Beavers LHB,,+565,18,3.80,10,0,1,94.6,294.5,3,2,10.0%,-,-,60.0%,20.0%,72.9,21.1%,42.1%,21.1%,100.0%,40.0%,20.0%,0.0%,20.0%,50.0%,40.0%,30.0%,30.0%,33.3%
Tyler O'Neill RHB,,+342,19,3.60,10,0,1,88.6,272.8,3,1,-,-,20.0%,40.0%,20.0%,71.5,20.0%,30.0%,10.0%,90.9%,50.0%,30.0%,0.0%,20.0%,40.0%,40.0%,40.0%,20.0%,50.0%
Jeremiah Jackson RHB,—,N/A,27,1.80,10,0,0,86.6,256.5,1,0,-,-,10.0%,-,10.0%,73.8,31.2%,37.5%,-,88.9%,40.0%,30.0%,0.0%,10.0%,50.0%,30.0%,30.0%,40.0%,50.0%
Colton Cowser LHB,,+501,30,3.40,10,0,1,89.0,305.4,4,2,-,-,20.0%,40.0%,40.0%,73.8,42.9%,35.7%,14.3%,100.0%,70.0%,50.0%,0.0%,20.0%,30.0%,40.0%,30.0%,30.0%,66.7%
Christian Encarnacion-Strand RHB,—,N/A,20,2.20,10,0,0,92.4,234.7,2,0,20.0%,20.0%,20.0%,30.0%,40.0%,72.3,25.0%,43.8%,18.8%,94.1%,50.0%,10.0%,0.0%,40.0%,30.0%,50.0%,20.0%,30.0%,37.5%
Gunnar Henderson LHB,,+330,22,4.20,10,0,1,91.6,259.7,4,2,10.0%,-,10.0%,60.0%,40.0%,74.6,40.0%,30.0%,25.0%,100.0%,60.0%,30.0%,0.0%,30.0%,20.0%,20.0%,30.0%,50.0%,50.0%
Coby Mayo RHB,,+359,24,3.60,10,0,2,93.1,292.7,5,3,20.0%,10.0%,40.0%,40.0%,70.0%,75.6,56.2%,37.5%,18.8%,88.9%,90.0%,50.0%,0.0%,40.0%,-,40.0%,50.0%,10.0%,75.0%
Christian Franklin RHB,—,N/A,-,2.00,2,0,0,90.1,-,0,0,-,-,-,-,-,72.0,25.0%,50.0%,-,100.0%,-,-,-,-,100.0%,50.0%,50.0%,-,0.0%
