Matchup,BAL @ NYM
Pitcher,Sean Manaea
Pitcher Team,NYM
Opposing Team,BAL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,133.1,582,0.265,0.345,0.470,0.205,1.34,21,1.42,7.0%,22.0%,21.5%,18.7%,11.0%,8.44,59.3%,8.0%,11.0%,41.1%,30.2%,15.7%,22.2%
vsLHB,42.2,177,0.247,0.308,0.395,0.148,1.20,5,1.05,6.2%,26.3%,27.7%,24.1%,12.6%,10.34,60.5%,7.4%,8.9%,36.6%,17.9%,20.0%,14.3%
vsRHB,90.0,405,0.273,0.362,0.504,0.231,1.42,16,1.60,7.4%,20.2%,18.8%,16.3%,10.4%,7.60,58.8%,8.3%,11.8%,42.9%,34.9%,14.9%,25.3%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Christian Encarnacion-Strand RHB,,+410,32,4.00,8,2,2,87.0,249.2,2,2,12.5%,-,12.5%,37.5%,75.0%,75.4,50.0%,50.0%,12.5%,80.0%,75.0%,25.0%,100.0%,50.0%,12.5%,25.0%,50.0%,25.0%,75.0%
Coby Mayo RHB,,+350,35,4.40,8,1,1,82.5,288.8,1,1,12.5%,12.5%,12.5%,25.0%,25.0%,76.2,63.6%,27.3%,18.2%,100.0%,50.0%,37.5%,33.3%,12.5%,50.0%,25.0%,50.0%,25.0%,14.3%
Leody Taveras SHB,,+920,10,2.80,8,0,0,87.8,266.1,1,0,-,-,12.5%,50.0%,12.5%,73.6,50.0%,40.0%,20.0%,90.9%,25.0%,25.0%,0.0%,-,75.0%,62.5%,37.5%,-,50.0%
Dylan Beavers LHB,—,N/A,13,5.00,8,0,0,74.5,234.5,1,0,-,-,12.5%,25.0%,25.0%,72.2,16.7%,50.0%,33.3%,75.0%,50.0%,25.0%,0.0%,25.0%,50.0%,25.0%,-,75.0%,33.3%
Samuel Basallo LHB,—,N/A,10,2.80,8,0,0,80.8,246.9,1,0,-,-,12.5%,25.0%,-,73.2,36.4%,27.3%,9.1%,100.0%,25.0%,25.0%,0.0%,-,62.5%,75.0%,-,25.0%,33.3%
Yohel Pozo RHB,—,N/A,9,1.60,8,0,0,86.2,211.8,0,0,-,-,-,12.5%,12.5%,69.9,7.1%,21.4%,-,100.0%,25.0%,25.0%,0.0%,-,62.5%,12.5%,50.0%,37.5%,42.9%
Pete Alonso RHB,,+300,30,4.80,8,0,1,99.2,318.8,2,2,25.0%,-,12.5%,75.0%,37.5%,74.4,28.6%,50.0%,35.7%,100.0%,50.0%,25.0%,0.0%,25.0%,50.0%,25.0%,75.0%,-,20.0%
Jeremiah Jackson RHB,,+800,21,2.40,8,0,1,92.8,318.8,3,2,37.5%,-,-,62.5%,62.5%,73.6,31.2%,31.2%,25.0%,94.1%,62.5%,12.5%,0.0%,50.0%,37.5%,-,62.5%,37.5%,60.0%
Colton Cowser LHB,—,N/A,19,3.20,8,0,0,87.6,228.4,2,0,-,-,37.5%,37.5%,62.5%,73.2,42.9%,35.7%,14.3%,100.0%,62.5%,25.0%,0.0%,37.5%,25.0%,62.5%,12.5%,25.0%,12.5%
Carlos Narvaez RHB,,+790,13,2.80,8,0,0,92.0,269.4,3,0,-,-,25.0%,37.5%,12.5%,71.9,23.1%,53.8%,7.7%,100.0%,62.5%,50.0%,0.0%,12.5%,25.0%,37.5%,37.5%,25.0%,16.7%
Gunnar Henderson LHB,,+710,17,4.20,8,0,0,83.7,215.0,1,0,-,-,-,25.0%,37.5%,75.4,55.6%,22.2%,-,90.0%,25.0%,12.5%,0.0%,12.5%,62.5%,25.0%,62.5%,12.5%,37.5%
Jackson Holliday LHB,,+920,12,4.20,8,0,0,82.8,245.2,0,0,-,-,-,25.0%,12.5%,68.6,-,60.0%,-,90.9%,12.5%,12.5%,0.0%,-,87.5%,37.5%,50.0%,12.5%,28.6%
Rece Hinds RHB,,+590,6,2.00,2,0,0,79.8,254.9,1,0,-,-,-,50.0%,50.0%,71.5,20.0%,20.0%,20.0%,100.0%,100.0%,-,-,100.0%,-,-,-,100.0%,0.0%
