Matchup,BAL @ NYM
Pitcher,Xzavion Curry
Pitcher Team,NYM
Opposing Team,BAL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,18.1,78,0.232,0.317,0.406,0.174,1.31,3,1.47,10.3%,18.0%,15.4%,18.8%,8.3%,5.89,51.3%,6.2%,8.8%,36.8%,38.6%,9.1%,21.1%
vsLHB,11.1,46,0.209,0.257,0.326,0.116,1.06,1,0.79,6.5%,24.3%,15.2%,28.0%,11.6%,5.56,45.7%,8.2%,8.3%,27.8%,44.4%,6.2%,22.2%
vsRHB,7.0,32,0.269,0.404,0.538,0.269,1.71,2,2.57,15.6%,11.1%,15.6%,12.8%,5.0%,6.43,59.4%,4.3%,9.5%,52.4%,28.6%,16.7%,19.0%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
3 Gunnar Henderson LHB,,+485,20,4.40,8,1,2,85.6,345.2,4,3,37.5%,12.5%,37.5%,75.0%,62.5%,72.0,20.0%,50.0%,30.0%,83.3%,62.5%,50.0%,25.0%,12.5%,37.5%,62.5%,25.0%,12.5%,16.7%
4 Coby Mayo RHB,,+340,17,4.60,8,1,1,93.1,234.5,2,1,12.5%,12.5%,37.5%,50.0%,62.5%,74.5,57.1%,42.9%,28.6%,87.5%,50.0%,12.5%,100.0%,37.5%,37.5%,62.5%,12.5%,25.0%,37.5%
1 Dylan Beavers LHB,,+525,31,4.40,8,0,0,81.3,258.3,2,0,-,-,25.0%,25.0%,25.0%,74.8,50.0%,40.0%,20.0%,90.9%,50.0%,37.5%,0.0%,12.5%,37.5%,25.0%,50.0%,25.0%,0.0%
2 Pete Alonso RHB,,+257,37,4.80,8,0,0,77.3,239.2,1,0,-,-,12.5%,12.5%,25.0%,75.9,50.0%,16.7%,-,75.0%,50.0%,50.0%,0.0%,-,37.5%,37.5%,25.0%,37.5%,33.3%
5 Christian Encarnacion-Strand RHB,,+375,21,4.20,8,0,0,83.5,282.4,2,0,-,-,25.0%,25.0%,37.5%,74.0,41.7%,25.0%,8.3%,92.3%,62.5%,50.0%,0.0%,12.5%,37.5%,37.5%,25.0%,37.5%,80.0%
6 Samuel Basallo LHB,,+425,30,2.80,8,0,0,94.3,199.4,1,0,-,-,37.5%,50.0%,25.0%,72.3,30.0%,60.0%,40.0%,100.0%,62.5%,25.0%,0.0%,37.5%,12.5%,50.0%,25.0%,25.0%,50.0%
7 Jeremiah Jackson RHB,,+597,16,2.40,8,0,0,86.3,249.2,2,1,-,-,12.5%,25.0%,12.5%,74.0,33.3%,55.6%,11.1%,90.0%,25.0%,12.5%,0.0%,12.5%,62.5%,37.5%,37.5%,25.0%,50.0%
8 Rece Hinds RHB,,+430,7,1.80,5,0,0,91.7,232.8,0,0,-,-,20.0%,40.0%,20.0%,73.3,28.6%,28.6%,28.6%,100.0%,80.0%,60.0%,0.0%,20.0%,20.0%,20.0%,20.0%,60.0%,25.0%
9 Colton Cowser LHB,,+480,28,3.20,8,0,0,93.2,230.2,1,0,-,-,12.5%,62.5%,37.5%,74.0,45.5%,45.5%,18.2%,100.0%,50.0%,12.5%,0.0%,37.5%,50.0%,37.5%,37.5%,25.0%,28.6%
Leody Taveras SHB,—,N/A,,2.80,8,0,1,88.9,316.9,4,2,-,-,-,12.5%,37.5%,73.9,45.5%,45.5%,-,100.0%,50.0%,37.5%,0.0%,12.5%,37.5%,12.5%,75.0%,12.5%,37.5%
