Matchup,BAL @ STL
Pitcher,Chris Bassitt
Pitcher Team,BAL
Opposing Team,STL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,67.1,309,0.306,0.360,0.439,0.133,1.62,7,0.94,8.4%,20.9%,14.9%,15.2%,9.5%,6.15,58.8%,7.1%,4.4%,35.8%,22.3%,13.7%,14.4%
vsLHB,40.0,194,0.333,0.403,0.524,0.190,1.90,7,1.58,10.3%,20.5%,13.9%,12.9%,9.5%,6.08,57.4%,6.8%,6.9%,36.8%,26.4%,18.4%,17.4%
vsRHB,26.2,115,0.262,0.289,0.301,0.039,1.24,0,-,5.2%,21.7%,16.5%,20.7%,9.7%,6.41,61.2%,7.7%,-,34.1%,15.3%,-,9.4%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Ivan Herrera RHB,,+900,12,4.60,10,1,1,88.7,267.5,2,1,10.0%,-,10.0%,30.0%,20.0%,70.9,16.7%,50.0%,8.3%,80.0%,50.0%,40.0%,25.0%,10.0%,40.0%,30.0%,40.0%,30.0%,100.0%
Alec Burleson LHB,,+535,15,3.80,10,1,2,90.1,225.8,2,2,20.0%,-,10.0%,50.0%,20.0%,73.9,46.7%,40.0%,13.3%,93.8%,30.0%,30.0%,33.3%,-,50.0%,50.0%,10.0%,40.0%,57.1%
JJ Wetherholt LHB,,+770,19,4.80,10,0,1,96.3,257.2,2,0,10.0%,-,-,70.0%,20.0%,73.9,25.0%,75.0%,33.3%,100.0%,30.0%,10.0%,0.0%,20.0%,70.0%,40.0%,40.0%,20.0%,37.5%
Jimmy Crooks LHB,,+930,33,2.60,10,0,0,95.0,288.4,4,1,20.0%,10.0%,20.0%,60.0%,20.0%,74.4,41.7%,66.7%,25.0%,100.0%,70.0%,60.0%,0.0%,10.0%,20.0%,30.0%,10.0%,60.0%,50.0%
Blaze Jordan RHB,,+1320,23,4.00,10,0,0,78.1,230.3,0,0,-,-,10.0%,30.0%,30.0%,72.4,36.4%,45.5%,18.2%,78.6%,40.0%,-,-,40.0%,60.0%,40.0%,40.0%,20.0%,44.4%
Bryan Torres LHB,,+1160,20,3.00,10,0,0,91.7,320.6,3,1,-,-,10.0%,30.0%,10.0%,64.2,-,50.0%,-,94.7%,40.0%,30.0%,0.0%,10.0%,60.0%,50.0%,30.0%,20.0%,20.0%
Nathan Church LHB,,+910,12,3.60,10,0,0,83.6,204.3,0,0,-,-,-,10.0%,10.0%,68.6,15.4%,30.8%,-,92.9%,40.0%,30.0%,0.0%,10.0%,50.0%,20.0%,40.0%,40.0%,28.6%
Ramon Urias RHB,—,N/A,6,3.40,10,0,0,81.9,247.1,2,0,-,-,10.0%,20.0%,10.0%,70.9,10.0%,50.0%,-,90.9%,50.0%,50.0%,0.0%,-,40.0%,20.0%,40.0%,40.0%,62.5%
Jose Fermin RHB,,+1050,18,3.40,10,0,0,84.1,209.9,1,0,-,-,30.0%,40.0%,40.0%,69.6,-,40.0%,10.0%,100.0%,40.0%,-,-,40.0%,50.0%,50.0%,40.0%,10.0%,0.0%
Jordan Walker RHB,,+620,31,4.60,10,0,1,92.9,300.5,4,2,10.0%,-,10.0%,50.0%,40.0%,81.2,85.7%,35.7%,28.6%,100.0%,60.0%,50.0%,0.0%,10.0%,40.0%,30.0%,30.0%,40.0%,85.7%
Pedro Pages RHB,—,N/A,29,3.40,10,0,0,90.4,172.3,0,0,-,-,10.0%,50.0%,20.0%,71.7,7.7%,53.8%,30.8%,92.9%,20.0%,-,-,20.0%,60.0%,40.0%,40.0%,20.0%,33.3%
Masyn Winn RHB,—,N/A,22,3.80,10,0,0,84.0,225.0,0,0,-,-,-,30.0%,20.0%,72.8,25.0%,41.7%,8.3%,100.0%,40.0%,20.0%,0.0%,20.0%,60.0%,20.0%,30.0%,50.0%,40.0%
Joshua Baez RHB,,+600,12,3.60,7,0,1,97.0,336.4,3,2,14.3%,-,14.3%,57.1%,42.9%,77.1,66.7%,50.0%,16.7%,100.0%,71.4%,57.1%,0.0%,14.3%,28.6%,42.9%,42.9%,14.3%,60.0%
