Matchup,BOS @ CLE
Pitcher,Ranger Suarez
Pitcher Team,BOS
Opposing Team,CLE

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,53.2,213,0.211,0.267,0.325,0.113,1.08,4,0.67,8.0%,20.2%,22.1%,20.0%,9.2%,7.88,62.4%,6.6%,6.8%,33.8%,22.3%,12.1%,19.6%
vsLHB,11.2,51,0.277,0.344,0.468,0.191,1.37,2,1.54,5.9%,27.7%,27.5%,23.0%,13.2%,10.80,70.6%,8.1%,9.1%,30.3%,18.2%,33.3%,27.3%
vsRHB,42.0,162,0.190,0.242,0.279,0.088,1.00,2,0.43,8.6%,17.7%,20.4%,19.0%,8.0%,7.07,59.9%,6.1%,6.1%,34.8%,23.5%,7.4%,17.4%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Rhys Hoskins RHB,+535,16,2.80,2,3,0.333,0.375,0.917,0.583,0.479,12.5%,18.8%,25.0%,7.8%,101.6,30.0%,30.0%,70.0%,90.0%,50.0%,73.1,34.4%,31.2%,25.0%,100.0%,50.0%,20.0%,40.0%,10.0%,80.0%,20.0%,-,28.6%
Austin Hedges RHB,N/A,16,3.40,1,1,0.267,0.312,0.533,0.267,0.362,6.2%,23.1%,12.5%,10.9%,79.0,-,-,23.1%,38.5%,15.4%,69.3,4.5%,31.8%,13.6%,91.7%,23.1%,33.3%,15.4%,38.5%,46.2%,38.5%,15.4%,40.0%
Kyle Manzardo LHB,+810,7,3.80,1,1,0.667,0.714,1.167,0.500,0.774,14.3%,18.2%,14.3%,7.7%,83.7,20.0%,20.0%,20.0%,40.0%,40.0%,69.8,9.1%,18.2%,18.2%,100.0%,40.0%,50.0%,20.0%,20.0%,20.0%,60.0%,20.0%,50.0%
David Fry RHB,+417,19,2.00,0,0,0.222,0.263,0.222,-,0.222,5.3%,37.5%,42.1%,15.6%,79.9,-,-,20.0%,40.0%,30.0%,71.4,28.0%,16.0%,8.0%,89.3%,10.0%,0.0%,30.0%,50.0%,40.0%,50.0%,10.0%,13.3%
Jose Ramirez SHB,+533,15,4.00,0,0,0.333,0.400,0.417,0.083,0.349,13.3%,8.7%,-,3.5%,98.2,-,-,38.5%,69.2%,38.5%,72.8,23.8%,42.9%,28.6%,100.0%,15.4%,0.0%,38.5%,38.5%,61.5%,30.8%,7.7%,21.1%
Angel Martinez SHB,+980,15,3.60,0,0,0.267,0.267,0.400,0.133,0.286,-,22.7%,13.3%,14.3%,87.8,-,-,15.4%,46.2%,46.2%,73.1,19.0%,47.6%,23.8%,95.5%,15.4%,0.0%,30.8%,53.8%,30.8%,46.2%,23.1%,53.8%
Brayan Rocchio SHB,+1080,14,3.60,0,2,0.300,0.429,0.500,0.200,0.382,21.4%,27.3%,14.3%,11.3%,92.8,11.1%,-,11.1%,55.6%,55.6%,69.4,4.8%,38.1%,14.3%,100.0%,33.3%,0.0%,22.2%,44.4%,55.6%,22.2%,22.2%,33.3%
Chase DeLauter LHB,+770,13,4.00,0,0,0.300,0.385,0.300,-,0.305,15.4%,8.3%,7.7%,4.4%,76.4,10.0%,-,-,20.0%,30.0%,71.8,17.4%,13.0%,4.3%,95.8%,40.0%,0.0%,20.0%,40.0%,10.0%,50.0%,40.0%,29.4%
Patrick Bailey SHB,+1140,12,2.80,0,1,0.111,0.250,0.111,-,0.182,16.7%,41.7%,25.0%,19.2%,93.1,-,-,14.3%,28.6%,14.3%,72.1,20.0%,35.0%,10.0%,83.3%,28.6%,0.0%,14.3%,57.1%,14.3%,42.9%,42.9%,57.1%
Travis Bazzana LHB,+1080,8,4.20,0,2,0.125,0.125,0.250,0.125,0.159,-,31.2%,12.5%,16.7%,90.6,14.3%,-,14.3%,57.1%,28.6%,70.4,25.0%,33.3%,16.7%,80.0%,28.6%,0.0%,-,71.4%,57.1%,42.9%,-,11.1%
Daniel Schneemann LHB,+1020,6,3.40,0,0,-,0.333,-,-,0.216,33.3%,33.3%,33.3%,10.7%,96.3,-,-,-,50.0%,50.0%,71.5,33.3%,33.3%,16.7%,66.7%,-,-,50.0%,50.0%,50.0%,50.0%,-,20.0%
Petey Halpin LHB,N/A,6,2.00,0,0,-,-,-,-,-,-,16.7%,16.7%,11.1%,75.3,-,-,20.0%,20.0%,20.0%,69.7,-,60.0%,20.0%,83.3%,20.0%,0.0%,20.0%,40.0%,60.0%,40.0%,-,33.3%
