Matchup,BOS @ CWS
Pitcher,Patrick Sandoval
Pitcher Team,BOS
Opposing Team,CWS

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Junior Perez RHB,,+750,-,20,3.20,1,3,0.150,0.150,0.300,0.150,0.194,-,28.6%,25.0%,15.8%,87.6,253.2,5,4,6.7%,-,13.3%,40.0%,33.3%,75.4,61.5%,23.1%,10.3%,95.1%,53.3%,33.3%,0.0%,20.0%,20.0%,20.0%,46.7%,33.3%,15.8%
Randal Grichuk RHB,,+373,-,17,2.60,1,2,0.176,0.176,0.471,0.294,0.273,-,11.8%,11.8%,6.7%,89.1,229.3,3,2,6.7%,-,33.3%,40.0%,26.7%,74.1,41.9%,22.6%,19.4%,91.2%,60.0%,40.0%,16.7%,20.0%,20.0%,53.3%,20.0%,26.7%,29.4%
Colson Montgomery LHB,,+317,-,14,4.40,1,1,0.286,0.286,0.643,0.357,0.395,-,14.3%,21.4%,9.1%,85.5,306.7,3,2,18.2%,9.1%,27.3%,36.4%,27.3%,76.1,69.2%,19.2%,11.5%,92.9%,54.5%,54.5%,16.7%,-,45.5%,72.7%,9.1%,18.2%,30.8%
Miguel Vargas RHB,,+336,-,23,4.40,0,0,0.095,0.174,0.143,0.048,0.150,8.7%,13.2%,21.7%,5.7%,93.5,268.5,6,4,12.5%,-,25.0%,50.0%,31.2%,75.2,58.3%,33.3%,11.1%,94.7%,56.3%,37.5%,0.0%,18.8%,31.2%,56.2%,31.2%,12.5%,17.4%
Luisangel Acuna RHB,,+1150,-,20,2.20,0,1,0.400,0.400,0.450,0.050,0.375,-,34.1%,25.0%,19.7%,92.6,294.6,4,2,6.7%,-,13.3%,60.0%,40.0%,71.8,27.0%,27.0%,16.2%,92.5%,53.3%,13.3%,0.0%,40.0%,46.7%,46.7%,40.0%,13.3%,42.1%
Braden Montgomery SHB,,+710,-,19,4.00,0,0,0.176,0.211,0.235,0.059,0.195,5.3%,43.2%,42.1%,24.6%,78.5,230.9,1,0,-,-,10.0%,30.0%,10.0%,69.5,7.1%,17.9%,10.7%,75.7%,20.0%,20.0%,0.0%,-,60.0%,60.0%,20.0%,20.0%,44.4%
Chase Meidroth RHB,,+1060,-,18,4.20,0,0,0.111,0.111,0.111,-,0.099,-,15.0%,22.2%,7.3%,86.4,285.7,3,0,-,-,14.3%,42.9%,28.6%,67.5,-,28.6%,8.6%,87.5%,42.9%,28.6%,0.0%,14.3%,50.0%,50.0%,35.7%,14.3%,38.9%
Drew Romo SHB,,+800,-,13,3.20,0,0,0.100,0.308,0.100,-,0.218,23.1%,20.8%,23.1%,9.1%,84.4,210.9,0,0,-,-,-,42.9%,14.3%,68.0,-,18.2%,9.1%,95.7%,28.6%,14.3%,0.0%,14.3%,57.1%,42.9%,57.1%,-,53.8%
Tristan Peters LHB,,+900,-,12,3.00,0,0,0.182,0.250,0.182,-,0.208,-,22.2%,-,9.3%,70.4,214.5,1,0,-,-,9.1%,9.1%,27.3%,68.2,7.7%,15.4%,-,72.2%,27.3%,9.1%,0.0%,18.2%,54.5%,45.5%,36.4%,18.2%,30.8%
Andrew Benintendi LHB,—,N/A,-,12,3.40,0,0,0.182,0.250,0.273,0.091,0.234,8.3%,38.7%,41.7%,23.1%,94.6,269.6,1,1,16.7%,-,33.3%,66.7%,66.7%,68.0,-,20.0%,12.0%,80.6%,66.7%,16.7%,0.0%,50.0%,33.3%,66.7%,33.3%,-,72.7%
Sam Antonacci LHB,,+1040,-,11,3.80,0,0,0.556,0.636,0.667,0.111,0.564,9.1%,5.0%,-,2.5%,88.6,220.5,0,0,-,-,11.1%,44.4%,22.2%,69.2,-,27.8%,16.7%,90.0%,22.2%,-,-,22.2%,77.8%,66.7%,-,33.3%,27.3%
Jacob Gonzalez LHB,—,N/A,-,10,2.60,0,0,0.111,0.200,0.222,0.111,0.192,10.0%,26.3%,20.0%,11.4%,88.4,261.4,1,1,-,-,14.3%,28.6%,14.3%,71.8,26.7%,20.0%,-,83.3%,57.2%,42.9%,0.0%,14.3%,28.6%,42.9%,28.6%,28.6%,36.4%
Kyle Teel LHB,,+725,-,9,3.40,0,0,0.222,0.222,0.222,-,0.198,-,31.8%,11.1%,18.9%,81.2,200.9,0,0,-,-,12.5%,37.5%,25.0%,72.0,30.0%,25.0%,5.0%,90.9%,25.0%,-,-,25.0%,75.0%,50.0%,25.0%,25.0%,22.2%
