Matchup,BOS @ LAD
Pitcher,Emmet Sheehan
Pitcher Team,LAD
Opposing Team,BOS

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,92.2,396,0.244,0.330,0.461,0.216,1.25,17,1.65,7.3%,30.4%,26.3%,20.5%,15.2%,10.10,61.3%,7.5%,9.8%,38.7%,30.1%,22.1%,24.2%
vsLHB,51.0,220,0.250,0.339,0.490,0.240,1.29,10,1.76,7.3%,26.5%,25.5%,19.3%,12.9%,9.88,61.6%,7.7%,9.7%,40.0%,29.7%,23.3%,27.6%
vsRHB,41.1,176,0.237,0.319,0.423,0.186,1.21,7,1.52,7.4%,35.2%,27.3%,22.0%,18.3%,10.45,60.8%,7.2%,9.9%,36.9%,30.6%,20.6%,19.8%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Willson Contreras RHB,,+340,16,3.80,10,1,2,91.7,309.3,4,2,20.0%,10.0%,20.0%,50.0%,30.0%,78.1,83.3%,50.0%,33.3%,92.3%,70.0%,50.0%,20.0%,20.0%,30.0%,30.0%,60.0%,10.0%,16.7%
Anthony Seigler SHB,,+397,21,3.20,10,1,1,88.6,250.4,1,1,10.0%,10.0%,10.0%,40.0%,10.0%,67.2,-,42.9%,14.3%,93.3%,30.0%,30.0%,33.3%,-,60.0%,30.0%,30.0%,40.0%,33.3%
Wilyer Abreu LHB,,+360,22,4.40,10,1,1,88.3,284.3,2,1,10.0%,-,-,40.0%,10.0%,74.4,50.0%,27.8%,16.7%,100.0%,60.0%,60.0%,16.7%,-,30.0%,30.0%,30.0%,40.0%,14.3%
Connor Wong RHB,,+778,16,2.80,10,0,0,87.5,246.4,1,0,-,-,20.0%,50.0%,30.0%,73.9,40.0%,60.0%,30.0%,83.3%,50.0%,30.0%,0.0%,20.0%,30.0%,40.0%,40.0%,20.0%,33.3%
Andruw Monasterio RHB,,+700,14,4.40,10,0,0,88.4,289.3,6,2,10.0%,-,20.0%,40.0%,70.0%,69.4,-,63.6%,27.3%,91.7%,70.0%,40.0%,0.0%,30.0%,20.0%,20.0%,50.0%,30.0%,11.1%
Ceddanne Rafaela RHB,,+680,15,4.40,10,0,0,90.1,263.2,2,0,-,-,-,20.0%,60.0%,67.9,6.2%,50.0%,6.2%,76.2%,70.0%,10.0%,0.0%,60.0%,30.0%,10.0%,20.0%,70.0%,28.6%
Nick Sogard SHB,,+662,7,4.00,10,0,1,77.3,256.8,2,0,-,-,20.0%,20.0%,50.0%,68.5,9.1%,54.5%,18.2%,84.6%,60.0%,20.0%,0.0%,40.0%,20.0%,30.0%,30.0%,40.0%,14.3%
Carlos Narvaez RHB,,+630,19,2.80,10,0,1,72.3,293.2,5,2,-,-,10.0%,40.0%,70.0%,72.8,37.5%,31.2%,12.5%,84.2%,60.0%,40.0%,0.0%,20.0%,-,30.0%,30.0%,40.0%,50.0%
Jarren Duran LHB,,+500,22,4.00,10,0,0,87.9,260.2,1,0,-,-,20.0%,40.0%,30.0%,75.6,68.4%,31.6%,15.8%,95.0%,30.0%,20.0%,0.0%,10.0%,60.0%,30.0%,60.0%,10.0%,33.3%
Caleb Durbin RHB,,+750,13,4.40,10,0,0,69.4,207.8,0,0,-,-,10.0%,-,30.0%,68.3,-,16.7%,-,80.0%,50.0%,40.0%,0.0%,10.0%,30.0%,20.0%,40.0%,40.0%,37.5%
Masataka Yoshida LHB,,+420,25,3.00,10,0,0,81.6,243.2,1,0,-,-,10.0%,10.0%,30.0%,71.5,18.2%,27.3%,-,91.7%,40.0%,20.0%,0.0%,20.0%,50.0%,30.0%,40.0%,30.0%,22.2%
Romy Gonzalez RHB,—,N/A,11,3.60,6,0,0,76.0,242.6,1,0,-,-,-,16.7%,33.3%,71.9,18.2%,18.2%,9.1%,84.6%,50.0%,33.3%,0.0%,16.7%,50.0%,16.7%,33.3%,50.0%,60.0%
Jahmai Jones RHB,,+430,3,1.80,3,0,0,84.4,285.4,2,1,-,-,-,66.7%,-,74.3,25.0%,50.0%,25.0%,100.0%,66.7%,66.7%,0.0%,-,-,-,66.7%,33.3%,33.3%
