Matchup,BOS @ PIT
Pitcher,Jared Jones
Pitcher Team,PIT
Opposing Team,BOS

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,59.0,248,0.230,0.311,0.429,0.199,1.20,10,1.53,7.7%,30.2%,25.8%,22.8%,14.5%,9.76,57.1%,7.0%,8.0%,39.3%,26.4%,20.9%,18.4%
vsLHB,35.2,149,0.230,0.314,0.430,0.200,1.23,5,1.26,8.7%,30.7%,28.2%,22.6%,14.6%,10.60,55.6%,7.7%,6.5%,41.9%,22.6%,19.0%,19.4%
vsRHB,23.1,99,0.231,0.306,0.429,0.198,1.16,5,1.93,6.1%,29.4%,22.2%,23.2%,14.4%,8.49,59.4%,6.0%,10.0%,35.7%,31.4%,22.7%,17.1%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Connor Wong RHB,,+885,17,3.60,10,1,1,88.6,287.5,1,1,10.0%,10.0%,30.0%,50.0%,40.0%,72.9,33.3%,55.6%,44.4%,81.8%,50.0%,20.0%,50.0%,30.0%,40.0%,60.0%,30.0%,10.0%,25.0%
Wilyer Abreu LHB,,+342,33,4.20,10,1,1,90.6,317.7,5,3,-,-,30.0%,60.0%,50.0%,73.3,31.2%,43.8%,31.2%,100.0%,70.0%,30.0%,33.3%,40.0%,20.0%,40.0%,50.0%,10.0%,42.9%
Jarren Duran LHB,,+546,31,4.20,10,1,1,95.5,249.2,2,2,10.0%,-,10.0%,70.0%,20.0%,76.1,70.6%,47.1%,35.3%,100.0%,30.0%,20.0%,50.0%,10.0%,50.0%,50.0%,20.0%,30.0%,33.3%
Willson Contreras RHB,,+381,33,4.20,10,0,0,80.1,241.8,2,1,-,-,40.0%,30.0%,40.0%,76.4,61.9%,19.0%,9.5%,100.0%,60.0%,30.0%,0.0%,30.0%,30.0%,60.0%,20.0%,20.0%,50.0%
Andruw Monasterio RHB,,+930,13,3.40,10,0,0,84.2,254.0,2,0,-,-,30.0%,10.0%,50.0%,71.8,18.2%,45.5%,9.1%,100.0%,70.0%,30.0%,0.0%,40.0%,20.0%,50.0%,10.0%,40.0%,50.0%
Eli White RHB,—,N/A,16,3.20,10,0,1,71.7,235.1,1,1,-,-,10.0%,20.0%,30.0%,71.7,21.4%,21.4%,7.1%,93.3%,30.0%,30.0%,0.0%,-,50.0%,30.0%,50.0%,20.0%,100.0%
Anthony Seigler SHB,—,N/A,28,4.20,10,0,1,87.0,269.5,5,1,10.0%,-,30.0%,50.0%,60.0%,66.8,-,80.0%,20.0%,83.3%,70.0%,40.0%,0.0%,30.0%,10.0%,30.0%,30.0%,40.0%,33.3%
Ceddanne Rafaela RHB,,+700,16,4.60,10,0,0,73.7,214.4,1,0,-,-,10.0%,10.0%,40.0%,68.9,-,45.5%,9.1%,78.6%,60.0%,20.0%,0.0%,40.0%,30.0%,20.0%,50.0%,30.0%,100.0%
Adley Rutschman SHB,,+511,22,4.60,10,0,0,88.2,292.7,1,1,-,-,-,40.0%,50.0%,70.0,11.8%,47.1%,11.8%,89.5%,40.0%,20.0%,0.0%,20.0%,60.0%,30.0%,60.0%,10.0%,20.0%
Nick Sogard SHB,,+1120,12,4.60,10,0,0,90.3,278.5,1,0,-,-,10.0%,30.0%,20.0%,69.4,7.1%,57.1%,14.3%,93.3%,50.0%,30.0%,0.0%,20.0%,50.0%,50.0%,20.0%,30.0%,14.3%
Caleb Durbin RHB,,+1060,13,4.20,10,0,0,76.3,215.9,0,0,-,-,20.0%,-,30.0%,69.3,8.7%,17.4%,-,95.8%,40.0%,30.0%,0.0%,10.0%,40.0%,40.0%,50.0%,10.0%,37.5%
Masataka Yoshida LHB,,+620,21,4.60,10,0,0,90.0,277.8,2,1,-,-,10.0%,40.0%,10.0%,70.9,15.4%,46.2%,15.4%,81.2%,20.0%,10.0%,0.0%,10.0%,70.0%,50.0%,30.0%,20.0%,16.7%
Jahmai Jones RHB,—,N/A,7,2.20,5,0,0,83.3,228.6,2,1,-,-,-,40.0%,-,72.2,25.0%,25.0%,12.5%,100.0%,40.0%,40.0%,0.0%,-,20.0%,20.0%,60.0%,20.0%,20.0%
