Matchup,CHC @ KC
Pitcher,Seth Lugo
Pitcher Team,KC
Opposing Team,CHC

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,128.2,547,0.272,0.339,0.447,0.175,1.38,15,1.05,8.0%,18.8%,18.1%,17.2%,8.6%,6.92,65.6%,8.5%,8.8%,43.0%,30.9%,12.2%,15.8%
vsLHB,82.0,359,0.282,0.344,0.443,0.161,1.49,7,0.77,8.6%,18.8%,18.7%,17.0%,8.4%,7.35,63.4%,8.7%,8.2%,42.4%,30.0%,9.1%,15.6%
vsRHB,45.0,188,0.254,0.330,0.456,0.201,1.24,8,1.60,6.9%,18.8%,17.0%,17.8%,8.9%,6.40,69.7%,7.9%,9.9%,44.0%,32.6%,17.4%,16.3%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Tyrone Taylor RHB,—,N/A,33,2.80,10,2,2,88.6,332.5,4,3,30.0%,20.0%,40.0%,50.0%,20.0%,71.9,30.8%,38.5%,30.8%,92.9%,50.0%,40.0%,50.0%,10.0%,40.0%,40.0%,60.0%,-,11.1%
Pedro Ramirez SHB,,+708,16,3.40,10,1,1,92.6,333.3,3,2,-,-,20.0%,60.0%,40.0%,72.5,26.7%,46.7%,26.7%,93.8%,40.0%,10.0%,0.0%,30.0%,60.0%,50.0%,50.0%,-,22.2%
Nico Hoerner RHB,,+1280,12,4.20,10,1,1,80.2,239.9,3,1,10.0%,10.0%,20.0%,30.0%,40.0%,67.7,-,25.0%,5.0%,80.0%,50.0%,30.0%,33.3%,20.0%,30.0%,30.0%,30.0%,40.0%,22.2%
Pete Crow-Armstrong LHB,,+361,28,4.80,10,1,1,94.6,249.8,3,1,10.0%,10.0%,60.0%,70.0%,40.0%,76.8,55.6%,38.9%,38.9%,100.0%,70.0%,30.0%,33.3%,40.0%,20.0%,70.0%,20.0%,10.0%,50.0%
Miguel Amaya RHB,,+800,33,3.00,10,0,1,91.9,243.3,3,1,10.0%,-,30.0%,40.0%,70.0%,70.9,12.5%,56.2%,25.0%,94.1%,60.0%,20.0%,0.0%,40.0%,20.0%,30.0%,40.0%,30.0%,44.4%
Alex Bregman RHB,,+587,20,4.60,10,0,1,93.4,267.9,2,1,-,-,10.0%,50.0%,20.0%,70.9,-,83.3%,-,100.0%,50.0%,30.0%,0.0%,20.0%,40.0%,40.0%,50.0%,10.0%,33.3%
Carson Kelly RHB,—,N/A,13,3.80,10,0,0,78.5,241.5,1,0,-,-,10.0%,20.0%,40.0%,70.1,16.7%,25.0%,8.3%,100.0%,60.0%,20.0%,0.0%,40.0%,30.0%,40.0%,60.0%,-,20.0%
Dansby Swanson RHB,,+486,17,4.00,10,0,0,92.6,268.0,0,0,-,-,-,40.0%,20.0%,70.9,-,72.7%,27.3%,91.7%,40.0%,20.0%,0.0%,20.0%,60.0%,40.0%,40.0%,20.0%,62.5%
Michael Conforto LHB,,+610,33,3.20,10,0,2,90.0,280.6,2,2,-,-,30.0%,30.0%,30.0%,72.9,30.0%,40.0%,-,90.9%,40.0%,30.0%,0.0%,10.0%,60.0%,70.0%,10.0%,20.0%,33.3%
Seiya Suzuki RHB,,+450,30,4.80,10,0,0,90.0,245.7,3,1,10.0%,-,30.0%,50.0%,20.0%,74.9,58.3%,41.7%,25.0%,70.6%,60.0%,30.0%,0.0%,30.0%,30.0%,40.0%,30.0%,30.0%,0.0%
Ian Happ SHB,,+520,26,3.00,10,0,0,86.0,191.4,0,0,-,-,10.0%,30.0%,20.0%,70.9,25.0%,41.7%,8.3%,92.3%,30.0%,10.0%,0.0%,20.0%,60.0%,40.0%,30.0%,30.0%,28.6%
Michael Busch LHB,,+520,30,4.40,10,0,0,90.6,229.7,0,0,-,-,10.0%,50.0%,30.0%,69.3,-,47.1%,17.6%,94.4%,30.0%,-,-,30.0%,60.0%,60.0%,20.0%,20.0%,33.3%
James Triantos RHB,—,N/A,-,1.33,1,0,0,98.2,-,0,0,-,-,-,100.0%,-,70.1,-,50.0%,-,100.0%,-,-,-,-,100.0%,-,-,100.0%,100.0%
