Matchup,CHC @ NYM
Pitcher,Nolan McLean
Pitcher Team,NYM
Opposing Team,CHC

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,83.1,344,0.196,0.275,0.319,0.123,1.09,8,0.86,9.3%,24.4%,28.2%,22.8%,10.4%,10.48,60.3%,6.6%,5.8%,35.0%,22.3%,17.4%,14.1%
vsLHB,45.1,196,0.224,0.304,0.365,0.141,1.28,5,0.99,10.2%,24.0%,26.5%,23.7%,10.6%,10.32,62.8%,7.6%,5.8%,40.0%,27.5%,15.2%,15.0%
vsRHB,37.1,148,0.160,0.238,0.260,0.099,0.88,3,0.72,8.1%,25.0%,30.4%,21.8%,10.2%,10.85,57.0%,5.3%,5.8%,27.9%,15.1%,23.1%,12.8%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Pete Crow-Armstrong LHB,—,N/A,19,27,5.00,3,4,0.520,0.556,1.120,0.600,0.694,7.4%,28.3%,25.9%,14.0%,90.6,289.2,7,5,11.1%,-,38.9%,61.1%,50.0%,75.5,58.8%,23.5%,15.7%,96.2%,44.4%,37.5%,33.3%,22.2%,50.0%,44.4%,5.6%,36.7%
Alex Bregman RHB,—,N/A,16,19,4.80,1,1,0.333,0.474,0.533,0.200,0.435,21.1%,11.1%,10.5%,4.8%,85.6,232.0,2,1,7.7%,7.7%,15.4%,30.8%,38.5%,69.2,2.9%,23.5%,5.9%,94.4%,15.4%,50.0%,15.4%,38.5%,30.8%,46.2%,23.1%,9.5%
Ian Happ SHB,—,N/A,32,28,4.60,0,1,0.192,0.214,0.231,0.038,0.196,3.6%,25.5%,32.1%,13.0%,86.0,291.6,4,2,-,-,27.8%,38.9%,27.8%,71.1,6.1%,18.4%,6.1%,89.1%,44.4%,0.0%,16.7%,38.9%,38.9%,50.0%,11.1%,34.5%
Michael Busch LHB,—,N/A,23,25,4.80,0,1,0.200,0.360,0.250,0.050,0.290,16.0%,19.4%,24.0%,6.6%,89.1,274.7,2,1,7.1%,-,14.3%,50.0%,35.7%,69.4,3.4%,31.0%,13.8%,85.3%,35.7%,0.0%,21.4%,42.9%,35.7%,42.9%,21.4%,16.7%
Pedro Ramirez SHB,—,N/A,20,21,1.80,0,1,0.250,0.286,0.300,0.050,0.261,4.8%,6.2%,4.8%,2.6%,90.2,293.5,4,2,5.3%,-,15.8%,36.8%,31.6%,73.2,27.6%,37.9%,20.7%,90.6%,36.8%,0.0%,15.8%,47.4%,42.1%,42.1%,15.8%,16.0%
Nico Hoerner RHB,—,N/A,8,21,4.80,0,0,0.100,0.143,0.150,0.050,0.134,4.8%,2.8%,14.3%,1.2%,85.3,230.7,2,0,-,-,17.6%,23.5%,11.8%,68.1,-,34.4%,12.5%,91.4%,5.9%,0.0%,17.6%,70.6%,47.1%,23.5%,29.4%,10.5%
Seiya Suzuki RHB,—,N/A,22,21,4.80,0,1,0.188,0.381,0.312,0.125,0.318,23.8%,24.2%,33.3%,9.1%,93.6,286.3,2,1,11.1%,-,-,44.4%,44.4%,73.2,32.3%,19.4%,12.9%,93.9%,33.3%,0.0%,22.2%,44.4%,33.3%,33.3%,33.3%,5.9%
Michael Conforto LHB,—,N/A,23,20,2.20,0,0,0.056,0.150,0.056,-,0.109,10.0%,41.0%,45.0%,18.4%,87.8,298.2,4,0,-,-,11.1%,33.3%,22.2%,73.5,35.5%,9.7%,-,91.2%,33.3%,0.0%,22.2%,44.4%,33.3%,44.4%,22.2%,33.3%
Dansby Swanson RHB,—,N/A,20,19,4.20,0,0,0.231,0.421,0.231,-,0.311,26.3%,26.7%,15.8%,11.9%,87.2,221.5,2,0,-,-,27.3%,27.3%,18.2%,71.0,10.7%,14.3%,7.1%,96.6%,18.2%,0.0%,27.3%,36.4%,36.4%,45.5%,18.2%,26.7%
Carson Kelly RHB,—,N/A,13,18,4.20,0,0,0.294,0.333,0.353,0.059,0.304,5.6%,13.8%,11.1%,6.2%,77.4,222.4,3,0,-,-,26.7%,13.3%,26.7%,71.1,13.6%,22.7%,-,75.9%,6.7%,0.0%,20.0%,60.0%,53.3%,26.7%,20.0%,35.0%
