Matchup,CHC @ WSH
Pitcher,Kevin Gausman
Pitcher Team,CHC
Opposing Team,WSH

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,134.1,566,0.251,0.301,0.396,0.145,1.26,16,1.07,6.5%,27.0%,23.1%,18.2%,13.6%,8.78,62.9%,6.2%,7.3%,38.8%,25.2%,14.0%,15.4%
vsLHB,76.0,320,0.246,0.295,0.379,0.133,1.26,7,0.83,7.5%,25.7%,20.9%,16.7%,12.7%,7.93,61.8%,5.5%,6.6%,35.8%,24.9%,10.5%,11.8%
vsRHB,57.2,246,0.259,0.309,0.418,0.159,1.27,9,1.40,5.3%,28.6%,26.0%,20.2%,14.7%,9.99,64.2%,7.1%,8.3%,42.9%,25.6%,18.6%,20.2%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Andres Chaparro RHB,—,N/A,12,3.00,8,2,2,85.6,287.4,4,3,25.0%,25.0%,37.5%,37.5%,50.0%,74.9,40.0%,40.0%,20.0%,90.9%,62.5%,37.5%,33.3%,25.0%,25.0%,37.5%,50.0%,12.5%,20.0%
Abimelec Ortiz LHB,,+541,24,3.00,10,1,1,92.9,325.7,6,3,20.0%,10.0%,30.0%,40.0%,50.0%,76.5,68.8%,31.2%,25.0%,88.9%,80.0%,50.0%,20.0%,30.0%,20.0%,40.0%,40.0%,20.0%,60.0%
Dylan Crews RHB,,+475,20,4.40,10,1,2,91.8,284.3,4,2,20.0%,10.0%,20.0%,50.0%,60.0%,75.6,46.2%,38.5%,38.5%,100.0%,70.0%,40.0%,25.0%,30.0%,20.0%,40.0%,50.0%,10.0%,28.6%
Daylen Lile LHB,,+528,24,4.00,10,1,2,93.3,302.0,3,2,-,-,50.0%,60.0%,30.0%,72.9,23.5%,41.2%,11.8%,100.0%,80.0%,60.0%,16.7%,20.0%,20.0%,60.0%,10.0%,30.0%,20.0%
Harry Ford RHB,—,N/A,10,3.60,7,1,1,86.7,317.7,2,1,-,-,-,28.6%,14.3%,68.4,-,50.0%,12.5%,100.0%,42.9%,42.9%,33.3%,-,57.1%,57.1%,28.6%,14.3%,40.0%
Jorbit Vivas LHB,,+1160,18,2.80,10,0,0,82.6,224.5,1,0,-,-,10.0%,10.0%,10.0%,67.6,-,25.0%,-,100.0%,30.0%,20.0%,0.0%,10.0%,50.0%,40.0%,40.0%,20.0%,57.1%
CJ Abrams LHB,,+360,28,4.80,10,0,0,89.3,250.8,2,0,-,-,10.0%,50.0%,50.0%,73.0,33.3%,40.0%,13.3%,83.3%,50.0%,10.0%,0.0%,40.0%,40.0%,30.0%,40.0%,30.0%,33.3%
Jose Tena LHB,,+750,12,2.40,10,0,0,92.2,267.4,2,0,-,-,10.0%,50.0%,30.0%,73.8,40.0%,35.0%,15.0%,100.0%,40.0%,10.0%,0.0%,30.0%,60.0%,50.0%,30.0%,20.0%,83.3%
Keibert Ruiz SHB,,+750,11,4.00,10,0,0,91.4,279.5,3,1,-,-,50.0%,50.0%,60.0%,68.0,-,90.0%,20.0%,100.0%,80.0%,30.0%,0.0%,50.0%,10.0%,60.0%,30.0%,10.0%,66.7%
Nasim Nuñez SHB,,+1700,12,3.80,10,0,0,90.4,272.2,1,0,-,-,20.0%,30.0%,40.0%,68.8,-,60.0%,6.7%,100.0%,60.0%,20.0%,0.0%,40.0%,40.0%,40.0%,40.0%,20.0%,44.4%
Brady House RHB,—,N/A,23,4.00,10,0,2,92.8,270.2,5,2,20.0%,-,20.0%,60.0%,40.0%,72.5,18.2%,72.7%,45.5%,91.7%,80.0%,40.0%,0.0%,40.0%,20.0%,40.0%,50.0%,10.0%,22.2%
Jacob Young RHB,,+1200,12,3.80,10,0,0,83.3,262.8,2,0,-,-,20.0%,20.0%,60.0%,68.2,-,58.3%,16.7%,75.0%,80.0%,40.0%,0.0%,40.0%,10.0%,30.0%,40.0%,30.0%,42.9%
