Matchup,CIN @ CHC
Pitcher,Kevin Gausman
Pitcher Team,CHC
Opposing Team,CIN

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,150.1,633,0.254,0.303,0.399,0.145,1.26,18,1.08,6.5%,27.0%,23.5%,18.6%,13.4%,8.92,63.1%,6.4%,7.0%,38.7%,24.7%,14.7%,16.3%
vsLHB,85.1,363,0.250,0.302,0.392,0.142,1.30,9,0.95,7.7%,26.1%,21.8%,17.4%,12.7%,8.33,60.5%,5.7%,6.6%,36.7%,25.4%,12.3%,12.9%
vsRHB,64.0,270,0.259,0.304,0.408,0.149,1.23,9,1.27,4.8%,28.1%,25.9%,20.3%,14.5%,9.84,66.7%,7.3%,7.5%,41.4%,23.7%,18.2%,21.0%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Matt McLain RHB,,+600,22,4.20,8,2,2,90.2,302.4,4,3,25.0%,25.0%,25.0%,50.0%,37.5%,71.8,16.7%,41.7%,25.0%,92.3%,62.5%,62.5%,40.0%,-,25.0%,50.0%,25.0%,25.0%,20.0%
Tyler Stephenson RHB,,+560,27,3.80,8,2,2,90.5,276.3,3,2,25.0%,-,12.5%,50.0%,50.0%,70.8,11.1%,55.6%,33.3%,90.0%,62.5%,37.5%,66.7%,25.0%,12.5%,12.5%,37.5%,50.0%,33.3%
Eugenio Suarez RHB,,+440,15,4.40,8,1,1,87.2,273.2,3,2,-,-,12.5%,37.5%,37.5%,72.9,26.7%,26.7%,13.3%,100.0%,75.0%,62.5%,20.0%,12.5%,12.5%,25.0%,50.0%,25.0%,71.4%
JJ Bleday LHB,,+430,11,4.40,8,1,1,95.2,237.2,2,2,12.5%,12.5%,50.0%,62.5%,75.0%,73.2,27.3%,63.6%,45.5%,100.0%,75.0%,12.5%,100.0%,62.5%,12.5%,62.5%,37.5%,-,60.0%
Jose Trevino RHB,—,N/A,17,3.40,8,1,1,78.3,259.9,2,1,12.5%,-,12.5%,12.5%,37.5%,70.0,12.5%,50.0%,12.5%,100.0%,37.5%,37.5%,33.3%,-,50.0%,37.5%,37.5%,25.0%,14.3%
TJ Friedl LHB,—,N/A,12,1.80,8,1,1,80.9,263.0,1,1,12.5%,12.5%,25.0%,25.0%,25.0%,71.7,-,44.4%,11.1%,100.0%,50.0%,37.5%,33.3%,12.5%,37.5%,62.5%,12.5%,25.0%,0.0%
Sal Stewart RHB,,+440,20,4.60,8,0,1,95.0,276.7,2,1,12.5%,-,12.5%,50.0%,50.0%,72.1,15.4%,46.2%,30.8%,86.7%,62.5%,25.0%,0.0%,37.5%,37.5%,25.0%,50.0%,25.0%,25.0%
Edwin Arroyo SHB,,+1400,10,3.60,8,0,1,90.8,313.3,2,2,12.5%,-,12.5%,50.0%,12.5%,70.5,9.1%,54.5%,-,84.6%,50.0%,50.0%,0.0%,-,50.0%,50.0%,25.0%,25.0%,50.0%
Elly De La Cruz SHB,,+420,14,4.80,8,0,0,98.3,245.6,2,1,12.5%,12.5%,12.5%,75.0%,50.0%,77.6,80.0%,100.0%,40.0%,83.3%,62.5%,25.0%,0.0%,37.5%,25.0%,25.0%,37.5%,37.5%,0.0%
Dane Myers RHB,,+800,11,5.00,8,0,0,92.8,-,0,0,-,-,-,37.5%,-,70.5,11.1%,44.4%,11.1%,100.0%,-,-,-,-,100.0%,37.5%,37.5%,25.0%,62.5%
Héctor Rodríguez LHB,,+560,18,4.40,7,0,0,81.1,-,0,0,-,-,-,14.3%,-,72.0,28.6%,57.1%,-,100.0%,-,-,-,-,85.7%,42.9%,42.9%,14.3%,60.0%
Ivan Johnson SHB,—,N/A,-,2.20,1,0,0,71.6,224.8,0,0,-,-,-,-,-,72.6,-,-,-,100.0%,100.0%,100.0%,0.0%,-,-,-,-,100.0%,-
