Matchup,CIN @ LAD
Pitcher,Rhett Lowder
Pitcher Team,CIN
Opposing Team,LAD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,116.0,520,0.269,0.337,0.440,0.171,1.49,16,1.24,9.0%,18.7%,17.3%,16.0%,8.3%,6.98,58.4%,7.9%,9.2%,38.0%,28.8%,14.7%,16.9%
vsLHB,69.1,322,0.263,0.352,0.466,0.203,1.62,12,1.56,11.8%,19.6%,18.3%,16.7%,8.4%,7.66,51.9%,7.1%,11.7%,39.9%,36.8%,14.6%,17.5%
vsRHB,46.2,198,0.278,0.312,0.401,0.123,1.31,4,0.77,4.5%,17.1%,15.7%,14.7%,8.1%,5.98,69.0%,9.2%,5.8%,35.3%,17.3%,14.8%,16.0%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Kyle Tucker LHB,,+540,14,3.20,8,1,1,92.9,295.3,1,1,12.5%,12.5%,25.0%,37.5%,25.0%,72.0,8.3%,41.7%,16.7%,100.0%,62.5%,62.5%,20.0%,-,37.5%,50.0%,12.5%,37.5%,28.6%
Tommy Edman SHB,,+600,14,4.20,8,1,1,92.0,306.4,2,1,-,-,12.5%,37.5%,25.0%,70.3,-,66.7%,33.3%,81.8%,37.5%,25.0%,50.0%,12.5%,62.5%,50.0%,25.0%,25.0%,16.7%
Shohei Ohtani LHB,,+230,28,4.60,8,0,0,84.5,262.7,1,0,-,-,-,25.0%,12.5%,74.2,27.3%,36.4%,18.2%,91.7%,37.5%,25.0%,0.0%,12.5%,62.5%,50.0%,25.0%,25.0%,25.0%
Max Muncy LHB,,+422,28,3.60,8,0,0,91.9,263.2,4,1,25.0%,12.5%,25.0%,50.0%,62.5%,70.3,-,46.7%,6.7%,93.8%,62.5%,37.5%,0.0%,25.0%,25.0%,37.5%,50.0%,12.5%,50.0%
Freddie Freeman LHB,,+430,26,4.00,8,0,0,86.4,229.0,0,0,-,-,37.5%,25.0%,37.5%,70.3,7.1%,21.4%,-,93.3%,75.0%,37.5%,0.0%,37.5%,25.0%,62.5%,25.0%,12.5%,62.5%
Mookie Betts RHB,,+537,19,4.40,8,0,0,94.3,245.0,0,0,-,-,25.0%,62.5%,37.5%,67.2,-,100.0%,12.5%,100.0%,50.0%,12.5%,0.0%,37.5%,50.0%,37.5%,50.0%,12.5%,25.0%
Teoscar Hernandez RHB,,+426,25,4.00,8,0,0,100.7,153.7,0,0,-,-,25.0%,75.0%,12.5%,73.1,29.4%,47.1%,35.3%,100.0%,25.0%,-,-,25.0%,62.5%,50.0%,50.0%,-,28.6%
Eliezer Alfonzo SHB,—,N/A,1,3.00,8,0,0,88.5,263.4,1,1,-,-,25.0%,25.0%,25.0%,68.8,7.1%,35.7%,7.1%,93.3%,50.0%,37.5%,0.0%,12.5%,37.5%,37.5%,62.5%,-,28.6%
Alex Call RHB,—,N/A,13,3.00,8,0,0,84.5,256.6,2,0,-,-,12.5%,-,50.0%,66.0,-,41.7%,-,92.3%,62.5%,25.0%,0.0%,37.5%,37.5%,25.0%,62.5%,12.5%,33.3%
Alex Freeland SHB,,+700,21,2.00,8,0,0,96.6,266.7,3,2,25.0%,-,12.5%,50.0%,25.0%,73.6,16.7%,50.0%,33.3%,100.0%,37.5%,25.0%,0.0%,12.5%,50.0%,50.0%,37.5%,12.5%,40.0%
Miguel Rojas RHB,—,N/A,16,2.20,8,0,0,82.5,270.8,0,0,-,-,25.0%,25.0%,25.0%,71.2,10.0%,20.0%,20.0%,100.0%,50.0%,25.0%,0.0%,25.0%,50.0%,62.5%,25.0%,12.5%,75.0%
Enrique Hernandez RHB,—,N/A,4,2.80,8,0,0,90.6,274.5,3,1,-,-,25.0%,25.0%,25.0%,72.3,33.3%,77.8%,11.1%,100.0%,62.5%,37.5%,0.0%,25.0%,25.0%,25.0%,37.5%,37.5%,16.7%
Will Smith RHB,,+560,29,3.00,8,0,0,92.3,236.1,2,0,-,-,12.5%,50.0%,25.0%,70.2,11.1%,66.7%,22.2%,90.0%,62.5%,37.5%,0.0%,25.0%,25.0%,25.0%,75.0%,-,14.3%
Hunter Feduccia LHB,,+680,17,2.40,8,0,0,85.1,262.8,2,2,12.5%,12.5%,25.0%,50.0%,75.0%,69.3,11.1%,66.7%,11.1%,90.0%,75.0%,12.5%,0.0%,62.5%,12.5%,25.0%,50.0%,25.0%,20.0%
