Matchup,CIN @ MIL
Pitcher,Rhett Lowder
Pitcher Team,CIN
Opposing Team,MIL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,47.1,216,0.266,0.348,0.436,0.170,1.58,6,1.14,11.6%,20.1%,18.1%,17.9%,8.4%,7.42,54.6%,8.0%,10.7%,40.3%,23.5%,17.1%,16.1%
vsLHB,28.1,135,0.254,0.362,0.465,0.211,1.69,5,1.59,14.1%,19.2%,18.5%,18.7%,7.6%,7.94,50.4%,7.0%,15.7%,43.8%,33.7%,16.7%,18.0%
vsRHB,19.0,81,0.284,0.324,0.392,0.108,1.42,1,0.47,7.4%,21.4%,17.3%,16.7%,9.9%,6.63,61.7%,9.9%,3.3%,35.0%,8.3%,20.0%,13.3%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
William Contreras RHB,,+470,16,20,3.60,2,3,0.529,0.600,0.882,0.353,0.619,15.0%,21.9%,15.0%,11.7%,98.3,304.1,5,3,14.3%,7.1%,28.6%,78.6%,64.3%,72.9,30.0%,36.7%,26.7%,93.8%,71.5%,28.6%,50.0%,42.9%,28.6%,35.7%,42.9%,21.4%,38.9%
Jake Bauers LHB,,+350,17,22,3.40,1,1,0.250,0.455,0.438,0.188,0.394,27.3%,43.6%,36.4%,18.9%,98.1,284.0,1,1,12.5%,12.5%,25.0%,75.0%,37.5%,77.3,65.6%,18.8%,9.4%,84.2%,62.5%,37.5%,33.3%,25.0%,37.5%,37.5%,37.5%,25.0%,47.6%
Gary Sanchez RHB,—,N/A,28,12,3.40,1,1,0.400,0.500,0.700,0.300,0.506,16.7%,26.3%,33.3%,9.6%,94.1,369.6,1,1,16.7%,16.7%,16.7%,50.0%,33.3%,72.0,23.1%,30.8%,15.4%,86.7%,33.4%,16.7%,100.0%,16.7%,66.7%,66.7%,33.3%,-,23.1%
Brice Turang LHB,,+585,29,24,4.60,0,0,0.208,0.208,0.208,-,0.185,-,28.6%,37.5%,17.9%,85.1,269.0,3,2,6.7%,-,6.7%,40.0%,40.0%,69.6,9.3%,20.9%,9.3%,91.5%,53.3%,20.0%,0.0%,33.3%,40.0%,33.3%,33.3%,33.3%,47.6%
Cooper Pratt RHB,,+900,15,21,3.40,0,0,0.222,0.333,0.222,-,0.262,14.3%,28.6%,23.8%,13.0%,89.8,224.3,1,1,8.3%,-,8.3%,33.3%,33.3%,68.3,-,28.1%,9.4%,91.4%,50.0%,8.3%,0.0%,41.7%,50.0%,16.7%,50.0%,33.3%,26.3%
Sal Frelick LHB,,+1060,24,20,3.20,0,1,0.316,0.350,0.474,0.158,0.356,5.0%,5.7%,-,2.7%,84.1,268.5,5,2,5.6%,-,11.1%,33.3%,38.9%,69.1,9.7%,25.8%,6.5%,93.9%,50.0%,22.2%,0.0%,27.8%,33.3%,22.2%,44.4%,33.3%,21.1%
Garrett Mitchell LHB,,+506,25,19,2.40,0,0,0.176,0.263,0.176,-,0.209,10.5%,33.3%,36.8%,14.3%,93.2,243.7,1,0,-,-,10.0%,50.0%,20.0%,78.8,82.9%,14.3%,5.7%,97.2%,40.0%,20.0%,0.0%,20.0%,60.0%,50.0%,30.0%,20.0%,31.6%
Jackson Chourio RHB,,+376,29,17,4.80,0,1,0.294,0.294,0.471,0.176,0.329,-,15.2%,23.5%,7.6%,93.4,258.0,3,0,15.4%,-,7.7%,46.2%,30.8%,75.1,50.0%,31.2%,15.6%,100.0%,38.5%,15.4%,0.0%,23.1%,53.8%,46.2%,23.1%,30.8%,33.3%
David Hamilton LHB,,+870,13,16,2.60,0,1,0.200,0.250,0.267,0.067,0.231,6.2%,28.6%,31.2%,13.5%,90.5,257.6,2,2,10.0%,-,-,20.0%,30.0%,68.4,-,23.5%,2.9%,100.0%,60.0%,30.0%,0.0%,30.0%,40.0%,20.0%,50.0%,30.0%,25.0%
Christian Yelich LHB,,+518,28,15,3.60,0,0,0.167,0.333,0.167,-,0.253,13.3%,42.3%,33.3%,14.5%,92.0,206.1,0,0,-,-,-,50.0%,33.3%,74.0,37.5%,16.7%,8.3%,92.3%,50.0%,16.7%,0.0%,33.3%,50.0%,33.3%,33.3%,33.3%,31.2%
