Matchup,CIN @ SEA
Pitcher,George Kirby
Pitcher Team,SEA
Opposing Team,CIN

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,110.0,456,0.282,0.323,0.424,0.142,1.32,11,0.90,5.3%,21.6%,21.3%,19.1%,11.3%,7.94,64.7%,7.6%,7.2%,42.5%,25.3%,11.9%,9.3%
vsLHB,59.0,242,0.265,0.317,0.413,0.148,1.29,6,0.92,7.0%,20.1%,18.2%,17.8%,10.1%,6.71,63.2%,7.3%,6.1%,44.1%,29.6%,11.3%,11.2%
vsRHB,50.2,214,0.301,0.329,0.437,0.136,1.36,5,0.89,3.3%,23.2%,24.8%,20.4%,12.7%,9.41,66.4%,7.9%,8.5%,40.5%,20.3%,12.9%,7.2%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Eugenio Suarez RHB,,+541,27,4.00,10,3,4,97.8,289.6,5,4,30.0%,-,40.0%,80.0%,50.0%,71.7,14.3%,64.3%,35.7%,100.0%,80.0%,40.0%,75.0%,40.0%,10.0%,40.0%,40.0%,20.0%,50.0%
Spencer Steer RHB,,+560,24,4.40,10,2,2,84.5,235.0,3,2,20.0%,10.0%,30.0%,30.0%,40.0%,72.7,33.3%,41.7%,16.7%,100.0%,50.0%,40.0%,50.0%,10.0%,20.0%,40.0%,30.0%,30.0%,50.0%
Sal Stewart RHB,,+465,25,4.80,10,1,1,84.8,301.9,3,1,10.0%,-,-,30.0%,20.0%,73.3,46.2%,30.8%,23.1%,86.7%,60.0%,40.0%,25.0%,20.0%,40.0%,10.0%,70.0%,20.0%,37.5%
Jose Trevino RHB,—,N/A,19,3.80,10,1,1,92.4,294.0,3,2,-,-,20.0%,20.0%,10.0%,69.3,-,80.0%,20.0%,71.4%,50.0%,40.0%,25.0%,10.0%,40.0%,20.0%,50.0%,30.0%,60.0%
Edwin Arroyo SHB,,+1400,16,3.60,10,0,0,84.5,208.7,2,0,-,-,30.0%,20.0%,60.0%,69.0,-,37.5%,6.2%,94.1%,60.0%,10.0%,0.0%,50.0%,10.0%,40.0%,40.0%,20.0%,62.5%
JJ Bleday LHB,,+542,19,4.20,10,0,1,92.9,257.6,4,1,-,-,40.0%,40.0%,30.0%,73.1,31.2%,50.0%,25.0%,100.0%,70.0%,50.0%,0.0%,20.0%,20.0%,60.0%,20.0%,20.0%,33.3%
Elly De La Cruz SHB,,+475,27,4.80,10,0,1,95.4,244.6,1,1,-,-,20.0%,60.0%,50.0%,78.0,80.0%,33.3%,33.3%,100.0%,50.0%,-,-,50.0%,50.0%,50.0%,40.0%,10.0%,37.5%
TJ Friedl LHB,,+1140,14,3.00,10,0,0,77.1,207.9,0,0,-,-,30.0%,10.0%,10.0%,71.3,6.2%,12.5%,-,94.1%,40.0%,40.0%,0.0%,-,30.0%,40.0%,40.0%,20.0%,25.0%
Noelvi Marte RHB,—,N/A,18,3.20,10,0,0,84.7,175.1,0,0,-,-,-,20.0%,10.0%,72.4,30.0%,50.0%,10.0%,90.9%,10.0%,-,-,10.0%,80.0%,20.0%,50.0%,30.0%,66.7%
Ke'Bryan Hayes RHB,,+1150,34,3.60,10,0,0,88.4,278.5,3,1,-,-,10.0%,20.0%,40.0%,70.7,-,63.6%,-,91.7%,80.0%,50.0%,0.0%,30.0%,20.0%,10.0%,50.0%,40.0%,60.0%
Nathaniel Lowe LHB,—,N/A,27,4.00,10,0,0,87.5,212.5,1,1,-,-,20.0%,30.0%,10.0%,75.7,61.9%,19.0%,14.3%,95.5%,50.0%,40.0%,0.0%,10.0%,40.0%,40.0%,60.0%,-,50.0%
Tyler Stephenson RHB,,+710,24,3.40,10,0,1,91.1,317.8,3,3,10.0%,-,-,60.0%,20.0%,71.4,-,58.3%,33.3%,85.7%,40.0%,10.0%,0.0%,30.0%,60.0%,30.0%,50.0%,20.0%,50.0%
Dane Myers RHB,,+605,12,3.00,10,0,0,87.0,228.7,2,1,-,-,-,30.0%,20.0%,70.8,10.0%,60.0%,20.0%,100.0%,50.0%,30.0%,0.0%,20.0%,30.0%,20.0%,50.0%,30.0%,50.0%
