Matchup,CIN @ SF
Pitcher,Landen Roupp
Pitcher Team,SF
Opposing Team,CIN

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,134.2,574,0.225,0.297,0.347,0.122,1.31,10,0.67,11.1%,25.1%,22.5%,19.0%,10.9%,8.62,57.5%,4.8%,4.8%,29.3%,21.9%,12.2%,13.3%
vsLHB,80.2,347,0.215,0.295,0.327,0.111,1.35,5,0.56,13.0%,23.5%,21.3%,18.1%,10.0%,8.26,56.7%,4.7%,4.5%,31.8%,21.5%,10.4%,12.1%
vsRHB,53.2,227,0.239,0.299,0.376,0.137,1.27,5,0.84,8.4%,27.6%,24.2%,20.4%,12.3%,9.22,58.8%,5.0%,5.3%,25.7%,22.4%,14.7%,15.1%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Sal Stewart RHB,,+800,19,4.60,10,1,1,89.9,246.9,2,1,10.0%,-,10.0%,40.0%,40.0%,70.0,12.5%,75.0%,12.5%,88.9%,50.0%,20.0%,50.0%,30.0%,50.0%,20.0%,50.0%,30.0%,66.7%
Héctor Rodríguez LHB,,+1080,16,3.60,10,1,1,91.3,330.2,3,1,20.0%,10.0%,20.0%,30.0%,30.0%,74.4,53.3%,40.0%,13.3%,93.8%,40.0%,20.0%,0.0%,20.0%,60.0%,50.0%,20.0%,30.0%,66.7%
Jose Trevino RHB,,+1160,6,2.60,10,1,1,92.3,316.6,1,1,-,-,10.0%,50.0%,20.0%,68.4,-,64.3%,21.4%,100.0%,30.0%,10.0%,100.0%,20.0%,70.0%,30.0%,60.0%,10.0%,40.0%
Ke'Bryan Hayes RHB,,+1600,10,3.40,10,1,2,90.8,287.8,4,2,10.0%,10.0%,40.0%,50.0%,40.0%,72.3,7.7%,53.8%,23.1%,100.0%,60.0%,30.0%,33.3%,30.0%,30.0%,60.0%,20.0%,20.0%,50.0%
Dane Myers RHB,,+1300,15,4.40,10,1,1,84.6,236.9,1,1,-,-,10.0%,30.0%,20.0%,67.8,12.5%,50.0%,-,80.0%,40.0%,10.0%,100.0%,30.0%,60.0%,20.0%,50.0%,30.0%,0.0%
Eugenio Suarez RHB,,+610,24,4.20,10,0,0,92.4,248.5,2,0,-,-,10.0%,40.0%,50.0%,73.4,36.4%,54.5%,27.3%,100.0%,50.0%,10.0%,0.0%,40.0%,50.0%,50.0%,50.0%,-,50.0%
JJ Bleday LHB,,+600,10,4.40,10,0,1,90.0,258.4,2,1,10.0%,-,20.0%,60.0%,40.0%,74.1,20.0%,50.0%,30.0%,100.0%,50.0%,30.0%,0.0%,20.0%,50.0%,60.0%,20.0%,20.0%,40.0%
Matt McLain RHB,,+990,16,4.00,10,0,0,86.9,279.4,3,1,-,-,10.0%,40.0%,30.0%,71.9,25.0%,33.3%,16.7%,100.0%,60.0%,40.0%,0.0%,20.0%,40.0%,20.0%,60.0%,20.0%,20.0%
Elly De La Cruz SHB,,+750,11,4.60,10,0,0,93.8,254.6,2,0,-,-,-,40.0%,20.0%,75.9,57.1%,35.7%,21.4%,100.0%,30.0%,10.0%,0.0%,20.0%,60.0%,10.0%,60.0%,30.0%,80.0%
TJ Friedl LHB,—,N/A,6,2.20,10,0,1,79.4,263.6,4,1,-,-,10.0%,10.0%,20.0%,71.6,18.2%,45.5%,-,91.7%,70.0%,60.0%,0.0%,10.0%,10.0%,20.0%,60.0%,20.0%,40.0%
Tyler Stephenson RHB,,+870,34,4.80,10,0,0,91.3,300.9,4,0,10.0%,-,-,40.0%,40.0%,69.7,-,54.5%,18.2%,100.0%,60.0%,20.0%,0.0%,40.0%,40.0%,20.0%,60.0%,20.0%,50.0%
Ivan Johnson SHB,—,N/A,-,2.20,1,0,0,102.3,-,0,0,-,-,-,100.0%,-,72.7,-,100.0%,100.0%,100.0%,-,-,-,-,100.0%,-,100.0%,-,-
Will Banfield RHB,—,N/A,-,2.00,1,0,0,66.7,27.4,0,0,-,-,100.0%,-,-,71.6,-,-,-,100.0%,-,-,-,-,-,100.0%,-,-,100.0%
