Matchup,CIN @ STL
Pitcher,Brady Singer
Pitcher Team,CIN
Opposing Team,STL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,51.0,238,0.321,0.411,0.601,0.280,1.69,16,2.82,6.7%,22.2%,15.1%,15.2%,10.0%,6.35,54.8%,6.5%,12.6%,43.2%,27.3%,30.0%,22.4%
vsLHB,30.0,148,0.360,0.438,0.632,0.272,1.93,10,3.00,6.1%,22.8%,18.9%,17.9%,10.3%,8.40,48.3%,5.4%,12.8%,45.0%,29.4%,31.2%,24.8%
vsRHB,20.1,90,0.256,0.366,0.549,0.293,1.38,6,2.66,7.8%,21.3%,8.9%,9.9%,9.3%,3.54,65.6%,8.4%,12.2%,40.5%,24.3%,27.8%,18.9%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jordan Walker RHB,+428,17,4.20,1,1,0.312,0.353,0.562,0.250,0.393,5.9%,27.0%,29.4%,16.7%,98.0,9.1%,-,-,63.6%,36.4%,79.3,79.4%,20.6%,17.6%,91.9%,18.2%,50.0%,18.2%,54.5%,36.4%,54.5%,9.1%,53.8%
Ivan Herrera RHB,+591,13,4.40,0,0,0.200,0.385,0.400,0.200,0.348,15.4%,22.7%,7.7%,10.6%,91.7,11.1%,-,-,22.2%,33.3%,72.3,29.4%,35.3%,11.8%,81.0%,11.1%,0.0%,22.2%,44.4%,22.2%,33.3%,22.2%,37.5%
Jose Fermin RHB,N/A,13,2.60,0,0,0.333,0.385,0.417,0.083,0.353,7.7%,5.6%,23.1%,1.9%,82.1,-,-,22.2%,44.4%,22.2%,65.6,-,41.7%,33.3%,70.6%,11.1%,0.0%,22.2%,55.6%,55.6%,33.3%,11.1%,23.1%
Pedro Pages RHB,N/A,12,3.20,0,0,0.182,0.250,0.182,-,0.202,8.3%,15.0%,16.7%,6.1%,74.4,-,-,22.2%,22.2%,33.3%,73.6,27.8%,11.1%,5.6%,90.0%,22.2%,0.0%,11.1%,33.3%,33.3%,33.3%,33.3%,23.1%
Thomas Saggese RHB,N/A,12,2.20,0,0,0.091,0.167,0.091,-,0.128,8.3%,25.9%,16.7%,15.6%,86.4,-,-,11.1%,33.3%,33.3%,72.2,26.1%,21.7%,8.7%,88.5%,11.1%,0.0%,22.2%,66.7%,55.6%,33.3%,11.1%,41.7%
JJ Wetherholt LHB,+484,9,4.20,0,0,-,-,-,-,-,-,13.3%,44.4%,5.4%,97.5,-,-,-,100.0%,20.0%,72.7,20.0%,33.3%,6.7%,100.0%,40.0%,0.0%,20.0%,40.0%,-,80.0%,20.0%,25.0%
Victor Scott II LHB,+1040,8,2.80,0,0,0.143,0.250,0.286,0.143,0.240,12.5%,0.0%,-,-,88.2,-,-,42.9%,28.6%,57.1%,67.9,-,45.5%,9.1%,100.0%,14.3%,0.0%,42.9%,28.6%,71.4%,28.6%,-,25.0%
Masyn Winn RHB,+1040,8,4.20,0,0,0.143,0.125,0.143,-,0.111,-,9.1%,-,3.3%,83.8,-,-,12.5%,37.5%,25.0%,69.8,10.0%,30.0%,10.0%,90.9%,-,-,37.5%,37.5%,12.5%,37.5%,50.0%,36.4%
Alec Burleson LHB,+518,7,4.20,0,0,0.333,0.429,0.333,-,0.347,14.3%,33.3%,28.6%,18.5%,86.0,-,-,-,25.0%,-,72.9,26.7%,13.3%,6.7%,100.0%,50.0%,0.0%,-,50.0%,50.0%,-,50.0%,42.9%
Nolan Gorman LHB,+560,5,3.00,0,0,0.200,0.200,0.200,-,0.178,-,15.8%,40.0%,11.1%,82.8,-,-,33.3%,-,33.3%,73.0,35.3%,-,-,89.5%,33.3%,0.0%,33.3%,33.3%,33.3%,33.3%,33.3%,66.7%
Bryan Torres LHB,+680,3,3.60,0,0,-,-,-,-,-,-,60.0%,66.7%,27.3%,81.0,-,-,-,-,-,68.2,-,-,-,80.0%,-,-,-,-,-,-,100.0%,33.3%
Nelson Velazquez RHB,N/A,2,3.00,0,0,0.500,0.500,0.500,-,0.445,-,20.0%,-,9.1%,100.0,-,-,50.0%,100.0%,100.0%,76.0,66.7%,33.3%,33.3%,75.0%,-,-,100.0%,-,50.0%,50.0%,-,66.7%
Jimmy Crooks LHB,+890,1,3.00,0,0,-,-,-,-,-,-,100.0%,100.0%,100.0%,-,-,-,-,-,-,75.5,100.0%,-,-,100.0%,-,-,-,-,-,-,-,-
