Matchup,CLE @ BAL
Pitcher,Foster Griffin
Pitcher Team,CLE
Opposing Team,BAL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,160.1,657,0.234,0.299,0.398,0.163,1.14,23,1.29,6.2%,22.9%,21.6%,17.2%,11.1%,7.97,61.4%,7.0%,8.8%,37.3%,25.5%,17.6%,16.5%
vsLHB,44.1,178,0.190,0.274,0.374,0.184,0.92,7,1.42,5.6%,25.0%,28.1%,22.4%,11.8%,10.15,63.5%,7.3%,10.6%,35.4%,29.2%,18.2%,19.5%
vsRHB,115.1,479,0.251,0.308,0.406,0.156,1.23,16,1.25,6.5%,22.1%,19.2%,15.3%,10.8%,7.18,60.6%,6.9%,8.2%,38.0%,24.4%,17.4%,15.6%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Coby Mayo RHB,,+393,34,3.40,8,2,2,90.4,297.2,3,3,25.0%,25.0%,37.5%,62.5%,50.0%,76.6,60.0%,60.0%,30.0%,100.0%,75.0%,37.5%,33.3%,37.5%,25.0%,50.0%,25.0%,25.0%,25.0%
Pete Alonso RHB,,+350,33,4.20,8,1,2,95.5,335.5,3,3,37.5%,-,-,62.5%,37.5%,75.8,44.4%,77.8%,44.4%,100.0%,62.5%,37.5%,33.3%,25.0%,37.5%,25.0%,75.0%,-,0.0%
Christian Encarnacion-Strand RHB,,+400,33,3.60,8,1,2,86.7,300.8,4,2,25.0%,12.5%,37.5%,50.0%,62.5%,71.9,10.0%,40.0%,20.0%,100.0%,75.0%,62.5%,20.0%,12.5%,25.0%,62.5%,37.5%,-,16.7%
Leody Taveras SHB,,+1000,9,3.40,8,0,0,90.2,318.0,2,0,-,-,-,37.5%,-,73.9,50.0%,40.0%,30.0%,90.9%,25.0%,25.0%,0.0%,-,75.0%,62.5%,37.5%,-,80.0%
Dylan Beavers LHB,,+750,10,3.40,8,0,0,88.1,292.9,3,0,-,-,12.5%,50.0%,50.0%,72.5,30.8%,46.2%,23.1%,100.0%,50.0%,25.0%,0.0%,25.0%,37.5%,25.0%,37.5%,37.5%,42.9%
Samuel Basallo LHB,—,N/A,15,2.80,8,0,0,81.3,289.1,2,0,-,-,12.5%,12.5%,12.5%,73.8,50.0%,40.0%,10.0%,100.0%,50.0%,37.5%,0.0%,12.5%,50.0%,50.0%,25.0%,25.0%,50.0%
Yohel Pozo RHB,—,N/A,9,2.00,8,0,1,82.8,203.2,1,0,-,-,12.5%,12.5%,37.5%,69.0,7.1%,28.6%,7.1%,93.3%,50.0%,-,-,50.0%,37.5%,25.0%,50.0%,25.0%,71.4%
Blaze Alexander RHB,,+800,15,4.00,8,0,1,95.3,291.3,1,0,-,-,25.0%,50.0%,25.0%,72.9,30.0%,70.0%,30.0%,83.3%,37.5%,12.5%,0.0%,25.0%,62.5%,62.5%,12.5%,25.0%,62.5%
Colton Cowser LHB,,+362,18,3.60,8,0,0,87.3,252.0,2,0,-,-,37.5%,37.5%,50.0%,72.6,33.3%,33.3%,13.3%,100.0%,50.0%,25.0%,0.0%,25.0%,37.5%,75.0%,-,25.0%,12.5%
Carlos Narvaez RHB,,+830,14,3.00,8,0,0,94.5,284.5,4,0,-,-,25.0%,62.5%,25.0%,71.3,15.4%,61.5%,15.4%,92.9%,62.5%,50.0%,0.0%,12.5%,25.0%,50.0%,12.5%,37.5%,20.0%
Gunnar Henderson LHB,,+480,21,4.00,8,0,0,83.7,215.0,1,0,-,-,-,25.0%,37.5%,75.4,55.6%,22.2%,-,90.0%,25.0%,12.5%,0.0%,12.5%,62.5%,25.0%,62.5%,12.5%,37.5%
Jackson Holliday LHB,,+770,20,3.60,8,0,0,83.9,281.9,1,0,-,-,-,25.0%,50.0%,70.0,-,55.6%,11.1%,90.0%,37.5%,-,-,37.5%,62.5%,12.5%,75.0%,12.5%,16.7%
Rece Hinds RHB,,+650,5,2.20,1,0,0,59.3,-,0,0,-,-,-,-,-,71.1,-,-,-,50.0%,-,-,-,-,100.0%,-,-,100.0%,100.0%
