Matchup,CLE @ DET
Pitcher,Keider Montero
Pitcher Team,DET
Opposing Team,CLE

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,122.1,492,0.210,0.264,0.348,0.138,1.01,13,0.96,5.7%,19.2%,17.5%,17.6%,9.3%,6.33,62.9%,8.4%,7.5%,38.1%,25.2%,13.8%,18.5%
vsLHB,65.1,268,0.211,0.269,0.354,0.142,1.10,8,1.10,7.5%,17.1%,15.3%,15.2%,8.1%,5.65,61.0%,7.7%,8.7%,38.8%,32.5%,11.9%,18.0%
vsRHB,57.0,224,0.209,0.257,0.341,0.133,0.91,5,0.79,3.6%,21.7%,20.1%,20.6%,10.8%,7.11,65.2%,9.2%,6.0%,37.1%,16.2%,18.5%,19.2%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Austin Hedges RHB,—,N/A,17,3.60,10,2,2,86.0,256.1,2,2,10.0%,-,20.0%,30.0%,20.0%,69.3,-,35.7%,14.3%,93.3%,40.0%,30.0%,66.7%,10.0%,40.0%,40.0%,40.0%,20.0%,66.7%
Jo Adell RHB,,+535,27,4.80,10,1,1,93.8,316.2,5,2,20.0%,-,-,50.0%,50.0%,76.7,78.9%,26.3%,15.8%,90.5%,60.0%,30.0%,33.3%,30.0%,30.0%,20.0%,60.0%,20.0%,75.0%
Rhys Hoskins RHB,—,N/A,24,2.80,10,1,1,95.9,326.8,6,3,20.0%,10.0%,30.0%,50.0%,40.0%,71.8,7.1%,57.1%,14.3%,100.0%,80.0%,70.0%,14.3%,10.0%,20.0%,40.0%,60.0%,-,55.6%
Nathaniel Lowe LHB,,+475,31,3.80,10,1,2,94.1,310.8,6,2,10.0%,10.0%,10.0%,60.0%,40.0%,75.0,61.5%,46.2%,23.1%,92.9%,80.0%,40.0%,0.0%,40.0%,10.0%,20.0%,30.0%,50.0%,50.0%
Patrick Bailey SHB,,+750,24,3.80,10,1,1,94.7,271.8,1,1,10.0%,-,20.0%,40.0%,20.0%,73.4,33.3%,58.3%,33.3%,92.3%,50.0%,40.0%,25.0%,10.0%,40.0%,60.0%,40.0%,-,14.3%
Travis Bazzana LHB,,+800,25,4.00,10,0,1,89.5,247.3,3,0,-,-,40.0%,60.0%,20.0%,68.7,6.7%,53.3%,26.7%,88.2%,40.0%,30.0%,0.0%,10.0%,40.0%,60.0%,30.0%,10.0%,40.0%
Chase DeLauter LHB,,+524,19,5.00,10,0,1,94.2,276.1,3,1,10.0%,-,-,70.0%,40.0%,71.6,9.1%,72.7%,45.5%,100.0%,60.0%,20.0%,0.0%,40.0%,40.0%,10.0%,60.0%,30.0%,75.0%
Jose Ramirez SHB,,+543,28,4.20,10,0,0,89.4,212.3,2,2,-,-,20.0%,40.0%,30.0%,70.6,-,35.7%,21.4%,100.0%,30.0%,10.0%,0.0%,20.0%,50.0%,50.0%,50.0%,-,33.3%
Angel Martinez SHB,,+545,25,4.60,10,0,0,88.4,272.9,1,1,10.0%,-,20.0%,20.0%,50.0%,72.3,15.4%,61.5%,7.7%,100.0%,60.0%,20.0%,0.0%,40.0%,40.0%,60.0%,30.0%,10.0%,62.5%
Petey Halpin LHB,—,N/A,25,2.80,10,0,1,84.6,287.4,4,2,10.0%,-,-,30.0%,60.0%,69.7,-,35.3%,11.8%,89.5%,70.0%,60.0%,0.0%,10.0%,20.0%,20.0%,30.0%,50.0%,83.3%
Brayan Rocchio SHB,,+940,18,4.20,10,0,0,85.0,263.3,3,1,10.0%,-,10.0%,20.0%,50.0%,68.0,-,45.5%,-,91.7%,70.0%,40.0%,0.0%,30.0%,20.0%,30.0%,60.0%,10.0%,33.3%
Steven Kwan LHB,,+1480,5,5.00,10,0,0,78.8,260.2,2,0,-,-,-,-,30.0%,60.6,-,42.9%,-,87.5%,40.0%,20.0%,0.0%,20.0%,40.0%,10.0%,50.0%,40.0%,25.0%
Angel Genao SHB,,+800,14,3.60,8,0,1,97.0,289.9,4,2,25.0%,12.5%,12.5%,62.5%,62.5%,69.0,22.2%,66.7%,22.2%,90.0%,75.0%,37.5%,0.0%,37.5%,25.0%,12.5%,37.5%,50.0%,40.0%
