Matchup,CLE @ LAA
Pitcher,Grayson Rodriguez
Pitcher Team,LAA
Opposing Team,CLE

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,66.0,298,0.275,0.359,0.484,0.209,1.53,10,1.36,10.1%,24.1%,20.5%,15.5%,11.7%,8.32,60.1%,8.1%,9.9%,46.5%,26.2%,17.0%,16.8%
vsLHB,33.2,163,0.302,0.381,0.518,0.216,1.84,5,1.34,12.3%,23.8%,18.4%,13.2%,11.5%,8.02,60.7%,7.6%,8.0%,50.9%,28.6%,15.6%,13.4%
vsRHB,32.1,135,0.244,0.332,0.445,0.202,1.21,5,1.39,7.4%,24.4%,23.0%,18.8%,12.0%,8.63,59.3%,8.7%,12.2%,41.1%,23.3%,19.0%,21.1%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Petey Halpin LHB,,+750,24,4.00,10,1,1,79.5,322.7,5,3,10.0%,-,40.0%,30.0%,30.0%,70.7,10.0%,60.0%,20.0%,90.9%,70.0%,50.0%,20.0%,20.0%,20.0%,50.0%,40.0%,10.0%,66.7%
Jo Adell RHB,,+400,22,4.80,10,0,0,98.0,187.7,1,1,-,-,20.0%,60.0%,10.0%,76.9,71.4%,33.3%,28.6%,100.0%,50.0%,20.0%,0.0%,30.0%,40.0%,40.0%,30.0%,30.0%,25.0%
Angel Genao SHB,,+625,21,4.40,10,0,0,91.3,244.3,1,1,-,-,10.0%,50.0%,10.0%,72.6,7.7%,53.8%,38.5%,100.0%,40.0%,20.0%,0.0%,20.0%,60.0%,50.0%,30.0%,20.0%,57.1%
Travis Bazzana LHB,,+560,21,4.40,10,0,0,85.0,294.3,3,0,-,-,-,40.0%,40.0%,66.9,5.9%,29.4%,11.8%,94.4%,60.0%,30.0%,0.0%,30.0%,40.0%,10.0%,70.0%,20.0%,57.1%
Chase DeLauter LHB,—,N/A,16,3.00,10,0,0,93.5,292.8,3,0,-,-,-,40.0%,20.0%,69.8,-,81.8%,27.3%,84.6%,40.0%,30.0%,0.0%,10.0%,50.0%,20.0%,70.0%,10.0%,40.0%
Jose Ramirez SHB,,+402,28,4.60,10,0,1,90.0,267.2,2,0,-,-,20.0%,40.0%,50.0%,70.5,8.3%,58.3%,16.7%,100.0%,70.0%,20.0%,0.0%,50.0%,20.0%,40.0%,40.0%,20.0%,28.6%
Nathaniel Lowe LHB,,+500,27,4.80,10,0,0,89.7,258.7,2,1,10.0%,-,20.0%,40.0%,40.0%,74.3,47.1%,41.2%,23.5%,100.0%,50.0%,20.0%,0.0%,30.0%,50.0%,30.0%,50.0%,20.0%,14.3%
Patrick Bailey SHB,,+690,16,3.80,10,0,0,85.3,239.4,1,0,-,-,30.0%,30.0%,40.0%,73.1,25.0%,43.8%,6.2%,88.9%,60.0%,20.0%,0.0%,40.0%,30.0%,40.0%,50.0%,10.0%,50.0%
Austin Hedges RHB,,+488,23,3.20,10,0,0,83.3,209.4,1,0,-,-,10.0%,10.0%,20.0%,69.7,11.1%,33.3%,-,90.0%,40.0%,10.0%,0.0%,30.0%,50.0%,30.0%,20.0%,50.0%,20.0%
David Fry RHB,—,N/A,26,1.40,10,0,0,79.0,255.5,2,0,-,-,20.0%,10.0%,10.0%,72.0,8.3%,25.0%,8.3%,92.3%,30.0%,30.0%,0.0%,-,50.0%,60.0%,20.0%,20.0%,60.0%
Angel Martinez SHB,,+560,17,3.80,10,0,0,89.0,266.2,1,1,10.0%,-,10.0%,30.0%,50.0%,71.1,-,61.5%,15.4%,100.0%,50.0%,20.0%,0.0%,30.0%,40.0%,40.0%,40.0%,20.0%,33.3%
Brayan Rocchio SHB,,+840,20,4.00,10,0,0,83.8,282.7,2,1,-,-,10.0%,20.0%,10.0%,70.5,15.4%,38.5%,7.7%,100.0%,30.0%,20.0%,0.0%,10.0%,60.0%,70.0%,30.0%,-,66.7%
Steven Kwan LHB,,+1460,6,5.40,10,0,1,88.3,282.2,1,0,-,-,10.0%,30.0%,30.0%,61.0,-,66.7%,11.1%,81.8%,30.0%,10.0%,0.0%,20.0%,70.0%,30.0%,50.0%,20.0%,0.0%
