Matchup,CLE @ TEX
Pitcher,Parker Messick
Pitcher Team,CLE
Opposing Team,TEX

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,69.1,272,0.213,0.265,0.329,0.116,1.07,6,0.78,7.7%,27.8%,27.2%,22.0%,13.5%,9.61,59.9%,8.0%,5.1%,34.1%,23.3%,14.6%,17.0%
vsLHB,17.1,72,0.231,0.276,0.308,0.077,1.21,1,0.52,8.3%,29.2%,23.6%,18.5%,13.8%,8.83,69.4%,11.0%,2.1%,29.2%,27.1%,7.7%,20.8%
vsRHB,51.1,200,0.207,0.261,0.337,0.130,1.03,5,0.88,7.5%,27.3%,28.5%,23.3%,13.4%,9.99,56.5%,6.9%,6.2%,35.9%,21.9%,17.9%,15.6%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jake Burger RHB,+680,12,4.40,2,3,0.273,0.333,0.909,0.636,0.510,8.3%,27.3%,16.7%,14.6%,98.8,22.2%,11.1%,22.2%,66.7%,44.4%,76.0,66.7%,33.3%,28.6%,95.5%,66.7%,33.3%,-,22.2%,44.4%,33.3%,22.2%,30.0%
Danny Jansen RHB,+880,11,3.80,1,1,0.200,0.273,0.600,0.400,0.365,9.1%,31.6%,45.5%,13.6%,93.6,20.0%,20.0%,40.0%,40.0%,20.0%,70.6,-,31.2%,6.2%,88.9%,60.0%,33.3%,20.0%,20.0%,60.0%,40.0%,-,58.3%
Justin Foscue RHB,+960,9,2.00,1,2,0.875,0.889,1.625,0.750,1.025,11.1%,13.3%,11.1%,4.5%,100.5,28.6%,-,14.3%,85.7%,57.1%,70.2,13.3%,46.7%,40.0%,100.0%,28.6%,50.0%,28.6%,42.9%,28.6%,42.9%,28.6%,0.0%
Corey Seager LHB,+559,18,4.00,0,0,0.176,0.222,0.176,-,0.184,5.6%,36.8%,38.9%,20.9%,86.9,-,-,-,40.0%,20.0%,71.4,6.1%,18.2%,9.1%,89.2%,20.0%,0.0%,10.0%,70.0%,50.0%,20.0%,30.0%,44.4%
Ezequiel Duran RHB,+1060,13,4.20,0,0,0.273,0.385,0.273,-,0.305,15.4%,20.7%,30.8%,11.1%,89.9,-,-,14.3%,42.9%,42.9%,70.9,13.8%,20.7%,6.9%,100.0%,14.3%,0.0%,42.9%,42.9%,42.9%,42.9%,14.3%,26.7%
Brandon Nimmo LHB,+740,12,4.40,0,0,0.125,0.417,0.250,0.125,0.334,16.7%,22.7%,25.0%,9.8%,83.0,20.0%,-,-,40.0%,20.0%,73.5,38.9%,16.7%,11.1%,85.7%,20.0%,0.0%,20.0%,60.0%,60.0%,40.0%,-,38.5%
Josh Jung RHB,+830,11,4.80,0,0,0.400,0.455,0.400,-,0.383,9.1%,18.2%,-,8.2%,81.7,-,-,-,10.0%,30.0%,71.1,15.8%,21.1%,5.3%,90.5%,10.0%,0.0%,30.0%,40.0%,30.0%,30.0%,40.0%,16.7%
Evan Carter LHB,N/A,9,3.60,0,0,0.125,0.222,0.125,-,0.171,11.1%,36.4%,33.3%,17.4%,73.2,-,-,20.0%,20.0%,20.0%,70.4,16.7%,-,-,66.7%,40.0%,0.0%,-,40.0%,40.0%,40.0%,20.0%,33.3%
Kyle Higashioka RHB,N/A,8,3.80,0,1,0.500,0.625,0.667,0.167,0.544,25.0%,23.5%,-,10.0%,87.6,-,-,16.7%,33.3%,50.0%,70.1,7.7%,30.8%,7.7%,86.7%,16.7%,0.0%,50.0%,16.7%,33.3%,16.7%,50.0%,8.3%
Michael Helman RHB,+1100,6,3.20,0,0,0.167,0.167,0.167,-,0.148,-,28.6%,33.3%,19.0%,80.0,-,-,25.0%,-,25.0%,71.5,9.1%,27.3%,-,84.6%,50.0%,0.0%,25.0%,-,50.0%,50.0%,-,66.7%
Joc Pederson LHB,N/A,4,4.80,0,0,0.500,0.750,1.500,1.000,0.747,25.0%,25.0%,-,10.0%,104.2,-,-,-,100.0%,50.0%,71.1,22.2%,22.2%,22.2%,75.0%,-,-,50.0%,50.0%,50.0%,50.0%,-,0.0%
Nicky Lopez LHB,N/A,3,3.40,0,0,0.333,0.333,0.333,-,0.297,-,28.6%,33.3%,18.2%,64.9,-,-,-,50.0%,-,64.9,-,16.7%,-,100.0%,-,-,-,50.0%,-,50.0%,50.0%,100.0%
