Matchup,COL @ CHC
Pitcher,Ryan Feltner
Pitcher Team,COL
Opposing Team,CHC

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,36.1,150,0.228,0.318,0.441,0.213,1.21,6,1.49,8.7%,24.1%,17.3%,20.6%,11.6%,6.44,54.3%,9.9%,11.8%,45.5%,30.0%,18.2%,17.3%
vsLHB,18.0,71,0.185,0.259,0.338,0.154,0.94,2,1.00,7.0%,27.3%,21.1%,25.9%,12.8%,7.50,55.6%,12.4%,10.0%,46.0%,26.0%,15.4%,10.0%
vsRHB,18.0,79,0.268,0.370,0.535,0.268,1.50,4,2.00,10.1%,21.4%,13.9%,16.2%,10.5%,5.50,53.2%,7.7%,13.3%,45.0%,33.3%,20.0%,23.3%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Seiya Suzuki RHB,,+363,40,27,4.00,2,3,0.304,0.407,0.609,0.304,0.431,14.8%,36.2%,29.6%,16.0%,92.8,271.9,4,4,20.0%,13.3%,13.3%,53.3%,40.0%,73.5,31.7%,31.7%,17.1%,87.2%,20.0%,66.7%,40.0%,40.0%,46.7%,46.7%,6.7%,17.4%
Pete Crow-Armstrong LHB,,+330,15,27,4.60,2,3,0.400,0.407,0.840,0.440,0.515,-,26.3%,25.9%,14.7%,87.5,297.8,7,4,10.5%,5.3%,26.3%,47.4%,68.4%,75.8,60.0%,22.0%,18.0%,90.9%,47.4%,22.2%,26.3%,26.3%,36.8%,52.6%,10.5%,44.0%
Alex Bregman RHB,,+540,22,29,4.60,1,2,0.250,0.345,0.375,0.125,0.318,10.3%,12.8%,6.9%,6.1%,84.9,241.4,4,1,4.3%,4.3%,30.4%,34.8%,26.1%,70.3,6.8%,31.8%,9.1%,95.7%,21.7%,20.0%,17.4%,39.1%,43.5%,47.8%,8.7%,12.0%
Miguel Amaya RHB,—,N/A,17,24,2.60,1,3,0.150,0.292,0.400,0.250,0.307,8.3%,21.7%,16.7%,10.3%,85.3,257.2,3,3,18.8%,12.5%,18.8%,31.2%,37.5%,70.5,19.0%,21.4%,9.5%,97.7%,43.8%,14.3%,12.5%,31.2%,37.5%,43.8%,18.8%,27.3%
Michael Busch LHB,,+427,15,23,4.60,1,3,0.190,0.261,0.381,0.190,0.283,4.3%,28.6%,39.1%,14.3%,92.3,296.2,4,3,16.7%,8.3%,16.7%,50.0%,41.7%,69.0,11.4%,25.7%,8.6%,85.4%,50.0%,16.7%,16.7%,25.0%,33.3%,50.0%,16.7%,50.0%
Matt Shaw RHB,—,N/A,17,19,2.00,1,2,0.294,0.368,0.588,0.294,0.405,10.5%,16.2%,10.5%,8.5%,83.7,272.8,4,1,6.7%,-,6.7%,53.3%,33.3%,69.3,9.1%,27.3%,9.1%,91.7%,33.3%,20.0%,13.3%,33.3%,20.0%,46.7%,33.3%,25.0%
Nico Hoerner RHB,,+1260,16,32,4.40,0,0,0.133,0.188,0.133,-,0.152,6.2%,12.0%,6.2%,5.3%,84.4,252.0,6,2,-,-,10.7%,17.9%,35.7%,68.3,-,42.2%,8.9%,90.0%,7.1%,0.0%,32.1%,50.0%,32.1%,39.3%,28.6%,17.9%
Carson Kelly RHB,,+710,12,27,2.80,0,0,0.120,0.185,0.120,-,0.147,7.4%,15.9%,11.1%,8.0%,83.1,235.2,5,1,-,-,31.8%,27.3%,45.5%,71.0,5.4%,32.4%,2.7%,84.1%,9.1%,0.0%,36.4%,40.9%,40.9%,40.9%,18.2%,46.2%
Dansby Swanson RHB,,+630,32,23,3.60,0,0,0.200,0.304,0.250,0.050,0.256,13.0%,37.1%,30.4%,15.5%,84.4,230.0,1,0,-,-,15.4%,30.8%,30.8%,71.1,18.8%,18.8%,9.4%,94.1%,30.8%,0.0%,15.4%,38.5%,30.8%,38.5%,30.8%,27.8%
Ian Happ SHB,,+408,32,22,4.60,0,0,0.056,0.227,0.167,0.111,0.192,18.2%,27.1%,27.3%,13.0%,84.7,294.7,4,1,-,-,33.3%,33.3%,25.0%,72.3,23.3%,11.6%,7.0%,89.6%,58.3%,0.0%,8.3%,33.3%,41.7%,50.0%,8.3%,38.1%
