Matchup,COL @ CHC
Pitcher,Sean Sullivan
Pitcher Team,COL
Opposing Team,CHC

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,3.0,12,0.182,0.237,0.273,0.091,0.67,0,-,-,17.2%,16.7%,13.3%,10.2%,6.00,58.3%,8.2%,-,11.1%,44.4%,-,22.2%
vsLHB,0.2,3,0.333,0.293,0.333,-,1.50,0,-,-,-,-,-,-,-,33.3%,16.7%,-,-,-,-,-
vsRHB,2.1,9,0.125,0.218,0.250,0.125,0.43,0,-,-,25.0%,22.2%,25.0%,16.1%,7.71,66.7%,3.2%,-,16.7%,66.7%,-,33.3%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Seiya Suzuki RHB,,+374,32,10,4.00,1,1,0.125,0.300,0.500,0.375,0.340,20.0%,20.0%,30.0%,8.2%,92.2,259.0,2,1,40.0%,40.0%,60.0%,60.0%,40.0%,73.2,33.3%,11.1%,16.7%,90.0%,20.0%,100.0%,20.0%,20.0%,80.0%,20.0%,-,33.3%
Ian Happ SHB,,+370,15,9,4.40,1,1,0.222,0.222,0.667,0.444,0.374,-,15.0%,33.3%,9.1%,96.7,286.9,1,1,16.7%,16.7%,16.7%,83.3%,16.7%,72.5,38.9%,27.8%,22.2%,94.7%,33.3%,50.0%,16.7%,50.0%,66.7%,33.3%,-,71.4%
Miguel Amaya RHB,,+720,12,16,2.40,0,0,0.143,0.250,0.143,-,0.192,12.5%,35.5%,31.2%,19.3%,86.7,247.1,1,0,-,-,11.1%,33.3%,22.2%,70.8,7.4%,18.5%,7.4%,96.4%,55.6%,0.0%,11.1%,33.3%,33.3%,33.3%,33.3%,46.2%
Nico Hoerner RHB,,+920,23,13,4.40,0,0,0.231,0.231,0.231,-,0.205,-,8.3%,-,4.9%,88.4,233.3,3,0,-,-,15.4%,38.5%,30.8%,68.3,-,50.0%,13.6%,95.7%,15.4%,0.0%,46.2%,38.5%,38.5%,38.5%,23.1%,45.5%
Pete Crow-Armstrong LHB,,+390,32,12,4.60,0,0,0.167,0.167,0.167,-,0.148,-,34.8%,50.0%,16.3%,85.7,222.1,0,0,-,-,-,33.3%,33.3%,75.9,50.0%,5.0%,5.0%,87.0%,33.3%,0.0%,-,50.0%,33.3%,-,66.7%,33.3%
Carson Kelly RHB,,+557,21,11,2.80,0,0,0.100,0.182,0.100,-,0.140,9.1%,20.7%,27.3%,12.2%,92.7,219.5,1,1,-,-,-,71.4%,28.6%,70.1,-,21.4%,10.7%,96.6%,42.9%,0.0%,28.6%,14.3%,-,71.4%,28.6%,40.0%
Dansby Swanson RHB,,+520,22,11,3.40,0,0,0.091,0.091,0.182,0.091,0.115,-,31.2%,36.4%,13.9%,85.4,216.9,1,0,-,-,-,28.6%,14.3%,70.5,-,26.7%,6.7%,93.8%,14.3%,0.0%,14.3%,57.1%,57.1%,-,42.9%,37.5%
Michael Busch LHB,,+508,35,9,4.40,0,0,0.143,0.222,0.143,-,0.171,11.1%,15.8%,33.3%,6.2%,94.9,301.4,2,0,20.0%,-,40.0%,60.0%,80.0%,67.2,-,25.0%,6.2%,100.0%,20.0%,0.0%,60.0%,20.0%,60.0%,-,40.0%,18.2%
Alex Bregman RHB,,+496,10,7,4.60,0,0,0.286,0.286,0.286,-,0.254,-,11.1%,-,4.8%,86.5,219.4,1,0,-,-,14.3%,14.3%,42.9%,71.3,11.8%,23.5%,5.9%,94.4%,-,-,42.9%,42.9%,42.9%,42.9%,14.3%,20.0%
Matt Shaw RHB,,+390,33,7,2.40,0,0,0.143,0.143,0.143,-,0.127,-,21.4%,28.6%,13.0%,82.1,180.2,1,0,-,-,-,20.0%,20.0%,67.9,-,15.4%,7.7%,92.9%,-,-,20.0%,60.0%,40.0%,20.0%,40.0%,33.3%
Pedro Ramirez SHB,—,N/A,-,3,2.60,0,0,-,-,-,-,-,-,0.0%,-,-,88.9,296.6,1,0,-,-,-,-,66.7%,70.5,-,66.7%,-,75.0%,-,-,66.7%,33.3%,-,66.7%,33.3%,50.0%
Moisés Ballesteros LHB,—,N/A,10,2,2.80,0,0,0.500,0.500,1.000,0.500,0.635,-,0.0%,-,-,94.0,72.1,0,0,-,-,50.0%,50.0%,-,70.2,25.0%,25.0%,25.0%,100.0%,-,-,-,50.0%,50.0%,-,50.0%,33.3%
Michael Conforto LHB,—,N/A,22,1,2.20,0,0,-,-,-,-,-,-,0.0%,-,-,80.6,174.5,0,0,-,-,-,-,-,66.3,-,100.0%,-,100.0%,-,-,-,-,-,100.0%,-,0.0%
