Matchup,COL @ LAA
Pitcher,Michael Lorenzen
Pitcher Team,COL
Opposing Team,LAA

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,57.1,279,0.352,0.409,0.553,0.202,1.90,10,1.57,7.2%,20.1%,15.4%,15.2%,9.0%,6.75,61.6%,7.0%,8.9%,46.5%,22.1%,21.3%,18.3%
vsLHB,23.2,135,0.425,0.517,0.758,0.333,2.70,8,3.04,9.6%,20.5%,16.3%,16.3%,8.7%,8.37,63.7%,6.7%,16.2%,47.5%,24.2%,33.3%,21.2%
vsRHB,33.1,144,0.286,0.308,0.368,0.083,1.35,2,0.54,4.9%,19.8%,14.6%,14.3%,9.4%,5.67,59.7%,7.3%,2.6%,45.6%,20.2%,8.7%,15.8%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Zach Neto RHB,+420,35,4.40,2,3,0.344,0.400,0.656,0.312,0.448,8.6%,25.5%,22.9%,12.4%,87.7,12.5%,8.3%,20.8%,33.3%,50.0%,72.2,21.2%,28.8%,7.7%,96.3%,33.3%,25.0%,29.2%,25.0%,41.7%,41.7%,16.7%,45.7%
Mike Trout RHB,+310,30,4.60,2,4,0.261,0.433,0.565,0.304,0.423,23.3%,27.9%,26.7%,11.1%,89.6,26.7%,6.7%,13.3%,53.3%,40.0%,75.1,55.2%,15.5%,8.6%,98.3%,46.7%,28.6%,26.7%,26.7%,40.0%,33.3%,26.7%,8.8%
Jo Adell RHB,+410,28,4.40,2,2,0.154,0.214,0.423,0.269,0.279,-,29.1%,25.0%,14.2%,88.7,10.5%,5.3%,10.5%,52.6%,26.3%,77.2,65.4%,19.2%,15.4%,94.5%,26.3%,40.0%,21.1%,42.1%,21.1%,63.2%,15.8%,31.0%
Wade Meckler LHB,+760,25,3.60,2,3,0.217,0.280,0.478,0.261,0.327,8.0%,23.7%,16.0%,13.8%,88.9,10.5%,10.5%,21.1%,31.6%,42.1%,70.2,2.9%,47.1%,8.8%,89.5%,47.4%,22.2%,21.1%,31.6%,42.1%,26.3%,31.6%,38.1%
Vaughn Grissom RHB,+740,29,4.60,1,3,0.360,0.414,0.640,0.280,0.440,6.9%,16.3%,17.2%,7.1%,92.5,14.3%,-,9.5%,57.1%,42.9%,72.2,31.8%,40.9%,13.6%,89.8%,33.3%,14.3%,28.6%,28.6%,14.3%,52.4%,33.3%,10.0%
Logan O'Hoppe RHB,+570,28,3.80,1,2,0.154,0.214,0.308,0.154,0.230,7.1%,36.0%,25.0%,18.8%,81.9,15.8%,5.3%,15.8%,26.3%,21.1%,72.1,26.1%,17.4%,6.5%,92.0%,21.1%,25.0%,10.5%,47.4%,26.3%,42.1%,31.6%,35.7%
Oswald Peraza RHB,+650,24,4.40,1,1,0.391,0.417,0.565,0.174,0.430,-,21.3%,16.7%,11.8%,87.1,5.3%,-,15.8%,47.4%,47.4%,73.1,43.9%,24.4%,14.6%,87.2%,26.3%,20.0%,31.6%,31.6%,31.6%,36.8%,26.3%,33.3%
Jorge Soler RHB,+425,33,4.40,0,0,0.290,0.333,0.387,0.097,0.316,6.1%,30.0%,24.2%,15.1%,86.4,13.0%,4.3%,34.8%,39.1%,47.8%,75.1,52.7%,18.2%,12.7%,93.2%,13.0%,0.0%,47.8%,34.8%,60.9%,26.1%,13.0%,43.8%
Sebastián Rivero RHB,N/A,20,3.80,0,0,0.111,0.200,0.167,0.056,0.173,10.0%,29.2%,35.0%,15.4%,75.2,-,-,-,9.1%,18.2%,69.8,14.6%,7.3%,2.4%,85.4%,36.4%,0.0%,-,45.5%,27.3%,54.5%,18.2%,22.7%
Donovan Walton LHB,N/A,17,3.80,0,1,0.353,0.353,0.471,0.118,0.359,-,31.4%,23.5%,15.3%,91.1,7.7%,7.7%,15.4%,53.8%,46.2%,66.8,-,32.4%,11.8%,97.1%,30.8%,0.0%,30.8%,38.5%,38.5%,23.1%,38.5%,31.2%
Jose Siri RHB,N/A,10,2.60,0,1,0.200,0.200,0.300,0.100,0.216,-,47.4%,30.0%,28.1%,77.4,14.3%,-,14.3%,14.3%,42.9%,73.8,31.2%,18.8%,6.2%,84.2%,-,-,57.1%,42.9%,28.6%,42.9%,28.6%,40.0%
Adam Frazier LHB,N/A,10,2.20,0,0,-,-,-,-,-,-,34.6%,40.0%,20.0%,78.2,-,-,16.7%,-,-,66.0,-,5.0%,-,80.0%,50.0%,0.0%,-,50.0%,50.0%,33.3%,16.7%,37.5%
Nick Madrigal RHB,N/A,6,2.20,0,0,0.400,0.500,0.400,-,0.417,-,9.1%,16.7%,6.7%,82.0,-,-,25.0%,-,50.0%,66.3,-,30.0%,-,90.9%,25.0%,0.0%,25.0%,50.0%,50.0%,25.0%,25.0%,50.0%
