Matchup,COL @ NYY
Pitcher,Will Warren
Pitcher Team,NYY
Opposing Team,COL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,136.1,592,0.264,0.332,0.447,0.183,1.38,20,1.32,7.9%,22.2%,22.5%,19.2%,9.7%,8.78,61.6%,8.0%,7.6%,44.1%,23.5%,19.8%,18.4%
vsLHB,74.2,332,0.276,0.344,0.455,0.178,1.49,11,1.33,8.7%,18.8%,19.0%,18.3%,7.8%,7.59,60.5%,7.4%,8.0%,43.5%,23.6%,17.9%,19.4%
vsRHB,61.0,260,0.248,0.318,0.437,0.189,1.26,9,1.33,6.9%,25.8%,26.9%,20.2%,12.2%,10.33,63.1%,8.8%,7.0%,45.0%,23.4%,22.5%,17.0%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jake McCarthy LHB,,+900,27,4.80,8,2,3,97.4,391.2,4,3,37.5%,25.0%,25.0%,75.0%,50.0%,71.1,15.4%,61.5%,30.8%,100.0%,50.0%,37.5%,66.7%,12.5%,50.0%,25.0%,50.0%,25.0%,66.7%
Cole Carrigg SHB,,+640,28,4.40,8,1,2,87.5,346.7,5,2,25.0%,-,12.5%,37.5%,62.5%,76.6,75.0%,50.0%,37.5%,88.9%,75.0%,50.0%,25.0%,25.0%,25.0%,37.5%,50.0%,12.5%,75.0%
Brett Sullivan LHB,—,N/A,11,2.80,8,1,1,88.8,272.4,1,1,-,-,25.0%,37.5%,25.0%,71.2,7.7%,38.5%,7.7%,100.0%,62.5%,37.5%,33.3%,25.0%,37.5%,50.0%,25.0%,25.0%,42.9%
Ezequiel Tovar RHB,,+740,18,2.60,8,1,1,87.7,279.0,1,1,12.5%,-,-,37.5%,62.5%,72.9,37.5%,50.0%,37.5%,88.9%,50.0%,25.0%,50.0%,25.0%,50.0%,-,87.5%,12.5%,0.0%
Adael Amador SHB,,+890,30,4.00,8,1,1,73.5,177.5,2,1,12.5%,-,12.5%,25.0%,12.5%,70.4,22.2%,22.2%,-,81.8%,25.0%,12.5%,0.0%,12.5%,25.0%,37.5%,37.5%,25.0%,50.0%
Zac Veen LHB,,+790,34,2.00,8,1,1,87.5,265.2,1,1,12.5%,12.5%,25.0%,50.0%,25.0%,73.6,45.5%,36.4%,36.4%,91.7%,50.0%,37.5%,33.3%,12.5%,50.0%,50.0%,25.0%,25.0%,50.0%
TJ Rumfield LHB,,+870,22,4.40,8,0,1,89.9,308.4,4,2,25.0%,12.5%,25.0%,25.0%,75.0%,69.5,-,75.0%,12.5%,100.0%,75.0%,50.0%,0.0%,25.0%,25.0%,37.5%,62.5%,-,50.0%
Kyle Karros RHB,,+900,24,3.40,8,0,0,80.3,343.6,3,1,12.5%,-,-,25.0%,37.5%,70.2,18.2%,54.5%,18.2%,91.7%,37.5%,25.0%,0.0%,12.5%,50.0%,25.0%,62.5%,12.5%,50.0%
Connor Norby RHB,—,N/A,15,3.40,8,0,0,80.6,204.4,0,0,-,-,12.5%,37.5%,37.5%,72.9,44.4%,22.2%,22.2%,90.0%,50.0%,25.0%,0.0%,25.0%,50.0%,25.0%,75.0%,-,50.0%
Mickey Moniak LHB,,+414,22,3.80,8,0,0,90.6,233.0,1,1,-,-,25.0%,37.5%,25.0%,74.6,57.9%,26.3%,-,100.0%,50.0%,25.0%,0.0%,25.0%,37.5%,50.0%,25.0%,25.0%,71.4%
Troy Johnston LHB,—,N/A,14,3.80,8,0,0,90.2,297.3,2,1,-,-,12.5%,50.0%,37.5%,69.6,11.8%,29.4%,11.8%,100.0%,50.0%,25.0%,0.0%,25.0%,50.0%,62.5%,25.0%,12.5%,50.0%
Jordan Beck RHB,—,N/A,12,2.40,8,0,1,85.0,263.0,2,1,12.5%,-,12.5%,37.5%,25.0%,74.5,46.2%,23.1%,15.4%,92.9%,37.5%,25.0%,0.0%,12.5%,37.5%,37.5%,50.0%,12.5%,16.7%
Hunter Goodman RHB,,+323,24,4.20,8,0,0,90.9,205.2,0,0,-,-,37.5%,37.5%,12.5%,74.5,42.9%,28.6%,14.3%,100.0%,25.0%,12.5%,0.0%,12.5%,37.5%,50.0%,12.5%,37.5%,71.4%
