Matchup,COL @ STL
Pitcher,Ryan Feltner
Pitcher Team,COL
Opposing Team,STL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,76.2,334,0.272,0.365,0.522,0.249,1.46,17,2.00,9.0%,24.5%,17.1%,17.5%,11.7%,6.69,60.1%,8.6%,11.4%,40.7%,28.5%,24.3%,19.9%
vsLHB,37.0,167,0.267,0.363,0.500,0.233,1.54,8,1.95,10.8%,25.9%,18.0%,19.2%,12.0%,7.30,59.5%,9.7%,11.9%,39.8%,28.8%,23.5%,18.6%
vsRHB,38.2,167,0.277,0.367,0.542,0.265,1.42,9,2.09,7.2%,23.2%,16.2%,15.9%,11.5%,6.28,60.7%,7.5%,10.9%,41.4%,28.1%,25.0%,21.1%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Alec Burleson LHB,,+460,23,4.00,5,2,2,94.0,296.2,2,1,40.0%,40.0%,40.0%,60.0%,40.0%,72.0,33.3%,25.0%,25.0%,85.7%,40.0%,20.0%,100.0%,20.0%,40.0%,60.0%,20.0%,20.0%,50.0%
Jimmy Crooks LHB,,+750,24,3.00,5,1,2,98.3,328.8,4,3,-,-,60.0%,80.0%,60.0%,71.5,20.0%,100.0%,40.0%,100.0%,100.0%,80.0%,25.0%,20.0%,-,60.0%,-,40.0%,75.0%
Nathan Church LHB,,+950,17,4.20,5,1,1,85.3,232.2,1,1,-,-,20.0%,20.0%,60.0%,70.1,22.2%,22.2%,11.1%,81.8%,80.0%,40.0%,50.0%,40.0%,20.0%,40.0%,20.0%,40.0%,0.0%
Everson Pereira RHB,—,N/A,19,2.20,5,1,2,93.8,379.8,3,2,40.0%,-,-,60.0%,40.0%,74.6,25.0%,37.5%,37.5%,88.9%,60.0%,60.0%,33.3%,-,40.0%,20.0%,80.0%,-,0.0%
JJ Wetherholt LHB,,+600,14,4.60,5,0,0,94.7,333.8,2,1,-,-,20.0%,60.0%,20.0%,69.5,14.3%,57.1%,28.6%,100.0%,40.0%,20.0%,0.0%,20.0%,60.0%,20.0%,80.0%,-,0.0%
Blaze Jordan RHB,,+900,24,3.60,5,0,0,99.3,164.8,0,0,-,-,20.0%,80.0%,20.0%,72.5,20.0%,80.0%,40.0%,83.3%,20.0%,-,-,20.0%,80.0%,40.0%,-,60.0%,25.0%
Bryan Torres LHB,,+1080,21,3.00,5,0,0,86.1,257.4,1,0,-,-,20.0%,20.0%,40.0%,66.4,-,50.0%,-,85.7%,60.0%,20.0%,0.0%,40.0%,40.0%,40.0%,20.0%,40.0%,25.0%
César Prieto LHB,—,N/A,8,3.00,5,0,1,90.5,319.3,1,1,20.0%,20.0%,20.0%,20.0%,40.0%,68.1,-,80.0%,20.0%,83.3%,60.0%,60.0%,0.0%,-,40.0%,40.0%,40.0%,20.0%,20.0%
Ivan Herrera RHB,,+680,23,4.40,5,0,0,104.3,366.6,2,1,20.0%,-,-,100.0%,40.0%,76.6,57.1%,71.4%,71.4%,100.0%,40.0%,-,-,40.0%,60.0%,20.0%,40.0%,40.0%,0.0%
Jose Fermin RHB,—,N/A,15,4.00,5,0,1,88.7,313.6,3,1,-,-,60.0%,20.0%,40.0%,67.8,-,57.1%,14.3%,100.0%,80.0%,60.0%,0.0%,20.0%,20.0%,60.0%,20.0%,20.0%,40.0%
Jordan Walker RHB,,+400,23,4.80,5,0,0,88.8,248.0,0,0,-,-,-,40.0%,20.0%,81.0,88.9%,22.2%,22.2%,100.0%,60.0%,40.0%,0.0%,20.0%,40.0%,20.0%,80.0%,-,40.0%
Nelson Velazquez RHB,—,N/A,10,2.00,5,0,1,101.0,304.5,3,2,20.0%,20.0%,40.0%,80.0%,60.0%,74.4,50.0%,62.5%,37.5%,100.0%,80.0%,40.0%,0.0%,40.0%,20.0%,40.0%,40.0%,20.0%,25.0%
Pedro Pages RHB,—,N/A,35,2.20,5,0,0,79.6,19.6,0,0,-,-,-,40.0%,20.0%,73.4,37.5%,25.0%,25.0%,72.7%,-,-,-,-,80.0%,20.0%,40.0%,40.0%,25.0%
Masyn Winn RHB,,+970,28,3.60,5,0,0,74.6,240.5,1,0,-,-,-,-,40.0%,70.8,-,28.6%,-,100.0%,40.0%,20.0%,0.0%,20.0%,60.0%,20.0%,40.0%,40.0%,20.0%
