Matchup,CWS @ BOS
Pitcher,Sonny Gray
Pitcher Team,BOS
Opposing Team,CWS

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,113.2,461,0.242,0.298,0.391,0.148,1.17,12,0.95,6.5%,22.3%,21.3%,23.0%,10.6%,7.76,63.8%,7.4%,6.7%,38.5%,21.8%,12.5%,18.5%
vsLHB,72.2,295,0.242,0.302,0.394,0.152,1.18,8,0.99,7.1%,22.0%,22.0%,24.8%,10.1%,8.05,59.1%,6.9%,7.7%,39.6%,23.7%,12.2%,18.8%
vsRHB,40.1,166,0.244,0.292,0.385,0.141,1.17,4,0.89,5.4%,22.9%,19.9%,20.0%,11.3%,7.36,72.3%,8.2%,4.9%,36.6%,18.7%,13.0%,17.9%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Munetaka Murakami LHB,,+310,29,4.40,10,2,2,100.7,281.0,3,2,30.0%,20.0%,40.0%,80.0%,60.0%,74.8,57.1%,64.3%,50.0%,100.0%,80.0%,40.0%,50.0%,40.0%,20.0%,50.0%,50.0%,-,37.5%
Andrew Benintendi LHB,,+531,21,3.20,10,2,3,95.6,282.2,4,4,20.0%,10.0%,50.0%,60.0%,40.0%,70.1,-,47.4%,21.1%,90.5%,80.0%,50.0%,40.0%,30.0%,10.0%,60.0%,20.0%,20.0%,44.4%
Miguel Vargas RHB,,+373,22,4.40,10,2,2,87.8,282.7,5,2,20.0%,10.0%,20.0%,30.0%,50.0%,74.7,53.8%,38.5%,23.1%,100.0%,70.0%,40.0%,50.0%,30.0%,10.0%,30.0%,60.0%,10.0%,20.0%
Sam Antonacci LHB,,+880,15,3.60,10,1,2,88.8,304.9,5,2,10.0%,10.0%,30.0%,40.0%,40.0%,70.8,7.7%,53.8%,23.1%,100.0%,60.0%,40.0%,25.0%,20.0%,30.0%,50.0%,30.0%,20.0%,50.0%
Randal Grichuk RHB,—,N/A,27,2.20,10,1,1,89.7,336.4,2,1,10.0%,10.0%,20.0%,50.0%,30.0%,73.6,42.9%,42.9%,35.7%,77.8%,30.0%,10.0%,100.0%,20.0%,70.0%,50.0%,50.0%,-,44.4%
Joey Bart RHB,,+690,25,3.60,10,1,2,86.7,278.5,2,2,20.0%,10.0%,10.0%,40.0%,30.0%,74.6,38.5%,38.5%,30.8%,92.9%,30.0%,20.0%,50.0%,10.0%,50.0%,30.0%,30.0%,40.0%,44.4%
Colson Montgomery LHB,,+373,22,4.40,10,1,1,94.5,211.5,2,1,10.0%,10.0%,20.0%,30.0%,-,79.0,85.7%,28.6%,21.4%,93.3%,40.0%,40.0%,25.0%,-,20.0%,40.0%,40.0%,20.0%,50.0%
Braden Montgomery SHB,,+900,21,4.00,10,0,0,91.1,339.9,1,1,-,-,-,60.0%,30.0%,67.3,-,47.4%,15.8%,90.5%,20.0%,10.0%,0.0%,10.0%,80.0%,50.0%,40.0%,10.0%,50.0%
Tristan Peters LHB,,+880,21,2.80,10,0,0,83.7,256.2,1,1,-,-,10.0%,20.0%,30.0%,69.1,14.3%,42.9%,7.1%,93.3%,40.0%,20.0%,0.0%,20.0%,40.0%,40.0%,20.0%,40.0%,22.2%
Brenton Doyle RHB,—,N/A,24,3.40,10,0,1,87.8,264.5,1,1,10.0%,10.0%,30.0%,40.0%,40.0%,72.2,6.2%,31.2%,12.5%,88.9%,40.0%,10.0%,0.0%,30.0%,60.0%,60.0%,30.0%,10.0%,40.0%
Luisangel Acuna RHB,—,N/A,10,2.60,10,0,0,72.3,258.9,1,1,10.0%,-,-,20.0%,30.0%,73.3,30.0%,30.0%,10.0%,100.0%,40.0%,10.0%,0.0%,30.0%,40.0%,40.0%,20.0%,40.0%,44.4%
Drew Romo SHB,,+674,21,3.40,10,0,0,82.4,166.8,0,0,-,-,20.0%,20.0%,20.0%,70.4,7.7%,30.8%,7.7%,86.7%,50.0%,30.0%,0.0%,20.0%,10.0%,30.0%,10.0%,60.0%,42.9%
Chase Meidroth RHB,,+1300,16,4.00,10,0,1,75.3,250.0,1,1,10.0%,-,-,30.0%,40.0%,67.6,-,36.4%,18.2%,84.6%,50.0%,20.0%,0.0%,30.0%,40.0%,20.0%,30.0%,50.0%,22.2%
