Matchup,CWS @ DET
Pitcher,Anthony Kay
Pitcher Team,CWS
Opposing Team,DET

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,116.0,519,0.251,0.330,0.404,0.153,1.34,15,1.16,8.3%,23.3%,18.1%,14.9%,10.9%,7.29,58.9%,6.4%,8.9%,39.9%,22.2%,17.5%,20.2%
vsLHB,34.1,142,0.192,0.240,0.269,0.077,0.93,2,0.52,4.9%,27.6%,27.5%,20.9%,13.3%,10.22,61.5%,7.3%,3.3%,29.7%,18.7%,11.8%,20.9%
vsRHB,81.1,377,0.275,0.364,0.459,0.184,1.52,13,1.44,9.5%,21.6%,14.6%,12.4%,10.0%,6.09,57.9%,6.0%,10.7%,43.3%,23.3%,19.0%,20.0%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Eduardo Valencia RHB,,+400,10,3.00,10,2,2,95.2,316.6,6,3,40.0%,10.0%,10.0%,50.0%,70.0%,73.2,18.2%,40.9%,22.7%,100.0%,80.0%,50.0%,40.0%,30.0%,20.0%,10.0%,60.0%,30.0%,66.7%
Kevin McGonigle LHB,,+740,13,4.40,10,1,1,92.6,303.4,5,3,-,-,10.0%,40.0%,20.0%,71.9,20.0%,53.3%,13.3%,93.8%,80.0%,80.0%,12.5%,-,10.0%,10.0%,60.0%,30.0%,33.3%
Gleyber Torres RHB,,+770,9,4.40,10,1,1,89.1,320.0,4,3,10.0%,10.0%,10.0%,50.0%,50.0%,70.8,27.3%,63.6%,45.5%,91.7%,60.0%,30.0%,33.3%,30.0%,40.0%,40.0%,50.0%,10.0%,22.2%
Zach McKinstry LHB,—,N/A,12,3.00,10,0,0,89.5,220.2,1,0,-,-,30.0%,30.0%,40.0%,68.0,-,54.5%,27.3%,100.0%,60.0%,20.0%,0.0%,40.0%,30.0%,50.0%,30.0%,20.0%,28.6%
Hao-Yu Lee RHB,,+910,12,1.80,10,0,1,91.0,273.9,3,1,10.0%,-,-,50.0%,60.0%,71.9,13.3%,46.7%,26.7%,100.0%,60.0%,10.0%,0.0%,50.0%,40.0%,30.0%,30.0%,40.0%,22.2%
Javier Baez RHB,,+1240,14,3.80,10,0,0,85.8,243.4,1,1,-,-,10.0%,40.0%,10.0%,74.7,57.1%,42.9%,14.3%,100.0%,40.0%,20.0%,0.0%,20.0%,60.0%,30.0%,40.0%,30.0%,50.0%
Ben Malgeri RHB,,+850,11,2.80,10,0,0,86.6,255.0,1,0,-,-,20.0%,50.0%,40.0%,70.3,15.4%,38.5%,30.8%,100.0%,60.0%,30.0%,0.0%,30.0%,40.0%,50.0%,30.0%,20.0%,37.5%
Colt Keith LHB,,+870,7,2.60,10,0,0,75.7,182.2,1,1,-,-,-,20.0%,40.0%,71.7,16.7%,16.7%,16.7%,80.0%,30.0%,-,-,30.0%,50.0%,20.0%,60.0%,20.0%,12.5%
Spencer Torkelson RHB,,+461,29,4.00,10,0,0,82.4,251.5,1,0,-,-,-,50.0%,50.0%,72.5,23.5%,29.4%,17.6%,94.4%,50.0%,20.0%,0.0%,30.0%,50.0%,30.0%,60.0%,10.0%,50.0%
Dillon Dingler RHB,,+529,23,4.40,10,0,0,87.8,181.7,0,0,-,-,10.0%,30.0%,20.0%,72.9,33.3%,33.3%,25.0%,92.3%,30.0%,20.0%,0.0%,10.0%,50.0%,50.0%,20.0%,30.0%,33.3%
Max Clark LHB,,+970,8,4.00,6,0,0,74.4,173.7,0,0,-,-,-,33.3%,33.3%,72.4,30.8%,15.4%,7.7%,100.0%,16.7%,-,-,16.7%,66.7%,33.3%,33.3%,33.3%,16.7%
Corey Julks RHB,,+930,-,2.00,1,0,0,96.4,365.8,1,1,-,-,-,100.0%,100.0%,75.1,100.0%,100.0%,-,100.0%,100.0%,100.0%,0.0%,-,-,-,100.0%,-,0.0%
