Matchup,CWS @ NYY
Pitcher,Anthony Kay
Pitcher Team,CWS
Opposing Team,NYY

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,66.1,301,0.260,0.345,0.430,0.171,1.42,10,1.36,9.0%,21.9%,17.6%,13.5%,9.9%,7.19,59.9%,6.0%,9.6%,41.6%,21.5%,22.2%,22.0%
vsLHB,17.2,73,0.143,0.230,0.222,0.079,0.79,1,0.51,6.8%,31.5%,30.1%,19.3%,14.5%,11.21,62.2%,6.6%,4.9%,29.3%,17.1%,14.3%,17.1%
vsRHB,48.1,228,0.297,0.382,0.497,0.200,1.66,9,1.68,9.6%,18.6%,13.6%,11.1%,8.4%,5.77,59.2%,5.8%,10.7%,44.6%,22.6%,23.7%,23.2%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jazz Chisholm Jr. LHB,,+470,28,20,4.40,2,4,0.333,0.400,0.889,0.556,0.526,10.0%,32.6%,35.0%,16.1%,98.2,323.6,6,4,27.3%,18.2%,45.5%,81.8%,36.4%,72.5,33.3%,23.8%,19.0%,91.3%,45.5%,40.0%,27.3%,27.3%,54.5%,36.4%,9.1%,35.0%
Paul Goldschmidt RHB,,+464,12,23,4.80,1,1,0.619,0.652,0.857,0.238,0.645,8.7%,10.3%,4.3%,4.2%,86.4,219.2,1,1,5.0%,5.0%,25.0%,35.0%,45.0%,72.3,15.6%,40.6%,15.6%,82.1%,10.0%,50.0%,40.0%,40.0%,50.0%,15.0%,35.0%,21.7%
Amed Rosario RHB,,+650,18,19,2.20,1,1,0.167,0.211,0.333,0.167,0.238,5.3%,26.3%,21.1%,15.4%,87.1,242.7,4,1,7.1%,7.1%,42.9%,35.7%,50.0%,74.4,50.0%,22.2%,11.1%,94.7%,14.3%,50.0%,42.9%,35.7%,57.1%,35.7%,7.1%,52.6%
Cody Bellinger LHB,,+520,18,23,4.60,0,0,0.190,0.217,0.190,-,0.183,4.3%,25.0%,17.4%,13.4%,84.2,233.3,2,0,-,-,5.6%,11.1%,38.9%,68.6,2.4%,26.8%,2.4%,93.2%,22.2%,0.0%,33.3%,33.3%,38.9%,22.2%,38.9%,26.1%
Ben Rice LHB,,+412,13,22,5.00,0,0,0.200,0.273,0.250,0.050,0.238,9.1%,37.5%,31.8%,18.3%,86.4,205.7,0,0,-,-,7.7%,15.4%,15.4%,71.9,27.8%,16.7%,5.6%,90.0%,23.1%,0.0%,15.4%,38.5%,46.2%,15.4%,38.5%,45.5%
J.C. Escarra LHB,—,N/A,8,20,3.20,0,0,0.333,0.350,0.444,0.111,0.337,5.0%,20.9%,10.0%,10.8%,88.2,251.8,3,2,11.8%,-,17.6%,35.3%,47.1%,69.2,3.0%,30.3%,15.2%,80.5%,23.5%,0.0%,41.2%,35.3%,35.3%,47.1%,17.6%,25.0%
Jose Caballero RHB,,+880,8,20,4.60,0,0,0.222,0.250,0.333,0.111,0.248,5.0%,25.0%,40.0%,12.5%,81.2,233.3,1,0,-,-,27.3%,27.3%,45.5%,69.7,10.3%,10.3%,2.6%,92.9%,18.2%,0.0%,36.4%,27.3%,36.4%,54.5%,9.1%,25.0%
Anthony Volpe RHB,,+790,17,18,4.20,0,0,0.167,0.167,0.167,-,0.148,-,27.6%,16.7%,11.9%,81.1,261.1,3,1,6.7%,-,-,20.0%,20.0%,70.8,14.3%,25.0%,7.1%,96.6%,26.7%,0.0%,13.3%,53.3%,33.3%,53.3%,13.3%,33.3%
Max Schuemann RHB,,+725,13,17,1.80,0,1,0.333,0.529,0.583,0.250,0.467,29.4%,26.9%,11.8%,10.1%,84.8,219.9,3,3,10.0%,10.0%,20.0%,40.0%,40.0%,71.2,13.6%,13.6%,9.1%,88.0%,30.0%,0.0%,10.0%,30.0%,30.0%,40.0%,30.0%,29.4%
Ryan McMahon LHB,—,N/A,9,14,3.60,0,1,0.286,0.286,0.357,0.071,0.281,-,34.6%,35.7%,16.4%,91.0,259.3,2,1,12.5%,-,25.0%,50.0%,37.5%,75.2,62.5%,20.8%,8.3%,92.3%,37.5%,0.0%,25.0%,37.5%,50.0%,25.0%,25.0%,35.7%
