Matchup,DET @ ATH
Pitcher,Casey Mize
Pitcher Team,DET
Opposing Team,ATH

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,86.2,341,0.211,0.258,0.334,0.123,0.99,5,0.52,5.6%,27.8%,24.9%,20.7%,13.4%,8.83,65.6%,7.1%,6.4%,35.6%,29.7%,5.7%,20.8%
vsLHB,49.2,193,0.193,0.224,0.271,0.077,0.91,1,0.18,5.2%,25.0%,25.4%,19.9%,11.8%,8.88,68.6%,7.6%,4.5%,34.3%,34.3%,2.2%,16.4%
vsRHB,36.0,148,0.235,0.303,0.419,0.184,1.14,4,1.00,6.1%,31.4%,24.3%,21.8%,15.7%,9.00,61.7%,6.3%,8.8%,37.3%,23.5%,12.5%,26.5%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Nick Kurtz LHB,,N/A,29,2.80,10,3,4,95.6,364.2,5,4,20.0%,-,-,70.0%,30.0%,79.5,78.6%,50.0%,50.0%,93.3%,70.0%,60.0%,50.0%,10.0%,30.0%,20.0%,40.0%,40.0%,71.4%
Lawrence Butler LHB,,N/A,26,2.60,10,0,2,95.5,344.6,4,3,10.0%,-,10.0%,60.0%,20.0%,75.4,58.3%,66.7%,33.3%,100.0%,50.0%,40.0%,0.0%,10.0%,50.0%,40.0%,50.0%,10.0%,60.0%
Brian Serven RHB,—,N/A,4,3.50,2,0,0,87.9,222.3,0,0,-,-,-,50.0%,-,70.5,33.3%,33.3%,33.3%,100.0%,50.0%,50.0%,0.0%,-,50.0%,50.0%,50.0%,-,0.0%
Tommy White RHB,—,N/A,8,4.20,10,0,1,88.8,265.0,2,2,10.0%,-,10.0%,40.0%,40.0%,71.4,30.8%,38.5%,30.8%,100.0%,50.0%,20.0%,0.0%,30.0%,50.0%,20.0%,50.0%,30.0%,33.3%
Tyler Soderstrom LHB,,N/A,22,4.20,10,2,2,94.2,333.6,5,3,20.0%,10.0%,30.0%,50.0%,30.0%,76.3,75.0%,37.5%,18.8%,100.0%,80.0%,70.0%,28.6%,10.0%,20.0%,40.0%,40.0%,20.0%,62.5%
Jonah Heim SHB,,N/A,18,4.20,10,1,1,95.5,299.4,3,3,20.0%,10.0%,30.0%,70.0%,20.0%,70.1,18.2%,63.6%,18.2%,91.7%,60.0%,50.0%,20.0%,10.0%,40.0%,30.0%,60.0%,10.0%,37.5%
Alika Williams RHB,—,N/A,12,2.80,10,0,0,82.0,226.4,2,1,-,-,20.0%,30.0%,40.0%,69.2,5.6%,27.8%,11.1%,100.0%,50.0%,10.0%,0.0%,40.0%,40.0%,50.0%,30.0%,20.0%,66.7%
Jacob Wilson RHB,,N/A,12,4.40,10,1,1,78.5,330.1,1,1,10.0%,10.0%,10.0%,10.0%,30.0%,64.8,-,50.0%,10.0%,76.9%,20.0%,10.0%,100.0%,10.0%,80.0%,50.0%,20.0%,30.0%,40.0%
Donovan Walton LHB,,N/A,25,2.80,10,0,0,81.7,321.1,3,1,-,-,10.0%,20.0%,10.0%,67.7,-,72.7%,9.1%,91.7%,40.0%,30.0%,0.0%,10.0%,50.0%,30.0%,40.0%,30.0%,71.4%
Henry Bolte RHB,,N/A,16,3.40,10,0,0,90.0,201.7,1,1,-,-,-,40.0%,20.0%,76.8,69.6%,17.4%,8.7%,100.0%,20.0%,10.0%,0.0%,10.0%,70.0%,20.0%,70.0%,10.0%,40.0%
Jeff McNeil LHB,,N/A,22,3.60,10,0,0,84.1,291.3,3,0,-,-,-,40.0%,30.0%,67.3,-,53.8%,7.7%,100.0%,40.0%,10.0%,0.0%,30.0%,60.0%,40.0%,50.0%,10.0%,66.7%
Carlos Cortes LHB,,N/A,19,2.60,10,1,1,87.5,296.3,4,2,-,-,10.0%,10.0%,30.0%,69.8,14.3%,50.0%,-,77.8%,40.0%,30.0%,33.3%,10.0%,50.0%,40.0%,20.0%,40.0%,25.0%
Colby Thomas RHB,—,N/A,1,2.60,6,0,1,88.3,312.2,1,1,-,-,-,50.0%,16.7%,76.5,75.0%,25.0%,-,88.9%,50.0%,33.3%,0.0%,16.7%,50.0%,16.7%,83.3%,-,66.7%
