Matchup,DET @ ATH
Pitcher,Jeffrey Springs
Pitcher Team,ATH
Opposing Team,DET

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,104.0,459,0.271,0.367,0.533,0.262,1.45,27,2.34,8.5%,23.6%,18.7%,16.9%,11.1%,7.44,57.8%,6.6%,9.6%,35.2%,34.0%,19.5%,19.9%
vsLHB,30.1,130,0.248,0.341,0.496,0.248,1.32,6,1.78,8.5%,21.2%,17.7%,21.3%,9.5%,6.82,56.5%,5.9%,7.3%,32.3%,33.3%,12.5%,13.5%
vsRHB,71.2,329,0.280,0.378,0.547,0.267,1.55,21,2.64,8.5%,24.4%,19.1%,15.8%,11.6%,7.91,58.3%,6.9%,10.6%,36.4%,34.3%,22.2%,22.5%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Javier Baez RHB,—,N/A,14,3.00,10,1,1,88.2,266.3,1,1,10.0%,-,10.0%,40.0%,50.0%,73.5,27.3%,45.5%,36.4%,91.7%,40.0%,20.0%,50.0%,20.0%,60.0%,30.0%,30.0%,40.0%,60.0%
Spencer Torkelson RHB,—,N/A,19,3.80,10,1,2,90.3,312.5,4,2,10.0%,-,10.0%,20.0%,30.0%,75.1,46.7%,40.0%,13.3%,100.0%,80.0%,80.0%,12.5%,-,20.0%,20.0%,40.0%,40.0%,50.0%
Eduardo Valencia RHB,—,N/A,-,3.60,5,1,1,87.6,296.8,2,1,20.0%,-,-,40.0%,60.0%,70.5,-,50.0%,12.5%,100.0%,80.0%,60.0%,33.3%,20.0%,20.0%,-,80.0%,20.0%,60.0%
Zach McKinstry LHB,—,N/A,10,3.40,10,0,0,80.5,262.0,1,0,-,-,-,30.0%,40.0%,68.5,-,50.0%,25.0%,66.7%,50.0%,20.0%,0.0%,30.0%,30.0%,20.0%,40.0%,40.0%,37.5%
Hao-Yu Lee RHB,—,N/A,14,3.60,10,0,1,90.0,272.7,2,1,10.0%,-,20.0%,30.0%,40.0%,71.2,18.2%,45.5%,18.2%,100.0%,60.0%,20.0%,0.0%,40.0%,40.0%,40.0%,30.0%,30.0%,0.0%
Ben Malgeri RHB,—,N/A,5,2.20,10,0,0,88.5,247.9,1,0,-,-,20.0%,20.0%,60.0%,68.6,8.3%,58.3%,16.7%,100.0%,70.0%,30.0%,0.0%,40.0%,20.0%,40.0%,20.0%,40.0%,55.6%
Kevin McGonigle LHB,—,N/A,19,5.20,10,0,0,90.4,293.1,3,0,-,-,20.0%,20.0%,50.0%,70.2,8.3%,75.0%,16.7%,100.0%,60.0%,40.0%,0.0%,20.0%,40.0%,40.0%,50.0%,10.0%,25.0%
Gleyber Torres RHB,—,N/A,14,4.00,10,0,2,92.4,303.6,7,5,30.0%,-,-,60.0%,40.0%,70.0,7.1%,57.1%,21.4%,100.0%,80.0%,70.0%,0.0%,10.0%,10.0%,10.0%,60.0%,30.0%,50.0%
Matt Vierling RHB,—,N/A,17,2.80,10,0,0,93.0,258.3,1,1,-,-,20.0%,50.0%,20.0%,71.6,17.6%,47.1%,17.6%,94.4%,80.0%,50.0%,0.0%,30.0%,20.0%,20.0%,50.0%,30.0%,33.3%
Riley Greene LHB,—,N/A,12,4.40,10,0,2,90.3,294.3,3,2,10.0%,-,20.0%,50.0%,50.0%,75.0,64.3%,57.1%,14.3%,82.4%,70.0%,40.0%,0.0%,30.0%,30.0%,50.0%,30.0%,20.0%,25.0%
Dillon Dingler RHB,—,N/A,26,4.20,10,0,2,91.2,286.2,3,2,10.0%,10.0%,20.0%,40.0%,40.0%,72.1,18.8%,37.5%,18.8%,100.0%,60.0%,30.0%,0.0%,30.0%,40.0%,40.0%,40.0%,20.0%,20.0%
James Outman LHB,—,N/A,14,2.60,8,0,1,95.5,347.6,4,4,25.0%,-,12.5%,75.0%,37.5%,73.1,33.3%,58.3%,33.3%,100.0%,62.5%,50.0%,0.0%,12.5%,37.5%,37.5%,50.0%,12.5%,66.7%
Colt Keith LHB,—,N/A,2,3.80,4,0,0,85.8,363.3,1,1,-,-,-,50.0%,25.0%,70.3,-,40.0%,20.0%,100.0%,25.0%,-,-,25.0%,75.0%,75.0%,25.0%,-,0.0%
