Matchup,DET @ CLE
Pitcher,Joey Cantillo
Pitcher Team,CLE
Opposing Team,DET

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,67.0,291,0.257,0.347,0.447,0.190,1.51,11,1.48,12.4%,26.8%,21.3%,18.1%,12.0%,8.33,52.4%,6.4%,9.4%,36.6%,33.0%,17.5%,17.8%
vsLHB,18.2,73,0.231,0.307,0.385,0.154,1.23,2,0.96,11.0%,22.4%,19.2%,13.6%,11.4%,6.75,53.3%,6.5%,7.8%,33.3%,31.4%,12.5%,15.7%
vsRHB,48.1,218,0.266,0.360,0.468,0.202,1.61,9,1.68,12.8%,28.5%,22.0%,20.1%,12.2%,8.94,52.1%,6.3%,10.0%,37.9%,33.6%,19.1%,18.6%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Wenceel Perez SHB,,+710,21,10,2.20,2,2,0.300,0.300,0.900,0.600,0.509,-,21.7%,20.0%,12.8%,85.1,271.3,2,2,25.0%,25.0%,37.5%,50.0%,37.5%,71.5,19.0%,23.8%,14.3%,91.3%,37.5%,66.7%,12.5%,37.5%,62.5%,25.0%,12.5%,25.0%
Riley Greene LHB,,+470,18,14,4.40,1,1,0.167,0.286,0.417,0.250,0.306,14.3%,30.0%,21.4%,16.7%,92.9,256.6,3,1,-,-,11.1%,55.6%,11.1%,75.7,55.2%,17.2%,10.3%,100.0%,44.4%,25.0%,-,33.3%,33.3%,33.3%,33.3%,63.6%
Kevin McGonigle LHB,,+650,8,11,4.60,1,1,0.400,0.455,0.700,0.300,0.493,9.1%,13.3%,18.2%,6.2%,88.0,227.1,1,1,12.5%,12.5%,12.5%,37.5%,37.5%,71.3,14.3%,42.9%,21.4%,93.3%,37.5%,33.3%,25.0%,25.0%,25.0%,37.5%,37.5%,41.7%
Matt Vierling RHB,,+820,13,15,2.20,0,0,0.364,0.467,0.455,0.091,0.392,20.0%,10.3%,6.7%,5.3%,79.7,188.3,0,0,-,-,27.3%,-,36.4%,70.5,7.7%,15.4%,-,89.7%,27.3%,0.0%,18.2%,27.3%,36.4%,36.4%,27.3%,16.7%
Jahmai Jones RHB,,+540,17,13,2.00,0,0,0.083,0.154,0.083,-,0.118,7.7%,15.8%,15.4%,7.0%,87.9,276.8,3,0,-,-,40.0%,30.0%,30.0%,74.0,52.6%,31.6%,10.5%,100.0%,50.0%,0.0%,20.0%,30.0%,70.0%,20.0%,10.0%,36.4%
Dillon Dingler RHB,,+490,31,12,4.60,0,0,0.100,0.167,0.200,0.100,0.160,8.3%,18.8%,25.0%,8.3%,86.6,199.4,1,0,-,-,-,37.5%,37.5%,71.6,23.1%,38.5%,7.7%,81.2%,37.5%,0.0%,25.0%,12.5%,-,75.0%,25.0%,25.0%
Zach McKinstry LHB,,+519,6,10,3.80,0,0,-,0.100,-,-,0.065,10.0%,30.0%,40.0%,14.3%,78.7,273.2,0,0,-,-,-,20.0%,-,68.4,-,18.8%,6.2%,84.2%,20.0%,0.0%,-,60.0%,60.0%,20.0%,20.0%,33.3%
Gleyber Torres RHB,,+920,8,10,4.40,0,0,-,0.200,-,-,0.130,20.0%,22.7%,20.0%,7.1%,92.1,235.7,2,2,16.7%,-,16.7%,83.3%,33.3%,68.8,4.5%,22.7%,9.1%,100.0%,33.3%,0.0%,16.7%,33.3%,50.0%,50.0%,-,14.3%
Spencer Torkelson RHB,,+490,35,10,3.80,0,1,0.333,0.400,0.444,0.111,0.370,10.0%,26.3%,20.0%,11.4%,89.0,332.5,3,2,28.6%,14.3%,28.6%,42.9%,42.9%,72.3,15.8%,31.6%,15.8%,100.0%,57.1%,0.0%,14.3%,28.6%,28.6%,14.3%,57.1%,33.3%
James Outman LHB,—,N/A,-,9,2.20,0,0,0.125,0.222,0.125,-,0.179,-,47.1%,33.3%,27.6%,77.5,231.5,1,1,-,-,-,20.0%,40.0%,71.2,7.7%,23.1%,-,81.2%,20.0%,0.0%,20.0%,40.0%,20.0%,60.0%,20.0%,44.4%
Kerry Carpenter LHB,—,N/A,1,5,3.60,0,0,-,0.200,-,-,0.144,-,83.3%,60.0%,31.2%,83.7,-,0,0,-,-,-,-,-,70.3,-,25.0%,-,80.0%,-,-,-,100.0%,100.0%,-,-,0.0%
Jake Rogers RHB,,+349,-,4,3.40,0,0,0.333,0.500,0.667,0.333,0.480,25.0%,50.0%,50.0%,15.0%,101.5,320.5,1,0,-,-,100.0%,100.0%,-,72.0,16.7%,16.7%,16.7%,100.0%,100.0%,0.0%,-,-,100.0%,-,-,0.0%
Colt Keith LHB,—,N/A,2,2,3.20,0,0,-,-,-,-,-,-,50.0%,50.0%,16.7%,98.3,-,0,0,-,-,-,100.0%,-,71.2,-,33.3%,-,75.0%,-,-,-,100.0%,100.0%,-,-,0.0%
