Matchup,DET @ LAA
Pitcher,Reid Detmers
Pitcher Team,LAA
Opposing Team,DET

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,108.2,451,0.220,0.285,0.363,0.143,1.14,12,0.99,7.8%,28.6%,27.3%,20.5%,14.0%,10.19,64.8%,8.0%,7.9%,37.2%,29.0%,10.7%,14.5%
vsLHB,26.2,115,0.220,0.278,0.300,0.080,1.20,2,0.68,8.7%,30.2%,24.3%,19.4%,14.5%,9.45,67.8%,8.3%,6.8%,37.8%,25.7%,-,6.8%
vsRHB,81.1,336,0.220,0.288,0.384,0.164,1.13,10,1.11,7.4%,28.1%,28.3%,20.8%,13.9%,10.51,63.8%,7.9%,8.3%,37.0%,30.1%,13.8%,17.1%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Hao-Yu Lee RHB,,+600,15,2.40,10,1,1,88.6,283.2,2,1,-,-,20.0%,30.0%,40.0%,73.1,42.9%,42.9%,14.3%,100.0%,50.0%,10.0%,100.0%,40.0%,50.0%,40.0%,50.0%,10.0%,37.5%
Spencer Torkelson RHB,,+401,36,3.80,10,1,1,91.9,235.6,3,1,20.0%,20.0%,40.0%,50.0%,70.0%,74.9,63.6%,54.5%,45.5%,100.0%,80.0%,30.0%,33.3%,50.0%,20.0%,60.0%,30.0%,10.0%,50.0%
Jake Rogers RHB,—,N/A,10,3.60,7,1,2,96.5,322.8,4,2,-,-,42.9%,57.1%,42.9%,70.8,9.1%,63.6%,18.2%,91.7%,85.7%,57.1%,25.0%,28.6%,14.3%,57.1%,28.6%,14.3%,66.7%
Eduardo Valencia RHB,,+520,-,2.75,2,1,1,100.5,346.6,1,1,50.0%,-,-,100.0%,100.0%,70.7,-,66.7%,33.3%,100.0%,100.0%,50.0%,100.0%,50.0%,-,-,100.0%,-,50.0%
Zach McKinstry LHB,,+1300,8,3.80,10,0,0,82.6,278.5,0,0,-,-,-,30.0%,30.0%,67.4,-,55.6%,22.2%,75.0%,30.0%,10.0%,0.0%,20.0%,60.0%,50.0%,30.0%,20.0%,33.3%
Kevin McGonigle LHB,,+565,17,4.20,10,0,1,92.6,294.5,4,1,10.0%,-,20.0%,30.0%,40.0%,69.9,-,81.8%,9.1%,91.7%,60.0%,50.0%,0.0%,10.0%,30.0%,40.0%,40.0%,20.0%,25.0%
Matt Vierling RHB,,+750,17,3.60,10,0,0,89.5,227.8,2,1,-,-,-,40.0%,40.0%,72.1,11.1%,33.3%,22.2%,94.7%,50.0%,10.0%,0.0%,40.0%,30.0%,20.0%,60.0%,20.0%,14.3%
Riley Greene LHB,,+504,19,4.00,10,0,1,89.8,226.6,2,0,10.0%,10.0%,20.0%,40.0%,50.0%,77.2,82.4%,35.3%,23.5%,94.4%,70.0%,20.0%,0.0%,50.0%,20.0%,30.0%,40.0%,30.0%,33.3%
Dillon Dingler RHB,,+420,29,3.60,10,0,0,82.2,282.0,3,1,10.0%,-,10.0%,40.0%,40.0%,72.1,19.0%,23.8%,9.5%,95.5%,50.0%,10.0%,0.0%,40.0%,50.0%,30.0%,70.0%,-,57.1%
Ben Malgeri RHB,—,N/A,4,3.00,7,0,0,91.5,243.2,1,0,-,-,14.3%,28.6%,57.1%,68.9,10.0%,60.0%,20.0%,100.0%,71.4%,14.3%,0.0%,57.1%,14.3%,28.6%,28.6%,42.9%,42.9%
James Outman LHB,,+720,16,3.20,7,0,1,95.1,340.3,3,3,28.6%,-,14.3%,71.4%,42.9%,73.2,36.4%,54.5%,27.3%,100.0%,57.2%,42.9%,0.0%,14.3%,42.9%,42.9%,42.9%,14.3%,66.7%
Colt Keith LHB,,+900,4,3.00,4,0,0,85.8,363.3,1,1,-,-,-,50.0%,25.0%,70.3,-,40.0%,20.0%,100.0%,25.0%,-,-,25.0%,75.0%,75.0%,25.0%,-,0.0%
Kerry Carpenter LHB,,+552,3,1.80,3,0,2,88.4,370.5,2,2,33.3%,-,33.3%,66.7%,33.3%,70.2,-,33.3%,16.7%,100.0%,66.7%,66.7%,0.0%,-,33.3%,66.7%,-,33.3%,66.7%
