Matchup,DET @ MIN
Pitcher,Troy Melton
Pitcher Team,DET
Opposing Team,MIN

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,97.0,382,0.201,0.266,0.341,0.140,1.01,10,0.93,7.3%,25.1%,20.9%,20.1%,12.5%,7.42,59.2%,6.9%,5.9%,36.5%,23.2%,11.1%,17.7%
vsLHB,54.2,229,0.213,0.310,0.416,0.203,1.19,9,1.48,9.6%,21.8%,17.0%,16.9%,10.7%,6.42,57.2%,7.1%,7.3%,35.8%,31.5%,13.5%,18.2%
vsRHB,41.2,153,0.184,0.201,0.238,0.054,0.79,1,0.22,3.9%,30.0%,26.8%,24.6%,15.2%,8.86,62.1%,6.4%,3.8%,37.7%,10.4%,-,17.0%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Brooks Lee SHB,,+586,17,4.40,8,2,2,89.0,298.6,3,3,12.5%,12.5%,37.5%,37.5%,62.5%,69.6,-,35.7%,21.4%,93.3%,75.0%,50.0%,50.0%,25.0%,25.0%,62.5%,37.5%,-,0.0%
Ryan Jeffers RHB,,+630,40,3.60,8,2,2,87.1,225.2,3,3,25.0%,12.5%,62.5%,62.5%,50.0%,75.5,61.5%,38.5%,30.8%,100.0%,62.5%,25.0%,100.0%,37.5%,12.5%,75.0%,12.5%,12.5%,14.3%
Kaelen Culpepper RHB,,+860,14,3.80,8,1,1,85.2,235.9,1,1,12.5%,12.5%,12.5%,25.0%,12.5%,75.8,66.7%,16.7%,16.7%,100.0%,37.5%,37.5%,33.3%,-,37.5%,37.5%,50.0%,12.5%,25.0%
Kody Clemens LHB,,+446,20,4.00,8,1,3,97.5,294.5,4,3,25.0%,12.5%,62.5%,75.0%,62.5%,73.4,27.3%,54.5%,45.5%,100.0%,87.5%,50.0%,25.0%,37.5%,12.5%,75.0%,25.0%,-,50.0%
Alex Jackson RHB,—,N/A,19,2.60,8,1,1,75.3,315.6,1,1,12.5%,12.5%,25.0%,37.5%,12.5%,73.6,37.5%,18.8%,18.8%,88.9%,25.0%,12.5%,100.0%,12.5%,50.0%,50.0%,50.0%,-,50.0%
Victor Caratini SHB,—,N/A,14,3.40,8,0,1,91.5,204.0,2,0,12.5%,12.5%,12.5%,37.5%,37.5%,70.9,9.1%,63.6%,18.2%,100.0%,37.5%,-,-,37.5%,37.5%,12.5%,62.5%,25.0%,42.9%
Josh Bell SHB,,+560,40,4.20,8,0,0,85.7,260.5,2,0,-,-,25.0%,25.0%,25.0%,71.8,30.8%,30.8%,15.4%,92.9%,50.0%,25.0%,0.0%,25.0%,37.5%,37.5%,37.5%,25.0%,60.0%
Trevor Larnach LHB,,+690,23,3.80,8,0,0,87.2,241.1,1,0,-,-,25.0%,12.5%,37.5%,71.8,18.2%,36.4%,9.1%,100.0%,75.0%,37.5%,0.0%,37.5%,25.0%,37.5%,50.0%,12.5%,0.0%
Royce Lewis RHB,,+539,19,3.80,8,0,0,85.0,245.7,2,0,-,-,37.5%,12.5%,25.0%,75.6,42.9%,35.7%,-,93.3%,87.5%,62.5%,0.0%,25.0%,12.5%,37.5%,50.0%,12.5%,50.0%
Ryan Kreidler RHB,—,N/A,19,2.80,8,0,0,79.2,270.2,0,0,-,-,12.5%,25.0%,-,74.0,50.0%,50.0%,12.5%,80.0%,25.0%,25.0%,0.0%,-,62.5%,50.0%,37.5%,12.5%,62.5%
Luke Keaschall RHB,,+760,16,4.40,8,0,0,90.7,286.4,3,0,12.5%,12.5%,12.5%,37.5%,37.5%,71.7,10.0%,60.0%,30.0%,90.9%,50.0%,25.0%,0.0%,25.0%,50.0%,25.0%,50.0%,25.0%,0.0%
Walker Jenkins LHB,,+960,3,3.50,6,0,0,87.5,251.9,1,1,16.7%,-,33.3%,33.3%,50.0%,71.0,10.0%,50.0%,10.0%,100.0%,66.6%,33.3%,0.0%,33.3%,16.7%,50.0%,33.3%,16.7%,60.0%
Gabriel Gonzalez RHB,—,N/A,-,2.50,1,0,0,66.6,-,0,0,-,-,-,-,-,66.3,-,-,-,100.0%,-,-,-,-,100.0%,100.0%,-,-,100.0%
