Matchup,DET @ TB
Pitcher,Griffin Jax
Pitcher Team,TB
Opposing Team,DET

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,30.0,128,0.243,0.303,0.360,0.117,1.40,4,1.20,11.7%,29.5%,21.1%,21.1%,13.7%,8.10,66.4%,7.3%,5.8%,36.0%,23.3%,20.0%,11.6%
vsLHB,17.0,73,0.258,0.297,0.364,0.106,1.41,2,1.06,9.6%,29.2%,20.5%,22.7%,15.0%,7.94,68.5%,6.8%,3.9%,31.4%,17.6%,22.2%,11.8%
vsRHB,13.0,55,0.222,0.312,0.356,0.133,1.38,2,1.38,14.5%,30.0%,21.8%,19.4%,12.1%,8.31,63.6%,8.0%,8.6%,42.9%,31.4%,18.2%,11.4%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Wenceel Perez SHB,+920,20,4.00,1,1,0.056,0.150,0.222,0.167,0.170,10.0%,26.7%,20.0%,11.0%,85.4,-,-,21.4%,14.3%,7.1%,69.3,12.0%,36.0%,4.0%,86.2%,42.9%,16.7%,-,42.9%,42.9%,35.7%,21.4%,21.1%
Spencer Torkelson RHB,+540,18,4.00,1,2,0.353,0.389,0.647,0.294,0.442,5.6%,21.7%,27.8%,9.4%,89.3,16.7%,8.3%,33.3%,41.7%,58.3%,73.4,21.1%,36.8%,15.8%,82.6%,41.7%,20.0%,33.3%,16.7%,50.0%,25.0%,25.0%,46.7%
Kerry Carpenter LHB,+454,21,1.80,0,1,0.263,0.333,0.368,0.105,0.308,9.5%,26.7%,42.9%,15.0%,87.3,10.0%,-,20.0%,30.0%,40.0%,72.2,11.9%,11.9%,4.8%,93.3%,20.0%,0.0%,30.0%,40.0%,40.0%,50.0%,10.0%,18.8%
Matt Vierling RHB,+820,20,3.20,0,0,0.150,0.150,0.150,-,0.134,-,17.1%,30.0%,9.0%,92.8,7.1%,-,-,57.1%,28.6%,71.0,8.3%,33.3%,16.7%,87.8%,21.4%,0.0%,14.3%,57.1%,28.6%,57.1%,14.3%,19.2%
Dillon Dingler RHB,+650,19,4.20,0,0,0.067,0.263,0.067,-,0.183,21.1%,21.2%,26.3%,9.2%,85.0,10.0%,-,10.0%,30.0%,30.0%,72.1,14.3%,21.4%,10.7%,84.8%,20.0%,0.0%,30.0%,50.0%,30.0%,60.0%,10.0%,18.2%
Jake Rogers RHB,N/A,18,3.20,0,0,0.133,0.278,0.133,-,0.207,16.7%,17.1%,22.2%,9.1%,85.4,-,-,45.5%,45.5%,27.3%,70.7,-,17.6%,2.9%,97.1%,27.3%,0.0%,27.3%,9.1%,45.5%,27.3%,27.3%,36.4%
Hao-Yu Lee RHB,N/A,17,2.40,0,0,0.312,0.353,0.375,0.062,0.322,5.9%,29.6%,35.3%,14.3%,87.4,-,-,10.0%,20.0%,20.0%,69.2,4.3%,26.1%,4.3%,88.5%,40.0%,0.0%,10.0%,50.0%,40.0%,30.0%,30.0%,25.0%
Colt Keith LHB,+980,16,2.80,0,0,0.250,0.375,0.417,0.167,0.334,18.8%,16.7%,12.5%,6.1%,94.9,9.1%,-,27.3%,54.5%,63.6%,71.2,12.5%,33.3%,20.8%,100.0%,36.4%,0.0%,45.5%,18.2%,36.4%,54.5%,9.1%,15.0%
Zach McKinstry LHB,+1260,15,3.20,0,0,-,0.267,-,-,0.173,26.7%,11.4%,20.0%,5.4%,83.4,-,-,-,25.0%,25.0%,68.0,3.3%,16.7%,-,85.7%,50.0%,0.0%,12.5%,12.5%,-,50.0%,50.0%,18.8%
Kevin McGonigle LHB,+760,15,4.20,0,0,0.231,0.333,0.385,0.154,0.313,13.3%,19.2%,26.7%,7.8%,84.4,-,-,22.2%,44.4%,22.2%,70.8,22.7%,22.7%,13.6%,84.6%,22.2%,0.0%,22.2%,33.3%,55.6%,33.3%,11.1%,14.3%
Riley Greene LHB,+540,13,4.00,0,0,0.231,0.231,0.231,-,0.205,-,33.3%,30.8%,16.7%,90.6,11.1%,-,22.2%,66.7%,44.4%,75.5,55.2%,17.2%,10.3%,90.6%,33.3%,0.0%,22.2%,44.4%,33.3%,44.4%,22.2%,38.9%
Jahmai Jones RHB,N/A,8,1.60,0,0,-,-,-,-,-,-,46.7%,50.0%,29.2%,75.0,-,-,-,25.0%,-,70.3,7.7%,7.7%,-,86.7%,25.0%,0.0%,-,25.0%,-,50.0%,50.0%,62.5%
Zack Short RHB,N/A,7,3.20,0,0,0.200,0.429,0.200,-,0.323,14.3%,24.0%,28.6%,10.9%,82.6,-,-,33.3%,33.3%,66.7%,70.0,12.5%,4.2%,4.2%,96.0%,-,-,66.7%,-,33.3%,33.3%,33.3%,15.4%
