Matchup,DET @ TB
Pitcher,Troy Melton
Pitcher Team,DET
Opposing Team,TB

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,12.2,50,0.178,0.229,0.267,0.089,0.95,0,-,8.0%,14.9%,8.0%,11.1%,7.7%,2.84,46.0%,6.5%,4.8%,40.5%,28.6%,-,16.7%
vsLHB,8.2,35,0.167,0.232,0.233,0.067,1.04,0,-,11.4%,19.4%,11.4%,13.8%,9.5%,4.15,48.6%,7.1%,3.7%,29.6%,29.6%,-,14.8%
vsRHB,4.0,15,0.200,0.224,0.333,0.133,0.75,0,-,-,4.0%,-,-,2.4%,-,40.0%,4.8%,6.7%,60.0%,26.7%,-,20.0%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Yandy Diaz RHB,+475,22,4.60,2,3,0.294,0.455,0.765,0.471,0.498,18.2%,7.9%,13.6%,3.2%,96.0,28.6%,-,-,57.1%,35.7%,74.7,50.0%,25.0%,19.4%,94.7%,50.0%,28.6%,7.1%,35.7%,-,57.1%,42.9%,26.9%
Jonathan Aranda LHB,+495,19,4.80,2,3,0.200,0.316,0.600,0.400,0.370,15.8%,21.6%,31.6%,10.4%,92.9,20.0%,20.0%,20.0%,60.0%,40.0%,72.0,24.1%,24.1%,17.2%,80.6%,50.0%,40.0%,20.0%,20.0%,30.0%,40.0%,30.0%,40.9%
Ryan Vilade RHB,N/A,19,3.60,2,2,0.214,0.368,0.643,0.429,0.405,21.1%,15.0%,5.3%,6.7%,88.2,14.3%,14.3%,14.3%,35.7%,28.6%,76.5,66.7%,11.1%,8.3%,92.3%,28.6%,50.0%,14.3%,50.0%,28.6%,57.1%,14.3%,30.4%
Junior Caminero RHB,+350,29,4.80,1,2,0.292,0.414,0.417,0.125,0.368,17.2%,11.9%,10.3%,4.8%,94.9,9.5%,4.8%,9.5%,61.9%,14.3%,79.2,87.2%,35.9%,23.1%,92.9%,23.8%,20.0%,9.5%,66.7%,28.6%,66.7%,4.8%,21.4%
Hunter Feduccia LHB,+1200,13,3.00,1,2,0.250,0.308,0.583,0.333,0.378,7.7%,27.6%,38.5%,17.0%,80.5,14.3%,-,14.3%,42.9%,28.6%,69.3,3.8%,19.2%,7.7%,92.9%,57.1%,25.0%,14.3%,-,14.3%,42.9%,42.9%,54.5%
Victor Mesa Jr. LHB,+760,11,3.20,1,1,0.250,0.455,0.625,0.375,0.449,27.3%,33.3%,9.1%,15.6%,93.6,14.3%,14.3%,57.1%,57.1%,28.6%,74.3,36.8%,21.1%,21.1%,90.5%,28.6%,50.0%,14.3%,14.3%,71.4%,14.3%,14.3%,35.7%
Taylor Walls SHB,+1250,22,4.40,0,0,0.250,0.318,0.450,0.200,0.329,9.1%,33.3%,31.8%,13.3%,86.7,15.4%,7.7%,15.4%,30.8%,38.5%,67.2,6.7%,30.0%,3.3%,90.9%,15.4%,0.0%,30.8%,38.5%,53.8%,15.4%,30.8%,29.4%
Chandler Simpson LHB,+2500,19,4.00,0,0,0.278,0.316,0.278,-,0.268,5.3%,8.0%,-,3.6%,82.7,-,-,-,11.1%,11.1%,65.1,4.8%,61.9%,-,91.3%,27.8%,0.0%,11.1%,50.0%,33.3%,16.7%,50.0%,20.8%
Nick Fortes RHB,+1000,18,3.20,0,0,0.222,0.222,0.278,0.056,0.219,-,18.6%,16.7%,11.6%,83.8,-,-,20.0%,20.0%,13.3%,73.4,29.3%,12.2%,7.3%,95.3%,13.3%,0.0%,13.3%,46.7%,66.7%,20.0%,6.7%,40.0%
Ben Williamson RHB,N/A,17,2.60,0,0,0.462,0.588,0.462,-,0.471,17.6%,13.3%,11.8%,4.8%,84.7,-,-,-,45.5%,9.1%,67.4,12.5%,29.2%,4.2%,92.3%,-,-,9.1%,81.8%,27.3%,63.6%,9.1%,9.5%
Cedric Mullins LHB,+725,14,4.00,0,0,0.200,0.429,0.300,0.100,0.340,28.6%,23.1%,21.4%,8.5%,94.9,-,-,42.9%,42.9%,85.7%,70.1,3.8%,26.9%,7.7%,100.0%,42.9%,0.0%,57.1%,-,42.9%,57.1%,-,31.2%
Richie Palacios LHB,+1080,14,4.40,0,0,0.200,0.429,0.200,-,0.313,28.6%,26.1%,14.3%,10.9%,91.6,-,-,37.5%,37.5%,25.0%,70.0,5.0%,35.0%,5.0%,87.0%,25.0%,0.0%,25.0%,37.5%,75.0%,25.0%,-,36.4%
Oliver Dunn LHB,N/A,3,2.00,0,0,-,0.333,-,-,0.216,33.3%,25.0%,33.3%,7.7%,80.6,-,-,-,-,-,75.0,50.0%,-,-,100.0%,-,-,-,-,-,100.0%,-,0.0%
