Matchup,DET @ TOR
Pitcher,Braydon Fisher
Pitcher Team,TOR
Opposing Team,DET

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,72.2,295,0.203,0.281,0.335,0.131,1.22,8,0.99,12.9%,28.1%,24.4%,19.6%,12.3%,8.92,56.3%,5.6%,9.9%,38.5%,25.8%,17.0%,24.2%
vsLHB,33.0,153,0.223,0.316,0.372,0.149,1.70,4,1.09,19.0%,27.7%,22.9%,17.5%,11.4%,9.55,54.6%,5.3%,12.5%,43.2%,36.4%,12.5%,29.5%
vsRHB,38.2,142,0.185,0.243,0.300,0.115,0.85,4,0.93,6.3%,28.6%,26.1%,22.2%,13.2%,8.61,58.0%,5.9%,7.4%,34.0%,16.0%,26.7%,19.1%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Spencer Torkelson RHB,,+490,17,3.20,8,2,2,95.4,309.2,4,3,12.5%,12.5%,50.0%,75.0%,50.0%,74.0,27.3%,63.6%,36.4%,100.0%,75.0%,37.5%,66.7%,37.5%,25.0%,62.5%,37.5%,-,0.0%
Kevin McGonigle LHB,,+574,7,4.80,8,1,2,92.4,294.8,3,1,-,-,12.5%,50.0%,50.0%,71.4,9.1%,63.6%,18.2%,100.0%,62.5%,37.5%,33.3%,25.0%,25.0%,12.5%,25.0%,62.5%,33.3%
Max Clark LHB,,+920,16,4.20,8,1,1,94.0,307.8,3,2,-,-,37.5%,62.5%,12.5%,75.8,77.8%,66.7%,44.4%,100.0%,50.0%,50.0%,25.0%,-,50.0%,50.0%,37.5%,12.5%,75.0%
Riley Greene LHB,,+450,14,4.40,8,1,1,85.5,307.5,3,2,25.0%,-,-,37.5%,37.5%,75.7,45.5%,36.4%,27.3%,84.6%,75.0%,62.5%,20.0%,12.5%,25.0%,12.5%,50.0%,37.5%,60.0%
Dillon Dingler RHB,,+590,24,4.00,8,1,1,85.4,326.8,4,2,12.5%,12.5%,25.0%,37.5%,50.0%,69.8,10.0%,50.0%,10.0%,90.9%,62.5%,50.0%,25.0%,12.5%,37.5%,37.5%,37.5%,25.0%,50.0%
Brett Callahan LHB,,+800,13,2.80,8,0,2,97.8,331.8,5,3,25.0%,25.0%,50.0%,62.5%,37.5%,72.2,40.0%,60.0%,30.0%,100.0%,75.0%,37.5%,0.0%,37.5%,25.0%,75.0%,-,25.0%,28.6%
Zach McKinstry LHB,,+1300,11,3.40,8,0,0,81.6,280.3,1,1,-,-,37.5%,12.5%,25.0%,66.7,-,36.4%,-,78.6%,62.5%,50.0%,0.0%,12.5%,25.0%,50.0%,37.5%,12.5%,16.7%
Hao-Yu Lee RHB,,+880,15,4.60,8,0,1,82.6,257.8,4,0,-,-,12.5%,25.0%,50.0%,73.8,50.0%,18.8%,-,88.9%,62.5%,50.0%,0.0%,12.5%,25.0%,25.0%,37.5%,37.5%,12.5%
Javier Baez RHB,—,N/A,4,3.00,8,0,0,79.9,222.2,1,0,-,-,12.5%,25.0%,25.0%,74.4,25.0%,25.0%,8.3%,85.7%,25.0%,12.5%,0.0%,12.5%,50.0%,25.0%,25.0%,50.0%,16.7%
Eduardo Valencia RHB,—,N/A,17,4.20,8,0,1,90.2,322.1,3,2,25.0%,-,25.0%,37.5%,62.5%,74.5,36.4%,45.5%,27.3%,100.0%,62.5%,25.0%,0.0%,37.5%,37.5%,62.5%,37.5%,-,28.6%
Ben Malgeri RHB,—,N/A,23,2.60,8,0,0,92.3,300.0,2,1,-,-,12.5%,37.5%,37.5%,68.7,-,53.8%,15.4%,92.9%,50.0%,25.0%,0.0%,25.0%,50.0%,25.0%,25.0%,50.0%,50.0%
Gleyber Torres RHB,,+650,8,4.00,8,0,0,80.6,185.9,0,0,-,-,-,25.0%,12.5%,68.3,8.3%,25.0%,16.7%,85.7%,12.5%,-,-,12.5%,87.5%,12.5%,62.5%,25.0%,16.7%
Colt Keith LHB,,+980,20,3.00,8,0,0,92.3,253.1,2,1,12.5%,-,12.5%,62.5%,37.5%,72.8,28.6%,42.9%,28.6%,100.0%,62.5%,12.5%,0.0%,50.0%,37.5%,37.5%,37.5%,25.0%,0.0%
John Peck RHB,,+1260,5,4.20,7,0,0,92.4,285.9,3,1,-,-,-,57.1%,42.9%,72.3,25.0%,33.3%,25.0%,85.7%,71.5%,28.6%,0.0%,42.9%,28.6%,14.3%,28.6%,57.1%,80.0%
