Matchup,HOU @ SD
Pitcher,Robbie Ray
Pitcher Team,SD
Opposing Team,HOU

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,122.2,512,0.225,0.301,0.368,0.143,1.29,15,1.10,11.1%,24.9%,20.9%,18.2%,11.8%,7.85,60.0%,6.2%,8.4%,37.5%,35.4%,12.2%,15.0%
vsLHB,30.1,133,0.271,0.308,0.347,0.076,1.48,1,0.30,9.8%,30.7%,23.3%,20.0%,14.1%,9.20,62.4%,7.3%,5.6%,34.8%,24.7%,4.5%,10.1%
vsRHB,90.1,379,0.209,0.299,0.376,0.167,1.25,14,1.39,11.6%,23.2%,20.1%,17.6%,11.1%,7.57,59.2%,5.8%,9.3%,38.4%,39.1%,13.9%,16.7%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Christian Walker RHB,,+380,26,4.60,5,1,1,88.2,410.8,1,1,20.0%,20.0%,20.0%,40.0%,20.0%,75.5,44.4%,33.3%,22.2%,90.0%,20.0%,20.0%,100.0%,-,80.0%,80.0%,-,20.0%,0.0%
Yordan Alvarez LHB,,+310,23,5.00,5,1,3,99.2,313.2,3,2,40.0%,20.0%,20.0%,80.0%,60.0%,77.4,66.7%,66.7%,50.0%,100.0%,80.0%,60.0%,33.3%,20.0%,-,20.0%,40.0%,40.0%,60.0%
Yainer Diaz RHB,,+600,16,4.20,5,0,0,90.0,253.1,1,0,-,-,-,40.0%,60.0%,73.3,42.9%,28.6%,14.3%,70.0%,40.0%,20.0%,0.0%,20.0%,60.0%,20.0%,60.0%,20.0%,50.0%
Jose Altuve RHB,,+545,23,4.40,5,0,0,94.3,256.7,1,1,-,-,-,60.0%,-,75.9,60.0%,60.0%,20.0%,100.0%,60.0%,40.0%,0.0%,20.0%,40.0%,40.0%,60.0%,-,20.0%
Christian Vazquez RHB,—,N/A,9,3.40,5,0,0,87.6,231.9,1,0,-,-,20.0%,40.0%,40.0%,67.1,-,37.5%,12.5%,100.0%,100.0%,40.0%,0.0%,60.0%,-,20.0%,20.0%,60.0%,50.0%
Nick Allen RHB,—,N/A,5,2.00,5,0,1,94.9,299.5,3,1,20.0%,20.0%,40.0%,40.0%,40.0%,69.2,-,71.4%,-,87.5%,80.0%,40.0%,0.0%,40.0%,20.0%,60.0%,20.0%,20.0%,66.7%
Isaac Paredes RHB,,+450,9,4.00,5,0,0,77.0,207.2,0,0,-,-,40.0%,-,40.0%,64.1,16.7%,33.3%,-,75.0%,80.0%,40.0%,0.0%,40.0%,20.0%,40.0%,40.0%,20.0%,0.0%
Daulton Varsho LHB,,+770,29,4.20,5,0,0,68.8,109.0,0,0,-,-,-,20.0%,20.0%,72.0,25.0%,50.0%,25.0%,57.1%,20.0%,20.0%,0.0%,-,40.0%,60.0%,-,40.0%,33.3%
Taylor Trammell LHB,,+790,6,4.00,5,0,0,72.4,225.1,1,0,-,-,-,-,20.0%,77.1,80.0%,20.0%,-,83.3%,20.0%,-,-,20.0%,60.0%,60.0%,20.0%,20.0%,25.0%
Jeremy Pena RHB,,+513,33,5.00,5,0,0,87.5,239.6,0,0,-,-,-,20.0%,20.0%,72.6,-,33.3%,-,75.0%,40.0%,20.0%,0.0%,20.0%,60.0%,40.0%,40.0%,20.0%,50.0%
Cam Smith RHB,,+565,18,4.40,5,0,0,84.5,298.2,2,0,-,-,-,20.0%,-,79.6,90.0%,10.0%,10.0%,90.9%,60.0%,60.0%,0.0%,-,40.0%,20.0%,60.0%,20.0%,50.0%
LaMonte Wade Jr. LHB,—,N/A,6,2.40,4,0,0,95.7,306.5,2,0,-,-,25.0%,50.0%,50.0%,70.5,-,50.0%,12.5%,100.0%,75.0%,25.0%,0.0%,50.0%,25.0%,25.0%,25.0%,50.0%,33.3%
