Matchup,HOU @ TOR
Pitcher,Dylan Cease
Pitcher Team,TOR
Opposing Team,HOU

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,73.0,303,0.209,0.270,0.299,0.090,1.19,5,0.62,10.2%,37.6%,36.0%,26.3%,17.4%,13.44,60.8%,5.9%,5.0%,37.1%,18.2%,17.2%,18.2%
vsLHB,40.2,172,0.209,0.289,0.324,0.115,1.28,4,0.89,12.2%,37.6%,34.9%,25.0%,17.5%,13.28,58.3%,4.8%,5.6%,37.1%,21.3%,21.1%,18.0%
vsRHB,32.1,131,0.208,0.245,0.267,0.058,1.08,1,0.28,7.6%,37.6%,37.4%,28.2%,17.3%,13.64,64.1%,7.5%,4.3%,37.1%,14.3%,10.0%,18.6%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Christian Walker RHB,,+441,14,29,4.00,1,2,0.179,0.207,0.357,0.179,0.244,3.4%,21.4%,20.7%,11.0%,91.1,299.0,7,4,-,-,27.3%,54.5%,27.3%,73.5,34.1%,31.7%,22.0%,97.6%,36.4%,12.5%,27.3%,36.4%,45.5%,18.2%,36.4%,23.1%
Brice Matthews RHB,—,N/A,13,17,2.80,0,0,0.267,0.353,0.333,0.067,0.308,11.8%,38.5%,23.5%,15.4%,89.9,297.3,3,3,18.2%,-,-,54.5%,45.5%,73.5,30.4%,26.1%,17.4%,92.0%,18.2%,0.0%,27.3%,54.5%,27.3%,45.5%,27.3%,29.4%
Jeremy Pena RHB,,+870,9,29,4.20,2,2,0.231,0.310,0.500,0.269,0.348,10.3%,27.6%,20.7%,13.0%,89.4,242.8,4,3,-,-,35.0%,50.0%,20.0%,71.9,10.0%,22.0%,10.0%,86.2%,30.0%,16.7%,20.0%,40.0%,55.0%,15.0%,30.0%,35.5%
Cam Smith RHB,,+940,24,22,3.60,0,1,0.182,0.182,0.227,0.045,0.179,-,24.4%,22.7%,12.6%,92.0,265.6,3,1,5.9%,-,-,47.1%,29.4%,76.8,69.8%,18.6%,16.3%,97.7%,17.6%,0.0%,17.6%,64.7%,29.4%,52.9%,17.6%,39.1%
Yordan Alvarez LHB,,+295,32,17,4.20,0,0,0.412,0.412,0.529,0.118,0.411,-,20.0%,17.6%,10.4%,89.3,280.9,3,1,7.1%,-,14.3%,42.9%,50.0%,75.7,51.4%,22.9%,11.4%,87.5%,28.6%,0.0%,50.0%,21.4%,28.6%,35.7%,35.7%,46.2%
Yainer Diaz RHB,,+1060,21,18,4.00,1,1,0.389,0.389,0.667,0.278,0.456,-,18.8%,16.7%,10.0%,92.7,270.4,2,2,6.7%,6.7%,13.3%,40.0%,60.0%,71.2,19.2%,42.3%,15.4%,89.7%,20.0%,33.3%,46.7%,33.3%,26.7%,53.3%,20.0%,38.1%
Isaac Paredes RHB,,+593,16,25,4.00,0,1,0.278,0.480,0.333,0.056,0.383,16.0%,18.9%,20.0%,6.7%,83.0,248.8,4,1,-,-,23.1%,38.5%,46.2%,68.8,10.3%,24.1%,6.9%,82.9%,30.8%,0.0%,23.1%,30.8%,30.8%,53.8%,15.4%,13.6%
Taylor Trammell LHB,—,N/A,6,17,1.80,0,1,0.250,0.294,0.375,0.125,0.292,5.9%,62.1%,47.1%,32.1%,91.5,268.7,2,1,12.5%,-,12.5%,37.5%,50.0%,73.3,30.8%,15.4%,7.7%,96.3%,62.5%,0.0%,25.0%,12.5%,25.0%,37.5%,37.5%,35.7%
Jake Meyers RHB,,+1120,15,23,3.20,1,1,0.190,0.261,0.333,0.143,0.264,8.7%,16.7%,17.4%,7.8%,86.1,277.4,4,1,5.9%,-,-,29.4%,17.6%,66.4,-,28.2%,10.3%,95.1%,41.2%,14.3%,11.8%,41.2%,17.6%,52.9%,29.4%,33.3%
Jose Altuve RHB,,+800,17,23,4.00,1,2,0.143,0.217,0.333,0.190,0.242,8.7%,31.2%,39.1%,12.0%,87.8,262.8,3,1,16.7%,8.3%,33.3%,25.0%,41.7%,69.4,7.1%,25.0%,7.1%,87.5%,25.0%,33.3%,25.0%,50.0%,75.0%,25.0%,-,34.8%
Joey Loperfido LHB,,+1100,8,14,2.40,0,1,0.222,0.500,0.444,0.222,0.418,28.6%,31.6%,7.1%,9.8%,85.4,263.5,2,1,12.5%,-,-,25.0%,37.5%,71.3,16.7%,22.2%,11.1%,94.7%,50.0%,0.0%,12.5%,25.0%,12.5%,37.5%,50.0%,38.5%
Christian Vazquez RHB,—,N/A,6,23,3.40,0,0,0.095,0.174,0.095,-,0.134,8.7%,20.0%,13.0%,10.0%,81.0,292.9,2,1,-,-,-,22.2%,27.8%,64.7,-,27.3%,2.3%,88.0%,27.8%,0.0%,11.1%,55.6%,22.2%,38.9%,38.9%,19.0%
Raynel Delgado LHB,—,N/A,-,4,2.75,0,0,0.750,0.750,0.750,-,0.668,-,33.3%,25.0%,18.2%,83.1,182.0,0,0,-,-,33.3%,-,66.7%,72.4,-,-,-,83.3%,-,-,66.7%,33.3%,33.3%,66.7%,-,50.0%
