Matchup,KC @ BOS
Pitcher,Randy Dobnak
Pitcher Team,KC
Opposing Team,BOS

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,63.2,268,0.252,0.304,0.372,0.120,1.32,6,0.85,8.6%,20.0%,16.0%,14.2%,9.2%,6.08,59.8%,5.2%,5.0%,40.3%,21.4%,14.0%,19.9%
vsLHB,39.0,162,0.267,0.314,0.413,0.147,1.26,5,1.15,5.6%,15.9%,14.2%,13.3%,7.6%,5.31,57.6%,6.2%,6.2%,38.0%,24.0%,16.1%,18.6%
vsRHB,24.1,106,0.228,0.289,0.304,0.076,1.44,1,0.37,13.2%,26.5%,18.9%,15.5%,11.4%,7.40,63.2%,3.7%,2.8%,44.4%,16.7%,8.3%,22.2%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Adley Rutschman SHB,,+680,16,4.00,8,2,2,90.1,332.0,4,2,25.0%,25.0%,50.0%,25.0%,50.0%,71.7,8.3%,33.3%,16.7%,100.0%,62.5%,50.0%,50.0%,12.5%,37.5%,87.5%,12.5%,-,20.0%
Wilyer Abreu LHB,,+410,17,4.20,8,1,1,90.3,285.2,1,1,12.5%,-,-,37.5%,25.0%,74.1,30.0%,40.0%,30.0%,83.3%,62.5%,37.5%,33.3%,25.0%,37.5%,25.0%,25.0%,50.0%,28.6%
Mickey Gasper SHB,,+680,30,4.00,8,1,2,91.3,332.8,3,1,12.5%,12.5%,50.0%,37.5%,12.5%,71.3,14.3%,85.7%,14.3%,100.0%,50.0%,50.0%,25.0%,-,50.0%,62.5%,37.5%,-,75.0%
Jarren Duran LHB,,+590,21,4.00,8,1,2,92.3,370.1,4,2,12.5%,12.5%,25.0%,50.0%,37.5%,75.1,50.0%,60.0%,20.0%,83.3%,50.0%,37.5%,33.3%,12.5%,50.0%,37.5%,50.0%,12.5%,37.5%
Trevor Story RHB,,+760,13,4.00,8,0,0,79.8,222.7,1,1,12.5%,-,25.0%,25.0%,25.0%,69.6,-,20.0%,13.3%,93.8%,50.0%,25.0%,0.0%,25.0%,25.0%,37.5%,37.5%,25.0%,25.0%
Connor Wong RHB,—,N/A,11,3.80,8,0,0,79.7,143.7,0,0,-,-,-,12.5%,-,72.6,12.5%,25.0%,12.5%,100.0%,12.5%,-,-,12.5%,50.0%,37.5%,37.5%,25.0%,40.0%
Andruw Monasterio RHB,—,N/A,12,2.80,8,0,1,81.7,252.3,2,1,-,-,12.5%,12.5%,25.0%,67.9,-,30.0%,-,90.9%,37.5%,12.5%,0.0%,25.0%,37.5%,37.5%,37.5%,25.0%,0.0%
Anthony Seigler SHB,—,N/A,14,3.20,8,0,1,80.3,280.6,2,1,-,-,12.5%,37.5%,25.0%,67.4,-,55.6%,-,81.8%,37.5%,37.5%,0.0%,-,37.5%,25.0%,12.5%,62.5%,66.7%
Nick Sogard SHB,,+1040,23,4.20,8,0,1,89.3,245.1,2,2,-,-,12.5%,25.0%,62.5%,69.3,-,50.0%,-,85.7%,62.5%,25.0%,0.0%,37.5%,12.5%,25.0%,50.0%,25.0%,33.3%
Isiah Kiner-Falefa RHB,,+2500,5,4.00,8,0,0,82.8,252.7,1,1,-,-,-,50.0%,12.5%,66.4,-,66.7%,22.2%,100.0%,25.0%,12.5%,0.0%,12.5%,75.0%,25.0%,50.0%,25.0%,16.7%
Roman Anthony LHB,,+550,22,4.80,8,0,1,94.8,284.8,3,1,25.0%,12.5%,37.5%,50.0%,50.0%,75.8,63.6%,45.5%,18.2%,100.0%,75.0%,50.0%,0.0%,25.0%,25.0%,37.5%,50.0%,12.5%,33.3%
Caleb Durbin RHB,,+1120,8,4.00,8,0,0,66.5,194.8,1,0,-,-,-,-,25.0%,69.8,-,25.0%,-,80.0%,12.5%,-,-,12.5%,62.5%,37.5%,37.5%,25.0%,16.7%
Nate Eaton RHB,—,N/A,-,3.60,6,0,0,91.4,252.4,3,0,-,-,50.0%,50.0%,33.3%,73.4,22.2%,44.4%,11.1%,90.0%,50.0%,16.7%,0.0%,33.3%,33.3%,66.7%,-,33.3%,25.0%
Jahmai Jones RHB,—,N/A,2,1.60,4,0,0,84.6,259.8,1,0,-,-,-,25.0%,25.0%,76.4,50.0%,50.0%,25.0%,66.7%,25.0%,-,-,25.0%,50.0%,25.0%,50.0%,25.0%,100.0%
