Matchup,KC @ DET
Pitcher,Tarik Skubal
Pitcher Team,DET
Opposing Team,KC

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,82.2,321,0.216,0.266,0.364,0.148,0.93,10,1.09,3.4%,32.1%,30.5%,23.2%,17.1%,10.67,68.3%,7.0%,6.7%,34.1%,22.6%,19.1%,17.3%
vsLHB,19.0,79,0.286,0.323,0.455,0.169,1.26,3,1.42,2.5%,28.8%,27.8%,23.2%,16.3%,10.42,82.5%,10.5%,5.5%,38.2%,9.1%,60.0%,16.4%
vsRHB,63.2,242,0.193,0.247,0.333,0.140,0.83,7,0.99,3.7%,33.1%,31.4%,23.2%,17.4%,10.74,63.6%,6.0%,7.2%,32.7%,27.5%,14.3%,17.6%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Lane Thomas RHB,,+830,19,4.20,10,2,4,100.6,364.0,4,3,20.0%,20.0%,30.0%,80.0%,50.0%,73.5,35.7%,71.4%,50.0%,93.3%,50.0%,30.0%,66.7%,20.0%,50.0%,60.0%,30.0%,10.0%,71.4%
Salvador Perez RHB,,+790,21,4.20,10,1,1,98.3,279.3,4,2,30.0%,-,20.0%,80.0%,60.0%,74.5,50.0%,50.0%,33.3%,100.0%,70.0%,30.0%,33.3%,40.0%,30.0%,40.0%,40.0%,20.0%,42.9%
Carter Jensen LHB,,+800,34,4.40,10,1,2,94.7,298.0,4,2,20.0%,-,30.0%,70.0%,80.0%,72.9,40.0%,70.0%,40.0%,100.0%,80.0%,40.0%,25.0%,40.0%,20.0%,30.0%,50.0%,20.0%,14.3%
Jac Caglianone LHB,,+780,30,3.60,10,1,1,91.1,404.7,2,2,10.0%,-,-,60.0%,20.0%,78.9,86.7%,40.0%,26.7%,100.0%,20.0%,20.0%,50.0%,-,80.0%,60.0%,40.0%,-,66.7%
Luke Maile RHB,—,N/A,-,3.67,4,1,1,78.8,267.8,1,1,25.0%,-,-,25.0%,25.0%,70.0,-,33.3%,16.7%,85.7%,50.0%,50.0%,50.0%,-,25.0%,-,75.0%,25.0%,0.0%
Starling Marte RHB,,+1400,10,3.40,10,0,1,90.6,325.1,3,1,10.0%,-,10.0%,60.0%,30.0%,71.3,25.0%,43.8%,31.2%,94.1%,40.0%,10.0%,0.0%,30.0%,60.0%,30.0%,60.0%,10.0%,12.5%
Nick Loftin RHB,,+1340,9,3.20,10,0,1,79.4,273.5,1,0,-,-,10.0%,10.0%,20.0%,68.6,10.0%,50.0%,-,90.9%,30.0%,20.0%,0.0%,10.0%,60.0%,50.0%,30.0%,20.0%,28.6%
Michael Massey LHB,—,N/A,28,3.40,10,0,0,76.2,287.1,1,0,-,-,-,30.0%,30.0%,72.1,-,50.0%,12.5%,66.7%,30.0%,-,-,30.0%,50.0%,50.0%,40.0%,10.0%,62.5%
Isaac Collins SHB,,+691,13,3.40,10,0,0,85.8,250.7,2,1,-,-,10.0%,10.0%,-,74.0,42.9%,35.7%,7.1%,93.3%,40.0%,40.0%,0.0%,-,50.0%,30.0%,40.0%,30.0%,60.0%
Vinnie Pasquantino LHB,,+1100,18,4.20,10,0,0,88.4,266.8,2,1,-,-,10.0%,40.0%,40.0%,71.1,18.2%,63.6%,18.2%,91.7%,70.0%,20.0%,0.0%,50.0%,30.0%,20.0%,60.0%,20.0%,25.0%
Tyler Tolbert RHB,,+1540,8,3.00,10,0,0,71.9,280.2,1,0,-,-,10.0%,20.0%,30.0%,70.8,-,45.5%,9.1%,91.7%,50.0%,20.0%,0.0%,30.0%,30.0%,10.0%,40.0%,50.0%,71.4%
Josh Rojas LHB,—,N/A,1,3.00,3,0,0,76.7,140.1,0,0,-,-,-,-,-,70.5,33.3%,-,-,100.0%,33.3%,33.3%,0.0%,-,33.3%,-,33.3%,66.7%,66.7%
Andrew Velazquez SHB,—,N/A,-,3.50,1,0,0,56.3,-,0,0,-,-,-,-,-,65.2,-,-,-,100.0%,-,-,-,-,100.0%,100.0%,-,-,-
