Matchup,KC @ MIN
Pitcher,Joe Ryan
Pitcher Team,MIN
Opposing Team,KC

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,70.1,282,0.207,0.262,0.337,0.130,0.97,6,0.77,5.0%,25.8%,28.0%,19.8%,13.1%,10.11,67.6%,7.9%,10.9%,41.8%,29.9%,9.1%,20.7%
vsLHB,40.1,165,0.208,0.269,0.357,0.149,0.94,5,1.12,3.6%,23.0%,26.1%,20.8%,12.1%,9.60,71.1%,8.9%,12.6%,45.9%,28.8%,12.5%,22.5%
vsRHB,29.2,117,0.206,0.251,0.308,0.103,1.01,1,0.30,6.8%,29.8%,30.8%,18.8%,14.4%,10.92,62.7%,6.6%,8.2%,35.6%,31.5%,4.3%,17.8%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Michael Massey LHB,+309,22,4.20,2,2,0.368,0.409,0.737,0.368,0.469,9.1%,11.4%,18.2%,6.2%,91.7,6.2%,6.2%,31.2%,37.5%,31.2%,71.6,6.2%,34.4%,12.5%,91.4%,43.8%,28.6%,25.0%,31.2%,50.0%,43.8%,6.2%,31.6%
Salvador Perez RHB,+249,32,5.00,1,3,0.222,0.312,0.333,0.111,0.288,9.4%,22.8%,18.8%,12.4%,90.5,9.1%,4.5%,31.8%,45.5%,36.4%,72.0,21.2%,30.8%,13.5%,91.2%,40.9%,11.1%,22.7%,22.7%,36.4%,31.8%,31.8%,52.0%
Lane Thomas RHB,N/A,16,3.00,1,2,0.143,0.250,0.429,0.286,0.292,12.5%,30.4%,43.8%,11.3%,87.8,14.3%,14.3%,28.6%,28.6%,42.9%,73.9,42.1%,15.8%,10.5%,82.6%,28.6%,50.0%,14.3%,42.9%,42.9%,42.9%,14.3%,35.3%
Vinnie Pasquantino LHB,+214,15,5.00,1,2,0.333,0.467,0.667,0.333,0.473,20.0%,7.7%,13.3%,3.3%,89.4,20.0%,10.0%,40.0%,60.0%,50.0%,70.6,20.0%,24.0%,16.0%,100.0%,30.0%,33.3%,30.0%,30.0%,50.0%,40.0%,10.0%,25.0%
Nick Loftin RHB,+595,13,4.40,1,1,0.167,0.231,0.417,0.250,0.285,-,13.6%,15.4%,5.6%,85.2,10.0%,10.0%,20.0%,20.0%,30.0%,69.0,5.3%,31.6%,5.3%,86.4%,30.0%,33.3%,20.0%,30.0%,40.0%,40.0%,20.0%,18.8%
Bobby Witt Jr. RHB,+245,30,5.20,0,1,0.148,0.233,0.185,0.037,0.196,10.0%,32.7%,33.3%,14.2%,92.2,5.9%,-,23.5%,52.9%,41.2%,72.7,25.0%,20.5%,9.1%,91.7%,52.9%,0.0%,17.6%,23.5%,35.3%,35.3%,29.4%,25.8%
Maikel Garcia RHB,N/A,28,3.20,0,0,0.308,0.357,0.385,0.077,0.328,7.1%,14.3%,14.3%,5.6%,89.4,-,-,9.1%,31.8%,50.0%,72.0,13.9%,33.3%,11.1%,85.7%,18.2%,0.0%,40.9%,36.4%,31.8%,36.4%,31.8%,17.2%
Isaac Collins SHB,+418,19,4.40,0,0,0.125,0.263,0.125,-,0.196,15.8%,32.4%,36.8%,12.4%,75.6,-,-,11.1%,22.2%,11.1%,73.5,31.2%,9.4%,3.1%,94.1%,55.6%,0.0%,-,22.2%,33.3%,44.4%,22.2%,12.5%
Kyle Isbel LHB,+576,14,3.00,0,1,0.231,0.286,0.308,0.077,0.264,7.1%,13.0%,21.4%,4.8%,83.6,-,-,20.0%,40.0%,-,72.1,19.0%,28.6%,14.3%,95.5%,40.0%,0.0%,10.0%,40.0%,30.0%,20.0%,50.0%,17.6%
Carter Jensen LHB,+207,13,4.20,0,1,0.077,0.077,0.154,0.077,0.098,-,35.5%,46.2%,15.5%,91.1,-,-,-,14.3%,14.3%,73.2,29.6%,14.8%,-,90.0%,85.7%,0.0%,-,-,-,28.6%,71.4%,20.0%
Starling Marte RHB,N/A,10,2.20,0,0,0.111,0.200,0.222,0.111,0.199,-,20.0%,40.0%,11.1%,91.1,20.0%,-,-,40.0%,40.0%,72.4,35.7%,21.4%,14.3%,93.3%,20.0%,0.0%,40.0%,40.0%,40.0%,60.0%,-,28.6%
Jac Caglianone LHB,+232,9,4.40,0,0,0.143,0.333,0.143,-,0.243,22.2%,20.8%,22.2%,10.6%,99.0,-,-,-,80.0%,20.0%,75.6,63.6%,18.2%,9.1%,91.7%,60.0%,0.0%,20.0%,20.0%,-,80.0%,20.0%,36.4%
Tyler Tolbert RHB,N/A,3,1.80,0,0,-,-,-,-,-,-,42.9%,66.7%,23.1%,102.8,-,-,-,100.0%,-,68.1,14.3%,14.3%,14.3%,100.0%,-,-,-,100.0%,100.0%,-,-,50.0%
