Matchup,KC @ MIN
Pitcher,Randy Dobnak
Pitcher Team,KC
Opposing Team,MIN

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,19.0,80,0.239,0.306,0.366,0.127,1.37,2,0.95,11.2%,19.5%,12.5%,11.1%,8.8%,4.74,53.7%,4.8%,4.9%,41.0%,14.8%,22.2%,19.7%
vsLHB,12.2,51,0.250,0.276,0.333,0.083,1.18,1,0.71,5.9%,17.0%,9.8%,8.5%,8.1%,3.55,47.2%,5.7%,2.3%,37.2%,16.3%,14.3%,18.6%
vsRHB,6.0,29,0.217,0.358,0.435,0.217,1.83,1,1.50,20.7%,24.5%,17.2%,16.1%,9.8%,7.50,65.5%,3.3%,11.1%,50.0%,11.1%,50.0%,22.2%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Ryan Jeffers RHB,,+500,27,4.40,10,4,4,94.1,347.2,5,4,30.0%,30.0%,40.0%,40.0%,60.0%,75.9,45.5%,72.7%,36.4%,100.0%,60.0%,40.0%,100.0%,20.0%,40.0%,70.0%,30.0%,-,25.0%
Royce Lewis RHB,,+450,22,4.00,10,2,2,90.7,235.9,3,2,20.0%,20.0%,50.0%,40.0%,10.0%,76.5,72.7%,54.5%,36.4%,100.0%,70.0%,70.0%,28.6%,-,10.0%,50.0%,20.0%,30.0%,83.3%
Trevor Larnach LHB,,+550,25,3.20,10,1,1,89.8,254.1,1,1,10.0%,10.0%,10.0%,40.0%,30.0%,70.3,8.3%,50.0%,33.3%,100.0%,30.0%,20.0%,50.0%,10.0%,70.0%,50.0%,20.0%,30.0%,0.0%
Victor Caratini SHB,—,N/A,18,3.40,10,0,1,95.8,321.5,6,0,-,-,20.0%,60.0%,70.0%,69.6,8.3%,75.0%,16.7%,100.0%,70.0%,20.0%,0.0%,50.0%,30.0%,20.0%,50.0%,30.0%,14.3%
Josh Bell SHB,,+500,25,4.40,10,0,0,87.5,223.3,1,0,-,-,-,40.0%,20.0%,70.8,15.8%,42.1%,15.8%,95.0%,30.0%,20.0%,0.0%,10.0%,60.0%,10.0%,60.0%,30.0%,62.5%
Byron Buxton RHB,—,N/A,23,4.00,10,0,0,84.9,200.8,2,0,-,-,20.0%,10.0%,40.0%,75.4,60.0%,20.0%,-,93.8%,40.0%,10.0%,0.0%,30.0%,40.0%,50.0%,40.0%,10.0%,55.6%
Brooks Lee SHB,,+770,11,4.00,10,0,0,83.3,212.5,0,0,-,-,10.0%,20.0%,10.0%,69.9,18.2%,45.5%,9.1%,100.0%,40.0%,30.0%,0.0%,10.0%,50.0%,40.0%,50.0%,10.0%,20.0%
Kody Clemens LHB,,+375,23,4.60,10,0,2,93.2,282.8,4,3,10.0%,10.0%,50.0%,70.0%,40.0%,71.4,7.7%,61.5%,15.4%,100.0%,60.0%,40.0%,0.0%,20.0%,30.0%,70.0%,20.0%,10.0%,25.0%
Austin Martin RHB,—,N/A,6,3.20,10,0,0,90.3,237.7,1,0,-,-,10.0%,50.0%,30.0%,71.6,-,81.8%,27.3%,100.0%,30.0%,-,-,30.0%,60.0%,40.0%,60.0%,-,57.1%
Ryan Kreidler RHB,,+1000,9,3.20,10,0,0,84.3,278.6,2,0,-,-,20.0%,40.0%,30.0%,73.6,35.7%,35.7%,21.4%,93.3%,30.0%,-,-,30.0%,60.0%,50.0%,40.0%,10.0%,25.0%
Alex Jackson RHB,—,N/A,6,2.60,10,0,0,85.0,221.4,0,0,-,-,10.0%,30.0%,10.0%,74.6,38.5%,30.8%,15.4%,86.7%,10.0%,-,-,10.0%,90.0%,40.0%,40.0%,20.0%,50.0%
Alan Roden LHB,,+1200,7,2.80,10,0,0,85.2,251.5,2,0,-,-,10.0%,30.0%,40.0%,70.5,25.0%,75.0%,-,80.0%,50.0%,10.0%,0.0%,40.0%,40.0%,20.0%,30.0%,50.0%,62.5%
Luke Keaschall RHB,,+1020,11,4.40,10,0,0,89.4,249.1,3,0,-,-,30.0%,40.0%,40.0%,71.1,11.1%,77.8%,11.1%,90.0%,70.0%,30.0%,0.0%,40.0%,30.0%,40.0%,60.0%,-,25.0%
