Matchup,KC @ MIN
Pitcher,Seth Lugo
Pitcher Team,KC
Opposing Team,MIN

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,71.0,298,0.267,0.312,0.392,0.125,1.34,4,0.51,7.4%,17.7%,20.1%,18.6%,8.4%,7.61,68.7%,8.7%,10.2%,40.9%,29.3%,6.3%,16.7%
vsLHB,44.2,193,0.273,0.309,0.364,0.091,1.46,0,-,8.8%,18.6%,22.3%,18.9%,8.6%,8.66,66.7%,9.1%,9.8%,40.6%,25.6%,-,16.5%
vsRHB,25.2,105,0.258,0.319,0.443,0.186,1.17,4,1.40,4.8%,16.0%,16.2%,17.9%,8.0%,5.96,72.4%,8.0%,11.0%,41.5%,35.4%,13.8%,17.1%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Brooks Lee SHB,+640,28,3.40,2,3,0.308,0.321,0.615,0.308,0.391,3.6%,26.4%,25.0%,13.5%,88.3,10.0%,10.0%,20.0%,45.0%,25.0%,69.3,2.2%,26.7%,13.3%,86.5%,35.0%,28.6%,20.0%,40.0%,45.0%,25.0%,30.0%,35.5%
Byron Buxton RHB,+285,29,4.40,1,1,0.185,0.241,0.296,0.111,0.240,6.9%,32.8%,34.5%,18.8%,89.2,5.9%,-,23.5%,35.3%,29.4%,73.9,42.6%,13.1%,6.6%,95.3%,23.5%,0.0%,29.4%,47.1%,58.8%,23.5%,17.6%,27.6%
Kody Clemens LHB,+425,28,4.20,1,3,0.269,0.321,0.500,0.231,0.352,7.1%,26.1%,21.4%,14.1%,94.2,10.0%,-,15.0%,45.0%,35.0%,72.3,16.3%,32.6%,14.0%,95.6%,30.0%,16.7%,25.0%,35.0%,40.0%,30.0%,25.0%,36.0%
Victor Caratini SHB,+850,27,4.20,1,1,0.174,0.222,0.348,0.174,0.239,7.4%,12.5%,14.8%,5.3%,86.5,4.8%,-,9.5%,38.1%,33.3%,71.0,11.8%,38.2%,8.8%,85.0%,19.0%,25.0%,19.0%,52.4%,28.6%,47.6%,23.8%,31.0%
Trevor Larnach LHB,+720,25,3.80,1,1,0.261,0.320,0.478,0.217,0.344,8.0%,24.3%,20.0%,10.8%,85.0,5.6%,5.6%,16.7%,16.7%,33.3%,70.0,17.9%,28.6%,3.6%,75.7%,38.9%,14.3%,22.2%,33.3%,27.8%,44.4%,27.8%,33.3%
Ryan Kreidler RHB,N/A,23,1.40,1,1,0.217,0.217,0.348,0.130,0.246,-,34.6%,39.1%,22.5%,85.8,7.1%,-,7.1%,28.6%,35.7%,73.4,34.8%,13.0%,6.5%,88.5%,21.4%,33.3%,28.6%,42.9%,28.6%,64.3%,7.1%,58.3%
Tristan Gray LHB,+650,22,3.20,1,3,0.300,0.318,0.500,0.200,0.344,4.5%,34.1%,22.7%,20.3%,95.4,6.2%,6.2%,31.2%,68.8%,43.8%,73.1,35.0%,32.5%,17.5%,90.9%,37.5%,16.7%,31.2%,18.8%,37.5%,37.5%,25.0%,55.0%
Austin Martin RHB,+1400,33,4.20,0,0,0.094,0.121,0.125,0.031,0.112,3.0%,25.4%,18.2%,11.9%,87.4,3.8%,-,15.4%,15.4%,30.8%,69.8,6.8%,25.4%,5.1%,93.7%,7.7%,0.0%,26.9%,61.5%,57.7%,26.9%,15.4%,27.8%
Luke Keaschall RHB,+1200,27,4.00,0,0,0.375,0.407,0.417,0.042,0.361,3.7%,15.9%,11.1%,7.6%,89.3,-,-,4.5%,50.0%,36.4%,69.1,2.5%,35.0%,12.5%,93.0%,27.3%,0.0%,36.4%,31.8%,27.3%,40.9%,31.8%,19.2%
Josh Bell SHB,+525,24,4.00,0,1,0.364,0.417,0.455,0.091,0.382,8.3%,30.6%,29.2%,15.2%,94.7,6.7%,-,26.7%,60.0%,46.7%,71.5,14.6%,26.8%,9.8%,85.4%,20.0%,0.0%,40.0%,40.0%,46.7%,26.7%,26.7%,42.3%
James Outman LHB,N/A,21,2.20,0,0,0.211,0.286,0.368,0.158,0.284,9.5%,36.7%,42.9%,18.8%,86.9,-,-,40.0%,30.0%,40.0%,72.2,15.2%,13.0%,4.3%,93.9%,30.0%,0.0%,30.0%,40.0%,70.0%,20.0%,10.0%,52.2%
Orlando Arcia RHB,N/A,20,3.20,0,0,0.316,0.350,0.368,0.053,0.318,5.0%,6.9%,5.0%,3.2%,86.1,-,-,11.1%,22.2%,38.9%,71.8,12.5%,45.8%,8.3%,82.8%,22.2%,0.0%,16.7%,55.6%,44.4%,33.3%,22.2%,27.3%
Alex Jackson RHB,N/A,9,3.40,0,0,0.444,0.444,0.556,0.111,0.438,-,50.0%,44.4%,27.0%,70.6,-,-,-,20.0%,40.0%,73.5,44.4%,5.6%,5.6%,90.0%,40.0%,0.0%,20.0%,20.0%,20.0%,20.0%,60.0%,40.0%
