Matchup,KC @ NYM
Pitcher,Seth Lugo
Pitcher Team,KC
Opposing Team,NYM

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,51.2,233,0.292,0.376,0.538,0.245,1.53,11,1.92,7.3%,17.1%,16.7%,16.6%,7.8%,6.79,64.8%,9.4%,11.4%,47.4%,36.6%,17.2%,17.1%
vsLHB,34.0,159,0.315,0.377,0.514,0.199,1.71,4,1.06,7.5%,17.3%,16.4%,15.8%,7.8%,6.88,62.3%,10.0%,10.8%,48.3%,35.8%,9.3%,15.0%
vsRHB,17.2,74,0.242,0.372,0.591,0.348,1.19,7,3.57,6.8%,16.7%,17.6%,18.6%,7.8%,6.62,70.3%,8.1%,12.7%,45.5%,38.2%,33.3%,21.8%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Juan Soto LHB,,+321,45,17,4.60,2,3,0.357,0.471,0.857,0.500,0.541,17.6%,21.4%,17.6%,8.6%,93.4,301.1,5,4,36.4%,9.1%,36.4%,63.6%,54.5%,71.5,20.8%,33.3%,29.2%,85.7%,72.7%,54.5%,33.3%,18.2%,18.2%,45.5%,45.5%,9.1%,33.3%
Francisco Alvarez RHB,,+465,33,24,4.00,1,1,0.208,0.208,0.417,0.208,0.268,-,35.6%,33.3%,18.4%,90.0,266.2,4,3,18.8%,-,6.2%,37.5%,37.5%,73.4,38.1%,23.8%,11.9%,93.3%,50.0%,31.2%,20.0%,18.8%,31.2%,18.8%,56.2%,25.0%,36.0%
Francisco Lindor SHB,,+480,29,21,4.80,1,1,0.105,0.190,0.368,0.263,0.242,4.8%,20.0%,14.3%,7.8%,95.6,312.8,6,5,6.2%,6.2%,18.8%,81.2%,37.5%,71.3,6.1%,42.4%,15.2%,84.6%,62.5%,37.5%,16.7%,25.0%,37.5%,43.8%,43.8%,12.5%,20.0%
Tyrone Taylor RHB,—,N/A,26,17,3.00,1,1,0.200,0.294,0.467,0.267,0.327,11.8%,24.0%,5.9%,10.9%,82.3,291.3,4,2,7.1%,7.1%,21.4%,28.6%,35.7%,71.0,9.5%,28.6%,14.3%,84.0%,57.2%,42.9%,16.7%,14.3%,42.9%,50.0%,35.7%,14.3%,11.8%
Ronny Mauricio SHB,—,N/A,25,14,2.00,1,1,0.214,0.214,0.429,0.214,0.277,-,14.7%,14.3%,9.4%,94.3,280.8,2,1,8.3%,-,-,41.7%,16.7%,74.1,44.4%,25.9%,14.8%,81.8%,16.6%,8.3%,0.0%,8.3%,75.0%,58.3%,33.3%,8.3%,58.8%
Bo Bichette RHB,,+700,21,27,4.40,0,1,0.333,0.407,0.417,0.083,0.364,11.1%,22.4%,14.8%,11.7%,84.7,276.9,3,2,5.0%,-,5.0%,35.0%,35.0%,69.5,8.9%,22.2%,13.3%,91.8%,40.0%,15.0%,0.0%,25.0%,55.0%,20.0%,45.0%,35.0%,39.3%
Jared Young LHB,,+520,42,23,3.00,0,0,0.190,0.261,0.190,-,0.214,4.3%,21.1%,17.4%,10.5%,86.3,255.3,5,0,-,-,17.6%,29.4%,23.5%,72.4,31.4%,20.0%,5.7%,92.1%,58.8%,35.3%,0.0%,23.5%,17.6%,23.5%,41.2%,35.3%,25.0%
Brett Baty LHB,,+750,21,23,4.00,0,1,0.263,0.348,0.368,0.105,0.311,13.0%,25.5%,17.4%,16.0%,91.1,270.0,4,2,12.5%,12.5%,37.5%,43.8%,56.2%,76.2,61.4%,20.5%,13.6%,93.6%,62.4%,31.2%,0.0%,31.2%,31.2%,62.5%,25.0%,12.5%,50.0%
A.J. Ewing LHB,,+680,15,21,3.60,0,2,0.200,0.238,0.200,-,0.204,-,34.1%,28.6%,16.3%,89.5,332.9,6,3,7.1%,-,7.1%,42.9%,21.4%,70.6,13.5%,29.7%,10.8%,90.2%,50.0%,35.7%,0.0%,14.3%,50.0%,28.6%,42.9%,28.6%,50.0%
Carson Benge LHB,,+600,29,18,4.40,0,1,0.353,0.389,0.412,0.059,0.354,5.6%,2.9%,5.6%,1.4%,89.1,245.8,3,1,-,-,6.2%,31.2%,43.8%,70.9,33.3%,36.7%,13.3%,88.2%,50.0%,18.8%,0.0%,31.2%,43.8%,25.0%,56.2%,18.8%,20.0%
Luis Torrens RHB,,+960,20,18,3.60,0,0,0.125,0.222,0.125,-,0.171,11.1%,18.4%,27.8%,9.2%,84.7,188.5,1,1,-,-,9.1%,18.2%,27.3%,70.2,5.9%,17.6%,5.9%,91.9%,45.5%,9.1%,0.0%,36.4%,36.4%,9.1%,63.6%,27.3%,26.3%
Mark Vientos RHB,—,N/A,21,14,3.60,0,0,0.077,0.143,0.077,-,0.110,7.1%,38.7%,35.7%,20.3%,89.2,210.2,2,0,-,-,-,50.0%,12.5%,74.0,44.4%,18.5%,3.7%,87.1%,37.5%,25.0%,0.0%,12.5%,37.5%,12.5%,50.0%,37.5%,37.5%
Eric Wagaman RHB,—,N/A,-,5,2.40,0,0,-,-,-,-,-,-,25.0%,20.0%,15.0%,87.8,298.2,0,0,-,-,25.0%,25.0%,50.0%,70.2,11.1%,22.2%,11.1%,75.0%,25.0%,-,-,25.0%,75.0%,25.0%,50.0%,25.0%,40.0%
