Matchup,KC @ TEX
Pitcher,Seth Lugo
Pitcher Team,KC
Opposing Team,TEX

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,65.0,272,0.270,0.316,0.395,0.125,1.37,3,0.42,8.1%,17.4%,19.9%,18.2%,8.1%,7.48,67.5%,8.5%,10.7%,41.3%,29.1%,5.3%,17.9%
vsLHB,41.2,181,0.274,0.315,0.372,0.098,1.49,0,-,9.4%,18.5%,22.1%,18.9%,8.4%,8.64,65.6%,9.0%,9.7%,40.3%,25.8%,-,17.7%
vsRHB,22.2,91,0.262,0.318,0.440,0.179,1.19,3,1.19,5.5%,15.2%,15.4%,16.7%,7.6%,5.56,71.4%,7.6%,12.5%,43.1%,34.7%,12.0%,18.1%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Kyle Higashioka RHB,N/A,28,3.40,2,2,0.192,0.250,0.423,0.231,0.294,3.6%,27.1%,28.6%,11.8%,85.5,11.1%,5.6%,16.7%,33.3%,27.8%,70.1,7.3%,29.3%,9.8%,85.4%,22.2%,50.0%,16.7%,61.1%,55.6%,38.9%,5.6%,24.2%
Joc Pederson LHB,N/A,24,3.20,2,2,0.318,0.375,0.682,0.364,0.446,8.3%,12.2%,4.2%,5.6%,88.7,9.5%,9.5%,23.8%,33.3%,28.6%,71.3,10.3%,30.8%,12.8%,97.5%,14.3%,66.7%,28.6%,42.9%,52.4%,23.8%,23.8%,25.0%
Brandon Nimmo LHB,N/A,24,4.00,2,4,0.304,0.333,0.652,0.348,0.419,4.2%,19.5%,12.5%,7.8%,92.3,20.0%,-,25.0%,50.0%,45.0%,74.0,42.9%,34.3%,20.0%,87.5%,60.0%,16.7%,25.0%,15.0%,35.0%,50.0%,15.0%,26.9%
Josh Jung RHB,N/A,30,3.80,1,3,0.222,0.300,0.370,0.148,0.296,10.0%,12.8%,13.3%,5.8%,90.1,13.0%,8.7%,30.4%,52.2%,43.5%,70.3,4.8%,35.7%,21.4%,91.3%,21.7%,20.0%,34.8%,34.8%,47.8%,34.8%,17.4%,34.5%
Jake Burger RHB,N/A,26,3.40,1,2,0.304,0.385,0.522,0.217,0.390,11.5%,45.7%,23.1%,22.6%,93.0,5.9%,-,29.4%,58.8%,29.4%,75.4,58.1%,25.6%,18.6%,93.5%,23.5%,25.0%,17.6%,47.1%,35.3%,35.3%,29.4%,35.5%
Evan Carter LHB,N/A,26,3.60,1,1,0.208,0.269,0.500,0.292,0.326,3.8%,28.3%,34.6%,11.8%,90.3,6.7%,-,6.7%,53.3%,13.3%,72.5,36.2%,21.3%,10.6%,90.4%,20.0%,33.3%,13.3%,60.0%,46.7%,40.0%,13.3%,27.6%
Danny Jansen RHB,N/A,29,3.20,0,1,0.125,0.276,0.167,0.042,0.222,10.3%,19.0%,13.8%,8.4%,86.6,5.0%,-,35.0%,25.0%,20.0%,70.4,5.6%,36.1%,2.8%,92.3%,35.0%,0.0%,20.0%,30.0%,65.0%,30.0%,5.0%,30.0%
Ezequiel Duran RHB,N/A,27,3.20,0,2,0.320,0.333,0.440,0.120,0.330,3.7%,29.0%,25.9%,16.5%,91.8,10.5%,-,5.3%,47.4%,47.4%,72.4,26.8%,25.0%,12.5%,90.3%,10.5%,0.0%,31.6%,47.4%,26.3%,47.4%,21.1%,41.4%
Justin Foscue RHB,N/A,25,2.80,0,3,0.227,0.280,0.273,0.045,0.248,4.0%,24.4%,28.0%,10.1%,86.7,6.2%,6.2%,12.5%,43.8%,37.5%,70.0,5.7%,28.6%,5.7%,87.5%,37.5%,0.0%,25.0%,37.5%,31.2%,50.0%,18.8%,19.4%
Alejandro Osuna LHB,N/A,25,3.00,0,2,0.286,0.400,0.333,0.048,0.335,12.0%,5.3%,-,2.3%,90.2,-,-,9.5%,42.9%,28.6%,72.5,35.1%,37.8%,10.8%,97.4%,9.5%,0.0%,28.6%,57.1%,33.3%,28.6%,38.1%,24.0%
Nicky Lopez LHB,N/A,8,2.40,0,1,-,0.125,-,-,0.081,12.5%,15.4%,12.5%,6.9%,88.0,-,-,50.0%,33.3%,33.3%,68.7,-,45.5%,9.1%,91.7%,33.3%,0.0%,16.7%,33.3%,66.7%,16.7%,16.7%,50.0%
Sam Haggerty SHB,N/A,7,1.80,0,0,0.143,0.143,0.143,-,0.127,-,37.5%,28.6%,22.2%,75.9,-,-,-,-,20.0%,71.8,6.7%,-,-,93.8%,20.0%,0.0%,-,80.0%,40.0%,60.0%,-,75.0%
Michael Helman RHB,N/A,6,3.00,0,0,-,-,-,-,-,-,15.4%,16.7%,7.4%,68.0,-,-,-,-,-,70.2,-,7.7%,-,100.0%,20.0%,0.0%,20.0%,40.0%,20.0%,60.0%,20.0%,14.3%
