Matchup,LAA @ ATH
Pitcher,Yusei Kikuchi
Pitcher Team,LAA
Opposing Team,ATH

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,57.1,260,0.272,0.348,0.451,0.179,1.55,7,1.10,10.8%,25.1%,22.3%,17.6%,12.1%,9.10,63.7%,9.1%,9.3%,44.8%,22.7%,17.9%,22.1%
vsLHB,14.1,69,0.283,0.339,0.400,0.117,1.67,1,0.63,10.1%,24.0%,24.6%,20.0%,11.2%,10.67,59.4%,8.2%,9.1%,40.9%,20.5%,11.1%,25.0%
vsRHB,42.2,191,0.268,0.351,0.470,0.201,1.52,6,1.27,11.0%,25.4%,21.5%,16.7%,12.4%,8.65,65.3%,9.5%,9.4%,46.1%,23.4%,20.0%,21.1%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Henry Bolte RHB,,+577,38,4.20,8,2,2,99.6,311.6,2,1,25.0%,12.5%,12.5%,62.5%,50.0%,76.3,60.0%,40.0%,33.3%,93.8%,50.0%,12.5%,100.0%,37.5%,50.0%,25.0%,50.0%,25.0%,50.0%
Zack Gelof RHB,,+455,25,4.20,8,2,2,89.7,326.3,3,2,25.0%,12.5%,25.0%,50.0%,37.5%,74.6,55.6%,66.7%,44.4%,90.0%,62.5%,62.5%,40.0%,-,25.0%,37.5%,37.5%,25.0%,50.0%
Brian Serven RHB,—,N/A,16,3.40,8,1,1,83.0,298.5,3,1,12.5%,12.5%,12.5%,37.5%,37.5%,71.0,8.3%,41.7%,25.0%,100.0%,50.0%,12.5%,100.0%,37.5%,50.0%,50.0%,25.0%,25.0%,57.1%
Jonah Heim SHB,,+579,32,3.40,8,1,2,94.1,325.3,2,1,12.5%,-,12.5%,75.0%,37.5%,69.3,15.4%,53.8%,15.4%,92.9%,37.5%,12.5%,100.0%,25.0%,62.5%,50.0%,25.0%,25.0%,33.3%
Shea Langeliers RHB,,+272,32,4.20,8,1,2,99.1,312.4,3,2,25.0%,12.5%,12.5%,87.5%,37.5%,76.4,66.7%,77.8%,44.4%,100.0%,62.5%,37.5%,0.0%,25.0%,37.5%,50.0%,37.5%,12.5%,50.0%
Alika Williams RHB,,+1000,16,3.00,8,1,1,73.5,238.6,1,1,-,-,25.0%,12.5%,62.5%,68.3,-,23.1%,-,92.9%,75.0%,37.5%,33.3%,37.5%,12.5%,50.0%,25.0%,25.0%,71.4%
Max Muncy RHB,,+450,27,2.20,8,1,2,91.1,299.9,3,1,12.5%,-,25.0%,50.0%,12.5%,76.9,70.0%,50.0%,30.0%,90.9%,50.0%,50.0%,25.0%,-,37.5%,62.5%,12.5%,25.0%,40.0%
Jeff McNeil LHB,,+1100,7,3.20,8,0,0,79.2,244.1,1,0,-,-,25.0%,12.5%,50.0%,69.5,-,66.7%,-,90.0%,62.5%,37.5%,0.0%,25.0%,37.5%,37.5%,50.0%,12.5%,50.0%
Tommy White RHB,,+1140,10,3.00,8,0,0,95.0,295.0,3,1,12.5%,12.5%,12.5%,62.5%,37.5%,70.0,10.0%,30.0%,15.0%,100.0%,87.5%,50.0%,0.0%,37.5%,12.5%,12.5%,50.0%,37.5%,57.1%
Denzel Clarke RHB,,+1200,14,1.80,8,0,0,91.6,294.6,1,0,-,-,12.5%,50.0%,25.0%,78.1,71.4%,71.4%,28.6%,100.0%,25.0%,-,-,25.0%,62.5%,37.5%,12.5%,50.0%,42.9%
Lawrence Butler LHB,,+581,18,4.20,8,0,0,92.5,279.1,1,1,-,-,-,50.0%,12.5%,73.5,35.7%,50.0%,21.4%,82.4%,25.0%,12.5%,0.0%,12.5%,75.0%,12.5%,75.0%,12.5%,16.7%
Carlos Cortes LHB,—,N/A,6,2.80,7,0,0,86.0,205.7,0,0,-,-,14.3%,28.6%,42.9%,70.3,-,22.2%,11.1%,81.8%,57.2%,14.3%,0.0%,42.9%,28.6%,42.9%,-,57.1%,0.0%
Michael Stefanic RHB,,+790,6,2.40,7,0,0,89.6,296.9,1,1,-,-,14.3%,28.6%,42.9%,66.7,9.1%,45.5%,9.1%,100.0%,57.2%,28.6%,0.0%,28.6%,42.9%,28.6%,28.6%,42.9%,40.0%
Donovan Walton LHB,—,N/A,11,3.00,5,0,0,62.5,209.8,1,0,-,-,20.0%,-,-,68.3,-,40.0%,-,71.4%,40.0%,40.0%,0.0%,-,-,20.0%,20.0%,60.0%,100.0%
