Matchup,LAA @ BAL
Pitcher,Brandon Young
Pitcher Team,BAL
Opposing Team,LAA

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,103.1,438,0.244,0.301,0.380,0.136,1.29,11,0.96,8.2%,23.4%,19.2%,18.2%,11.5%,7.32,65.9%,8.0%,6.3%,41.1%,27.2%,12.8%,18.4%
vsLHB,63.0,263,0.224,0.298,0.371,0.147,1.25,7,1.00,10.3%,21.4%,15.6%,15.2%,10.5%,5.86,64.0%,7.9%,6.2%,40.9%,28.0%,13.0%,19.7%
vsRHB,40.1,175,0.273,0.305,0.394,0.121,1.34,4,0.89,5.1%,26.6%,24.6%,22.5%,13.2%,9.60,68.8%,8.1%,6.5%,41.5%,26.0%,12.5%,16.3%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Travis d'Arnaud RHB,—,N/A,16,2.20,10,0,0,95.3,291.8,3,0,20.0%,-,10.0%,60.0%,40.0%,68.4,-,83.3%,25.0%,85.7%,50.0%,30.0%,0.0%,20.0%,50.0%,10.0%,50.0%,40.0%,40.0%
Jose Siri RHB,—,N/A,15,2.20,10,0,0,83.2,207.5,0,0,-,-,-,30.0%,10.0%,73.6,28.6%,21.4%,14.3%,93.3%,20.0%,10.0%,0.0%,10.0%,70.0%,50.0%,50.0%,-,33.3%
Mike Trout RHB,,+357,18,4.00,10,0,0,84.6,238.6,2,1,-,-,20.0%,40.0%,30.0%,76.0,57.1%,35.7%,7.1%,100.0%,70.0%,60.0%,0.0%,10.0%,10.0%,30.0%,20.0%,50.0%,20.0%
Denzer Guzman RHB,,+630,20,3.40,10,0,0,88.8,271.4,2,0,-,-,10.0%,30.0%,40.0%,74.0,33.3%,26.7%,20.0%,93.8%,50.0%,20.0%,0.0%,30.0%,50.0%,50.0%,50.0%,-,44.4%
Tyler Heineman SHB,,+1180,9,3.20,10,0,0,72.2,222.0,0,0,-,-,20.0%,-,20.0%,63.6,-,38.5%,-,92.9%,40.0%,10.0%,0.0%,30.0%,50.0%,60.0%,10.0%,30.0%,20.0%
Adam Frazier LHB,—,N/A,19,2.40,10,0,0,84.5,295.3,3,0,-,-,20.0%,-,20.0%,65.6,-,58.3%,-,100.0%,50.0%,40.0%,0.0%,10.0%,50.0%,40.0%,60.0%,-,42.9%
Oswald Peraza RHB,—,N/A,16,3.40,10,0,0,89.8,233.6,0,0,-,-,-,60.0%,10.0%,74.5,46.7%,40.0%,20.0%,100.0%,20.0%,10.0%,0.0%,10.0%,80.0%,40.0%,50.0%,10.0%,25.0%
Wade Meckler LHB,,+1160,11,2.00,10,0,0,89.0,263.4,1,0,-,-,10.0%,40.0%,40.0%,71.2,9.1%,63.6%,18.2%,100.0%,20.0%,-,-,20.0%,80.0%,40.0%,40.0%,20.0%,33.3%
Vaughn Grissom RHB,,+780,29,3.80,10,0,0,90.2,250.2,2,1,-,-,10.0%,50.0%,20.0%,73.5,25.0%,41.7%,16.7%,75.0%,50.0%,30.0%,0.0%,20.0%,50.0%,40.0%,40.0%,20.0%,28.6%
Josh Lowe LHB,,+640,17,2.00,10,0,1,84.3,269.4,2,2,20.0%,-,20.0%,40.0%,50.0%,73.8,20.0%,40.0%,20.0%,93.8%,70.0%,40.0%,0.0%,30.0%,10.0%,20.0%,50.0%,30.0%,71.4%
Zach Neto RHB,,+420,19,4.20,10,0,1,87.7,273.3,4,1,-,-,10.0%,50.0%,40.0%,69.2,8.3%,41.7%,16.7%,92.3%,50.0%,40.0%,0.0%,10.0%,40.0%,20.0%,30.0%,50.0%,66.7%
Nolan Schanuel LHB,,+1040,13,4.00,10,0,0,87.3,289.1,3,3,10.0%,-,10.0%,40.0%,20.0%,67.5,7.7%,61.5%,7.7%,100.0%,60.0%,40.0%,0.0%,20.0%,40.0%,30.0%,70.0%,-,25.0%
Moisés Ballesteros LHB,,+541,23,2.80,10,0,1,86.3,237.6,3,0,-,-,40.0%,30.0%,40.0%,72.1,18.2%,45.5%,9.1%,91.7%,60.0%,20.0%,0.0%,40.0%,30.0%,70.0%,-,30.0%,62.5%
